timestamp,/livepose/frame,/livepose/end_frame,/livepose/blobs/start_filter,/livepose/blobs/end_filter,/livepose/blobs/0/0/start_pose,/livepose/blobs/0/0/blob_id,/livepose/blobs/0/0/center,/livepose/blobs/0/0/size,/livepose/blobs/0/0/end_pose,/livepose/blobs/0/1/start_pose,/livepose/blobs/0/1/blob_id,/livepose/blobs/0/1/center,/livepose/blobs/0/1/size,/livepose/blobs/0/1/end_pose,/livepose/blobs/0/2/start_pose,/livepose/blobs/0/2/blob_id,/livepose/blobs/0/2/center,/livepose/blobs/0/2/size,/livepose/blobs/0/2/end_pose,/livepose/blobs/0/3/start_pose,/livepose/blobs/0/3/blob_id,/livepose/blobs/0/3/center,/livepose/blobs/0/3/size,/livepose/blobs/0/3/end_pose,/livepose/blobs/0/4/start_pose,/livepose/blobs/0/4/blob_id,/livepose/blobs/0/4/center,/livepose/blobs/0/4/size,/livepose/blobs/0/4/end_pose,/livepose/blobs/0/5/start_pose,/livepose/blobs/0/5/blob_id,/livepose/blobs/0/5/center,/livepose/blobs/0/5/size,/livepose/blobs/0/5/end_pose,/livepose/blobs/0/6/start_pose,/livepose/blobs/0/6/blob_id,/livepose/blobs/0/6/center,/livepose/blobs/0/6/size,/livepose/blobs/0/6/end_pose
0,"[471.19943, 0.032966137]","[471.19943, 0.032966137]",impulse,impulse,"[463.7305, 0.03590226]",0,"[180.43568, 437.71417]",1,"[463.7305, 0.03590226]","[450.6981, 0.03460145]",1,"[350.84506, 222.07285]",1,"[450.6981, 0.03460145]","[387.89563, 0.026110888]",2,"[414.63644, 325.96744]",1,"[387.89563, 0.026110888]","[190.53905, 0.03690934]",3,"[43.470734, 170.25043]",1,"[190.53905, 0.03690934]","[190.53905, 0.03690934]",4,"[57.425205, 467.993]",1,"[190.53905, 0.03690934]","[340.92136, 0.03634143]",5,"[498.25757, 378.52695]",1,"[340.92136, 0.03634143]","[340.65018, 0.033674955]",6,"[336.44684, 192.2799]",1,"[340.65018, 0.033674955]"
33,"[471.23413, 0.03468108]","[471.23413, 0.03468108]",impulse,impulse,"[463.7305, 0.03590226]",0,"[180.43568, 437.71417]",1,"[463.7305, 0.03590226]","[450.6981, 0.03460145]",1,"[350.84506, 222.07285]",1,"[450.6981, 0.03460145]","[387.89563, 0.026110888]",2,"[414.63644, 325.96744]",1,"[387.89563, 0.026110888]","[190.53905, 0.03690934]",3,"[43.470734, 170.25043]",1,"[190.53905, 0.03690934]","[190.53905, 0.03690934]",4,"[57.425205, 467.993]",1,"[190.53905, 0.03690934]","[340.92136, 0.03634143]",5,"[498.25757, 378.52695]",1,"[340.92136, 0.03634143]","[340.65018, 0.033674955]",6,"[336.44684, 192.2799]",1,"[340.65018, 0.033674955]"
68,"[471.26215, 0.028011084]","[471.26215, 0.028011084]",impulse,impulse,"[463.7305, 0.03590226]",0,"[180.43568, 437.71417]",1,"[463.7305, 0.03590226]","[450.6981, 0.03460145]",1,"[350.84506, 222.07285]",1,"[450.6981, 0.03460145]","[387.89563, 0.026110888]",2,"[414.63644, 325.96744]",1,"[387.89563, 0.026110888]","[190.53905, 0.03690934]",3,"[43.470734, 170.25043]",1,"[190.53905, 0.03690934]","[190.53905, 0.03690934]",4,"[57.425205, 467.993]",1,"[190.53905, 0.03690934]","[340.92136, 0.03634143]",5,"[498.25757, 378.52695]",1,"[340.92136, 0.03634143]","[340.65018, 0.033674955]",6,"[336.44684, 192.2799]",1,"[340.65018, 0.033674955]"
103,"[471.2961, 0.033979177]","[471.2961, 0.033979177]",impulse,impulse,"[463.7305, 0.03590226]",0,"[180.43568, 437.71417]",1,"[463.7305, 0.03590226]","[450.6981, 0.03460145]",1,"[350.84506, 222.07285]",1,"[450.6981, 0.03460145]","[387.89563, 0.026110888]",2,"[414.63644, 325.96744]",1,"[387.89563, 0.026110888]","[190.53905, 0.03690934]",3,"[43.470734, 170.25043]",1,"[190.53905, 0.03690934]","[190.53905, 0.03690934]",4,"[57.425205, 467.993]",1,"[190.53905, 0.03690934]","[340.92136, 0.03634143]",5,"[498.25757, 378.52695]",1,"[340.92136, 0.03634143]","[340.65018, 0.033674955]",6,"[336.44684, 192.2799]",1,"[340.65018, 0.033674955]"
138,"[471.33472, 0.038592577]","[471.33472, 0.038592577]",impulse,impulse,"[463.7305, 0.03590226]",0,"[180.43568, 437.71417]",1,"[463.7305, 0.03590226]","[450.6981, 0.03460145]",1,"[350.84506, 222.07285]",1,"[450.6981, 0.03460145]","[387.89563, 0.026110888]",2,"[414.63644, 325.96744]",1,"[387.89563, 0.026110888]","[190.53905, 0.03690934]",3,"[43.470734, 170.25043]",1,"[190.53905, 0.03690934]","[190.53905, 0.03690934]",4,"[57.425205, 467.993]",1,"[190.53905, 0.03690934]","[340.92136, 0.03634143]",5,"[498.25757, 378.52695]",1,"[340.92136, 0.03634143]","[340.65018, 0.033674955]",6,"[336.44684, 192.2799]",1,"[340.65018, 0.033674955]"
173,"[471.36526, 0.030550241]","[471.36526, 0.030550241]",impulse,impulse,"[463.7305, 0.03590226]",0,"[180.43568, 437.71417]",1,"[463.7305, 0.03590226]","[450.6981, 0.03460145]",1,"[350.84506, 222.07285]",1,"[450.6981, 0.03460145]","[387.89563, 0.026110888]",2,"[414.63644, 325.96744]",1,"[387.89563, 0.026110888]","[190.53905, 0.03690934]",3,"[43.470734, 170.25043]",1,"[190.53905, 0.03690934]","[190.53905, 0.03690934]",4,"[57.425205, 467.993]",1,"[190.53905, 0.03690934]","[340.92136, 0.03634143]",5,"[498.25757, 378.52695]",1,"[340.92136, 0.03634143]","[340.65018, 0.033674955]",6,"[336.44684, 192.2799]",1,"[340.65018, 0.033674955]"
208,"[471.4003, 0.035032272]","[471.4003, 0.035032272]",impulse,impulse,"[463.7305, 0.03590226]",0,"[180.43568, 437.71417]",1,"[463.7305, 0.03590226]","[450.6981, 0.03460145]",1,"[350.84506, 222.07285]",1,"[450.6981, 0.03460145]","[387.89563, 0.026110888]",2,"[414.63644, 325.96744]",1,"[387.89563, 0.026110888]","[190.53905, 0.03690934]",3,"[43.470734, 170.25043]",1,"[190.53905, 0.03690934]","[190.53905, 0.03690934]",4,"[57.425205, 467.993]",1,"[190.53905, 0.03690934]","[340.92136, 0.03634143]",5,"[498.25757, 378.52695]",1,"[340.92136, 0.03634143]","[340.65018, 0.033674955]",6,"[336.44684, 192.2799]",1,"[340.65018, 0.033674955]"
243,"[471.43518, 0.034897327]","[471.43518, 0.034897327]",impulse,impulse,"[463.7305, 0.03590226]",0,"[180.43568, 437.71417]",1,"[463.7305, 0.03590226]","[450.6981, 0.03460145]",1,"[350.84506, 222.07285]",1,"[450.6981, 0.03460145]","[387.89563, 0.026110888]",2,"[414.63644, 325.96744]",1,"[387.89563, 0.026110888]","[190.53905, 0.03690934]",3,"[43.470734, 170.25043]",1,"[190.53905, 0.03690934]","[190.53905, 0.03690934]",4,"[57.425205, 467.993]",1,"[190.53905, 0.03690934]","[340.92136, 0.03634143]",5,"[498.25757, 378.52695]",1,"[340.92136, 0.03634143]","[340.65018, 0.033674955]",6,"[336.44684, 192.2799]",1,"[340.65018, 0.033674955]"
277,"[471.4652, 0.030020237]","[471.4652, 0.030020237]",impulse,impulse,"[463.7305, 0.03590226]",0,"[180.43568, 437.71417]",1,"[463.7305, 0.03590226]","[450.6981, 0.03460145]",1,"[350.84506, 222.07285]",1,"[450.6981, 0.03460145]","[387.89563, 0.026110888]",2,"[414.63644, 325.96744]",1,"[387.89563, 0.026110888]","[190.53905, 0.03690934]",3,"[43.470734, 170.25043]",1,"[190.53905, 0.03690934]","[190.53905, 0.03690934]",4,"[57.425205, 467.993]",1,"[190.53905, 0.03690934]","[340.92136, 0.03634143]",5,"[498.25757, 378.52695]",1,"[340.92136, 0.03634143]","[340.65018, 0.033674955]",6,"[336.44684, 192.2799]",1,"[340.65018, 0.033674955]"
312,"[471.4986, 0.033376217]","[471.4986, 0.033376217]",impulse,impulse,"[463.7305, 0.03590226]",0,"[180.43568, 437.71417]",1,"[463.7305, 0.03590226]","[450.6981, 0.03460145]",1,"[350.84506, 222.07285]",1,"[450.6981, 0.03460145]","[387.89563, 0.026110888]",2,"[414.63644, 325.96744]",1,"[387.89563, 0.026110888]","[190.53905, 0.03690934]",3,"[43.470734, 170.25043]",1,"[190.53905, 0.03690934]","[190.53905, 0.03690934]",4,"[57.425205, 467.993]",1,"[190.53905, 0.03690934]","[340.92136, 0.03634143]",5,"[498.25757, 378.52695]",1,"[340.92136, 0.03634143]","[340.65018, 0.033674955]",6,"[336.44684, 192.2799]",1,"[340.65018, 0.033674955]"
