timestamp,/livepose/frame,/livepose/end_frame,/livepose/blobs/start_filter,/livepose/blobs/end_filter,/livepose/blobs/0/0/start_pose,/livepose/blobs/0/0/blob_id,/livepose/blobs/0/0/center,/livepose/blobs/0/0/size,/livepose/blobs/0/0/end_pose,/livepose/blobs/0/1/start_pose,/livepose/blobs/0/1/blob_id,/livepose/blobs/0/1/center,/livepose/blobs/0/1/size,/livepose/blobs/0/1/end_pose,/livepose/blobs/0/2/start_pose,/livepose/blobs/0/2/blob_id,/livepose/blobs/0/2/center,/livepose/blobs/0/2/size,/livepose/blobs/0/2/end_pose,/livepose/blobs/0/3/start_pose,/livepose/blobs/0/3/blob_id,/livepose/blobs/0/3/center,/livepose/blobs/0/3/size,/livepose/blobs/0/3/end_pose,/livepose/blobs/0/4/start_pose,/livepose/blobs/0/4/blob_id,/livepose/blobs/0/4/center,/livepose/blobs/0/4/size,/livepose/blobs/0/4/end_pose,/livepose/blobs/0/5/start_pose,/livepose/blobs/0/5/blob_id,/livepose/blobs/0/5/center,/livepose/blobs/0/5/size,/livepose/blobs/0/5/end_pose,/livepose/blobs/0/6/start_pose,/livepose/blobs/0/6/blob_id,/livepose/blobs/0/6/center,/livepose/blobs/0/6/size,/livepose/blobs/0/6/end_pose
0,"[266.19284, 0.03281188]","[266.19284, 0.03281188]",impulse,impulse,"[266.19284, 0.03281188]",0,"[450.05746, 251.10748]",1,"[266.19284, 0.03281188]","[257.95547, 0.017712116]",1,"[419.2373, 97.062355]",1,"[257.95547, 0.017712116]","[190.53905, 0.03690934]",2,"[24.860199, 259.3513]",1,"[190.53905, 0.03690934]","[190.53905, 0.03690934]",3,"[43.470734, 170.25043]",1,"[190.53905, 0.03690934]","[190.53905, 0.03690934]",4,"[57.425205, 467.993]",1,"[190.53905, 0.03690934]","[340.92136, 0.03634143]",5,"[498.25757, 378.52695]",1,"[340.92136, 0.03634143]","[340.65018, 0.033674955]",6,"[336.44684, 192.2799]",1,"[340.65018, 0.033674955]"
34,"[266.22513, 0.03228903]","[266.22513, 0.03228903]",impulse,impulse,"[266.22513, 0.03228903]",0,"[450.11157, 250.77496]",1,"[266.22513, 0.03228903]","[257.95547, 0.017712116]",1,"[419.2373, 97.062355]",1,"[257.95547, 0.017712116]","[190.53905, 0.03690934]",2,"[24.860199, 259.3513]",1,"[190.53905, 0.03690934]","[190.53905, 0.03690934]",3,"[43.470734, 170.25043]",1,"[190.53905, 0.03690934]","[190.53905, 0.03690934]",4,"[57.425205, 467.993]",1,"[190.53905, 0.03690934]","[340.92136, 0.03634143]",5,"[498.25757, 378.52695]",1,"[340.92136, 0.03634143]","[340.65018, 0.033674955]",6,"[336.44684, 192.2799]",1,"[340.65018, 0.033674955]"
69,"[266.25827, 0.033157825]","[266.25827, 0.033157825]",impulse,impulse,"[266.25827, 0.033157825]",0,"[450.0768, 250.48692]",1,"[266.25827, 0.033157825]","[257.95547, 0.017712116]",1,"[419.2373, 97.062355]",1,"[257.95547, 0.017712116]","[190.53905, 0.03690934]",2,"[24.860199, 259.3513]",1,"[190.53905, 0.03690934]","[190.53905, 0.03690934]",3,"[43.470734, 170.25043]",1,"[190.53905, 0.03690934]","[190.53905, 0.03690934]",4,"[57.425205, 467.993]",1,"[190.53905, 0.03690934]","[340.92136, 0.03634143]",5,"[498.25757, 378.52695]",1,"[340.92136, 0.03634143]","[340.65018, 0.033674955]",6,"[336.44684, 192.2799]",1,"[340.65018, 0.033674955]"
104,"[266.29514, 0.036843777]","[266.29514, 0.036843777]",impulse,impulse,"[266.29514, 0.036843777]",0,"[449.9386, 250.23338]",1,"[266.29514, 0.036843777]","[257.95547, 0.017712116]",1,"[419.2373, 97.062355]",1,"[257.95547, 0.017712116]","[190.53905, 0.03690934]",2,"[24.860199, 259.3513]",1,"[190.53905, 0.03690934]","[190.53905, 0.03690934]",3,"[43.470734, 170.25043]",1,"[190.53905, 0.03690934]","[190.53905, 0.03690934]",4,"[57.425205, 467.993]",1,"[190.53905, 0.03690934]","[340.92136, 0.03634143]",5,"[498.25757, 378.52695]",1,"[340.92136, 0.03634143]","[340.65018, 0.033674955]",6,"[336.44684, 192.2799]",1,"[340.65018, 0.033674955]"
138,"[266.32834, 0.033221006]","[266.32834, 0.033221006]",impulse,impulse,"[266.32834, 0.033221006]",0,"[449.77014, 250.05823]",1,"[266.32834, 0.033221006]","[257.95547, 0.017712116]",1,"[419.2373, 97.062355]",1,"[257.95547, 0.017712116]","[190.53905, 0.03690934]",2,"[24.860199, 259.3513]",1,"[190.53905, 0.03690934]","[190.53905, 0.03690934]",3,"[43.470734, 170.25043]",1,"[190.53905, 0.03690934]","[190.53905, 0.03690934]",4,"[57.425205, 467.993]",1,"[190.53905, 0.03690934]","[340.92136, 0.03634143]",5,"[498.25757, 378.52695]",1,"[340.92136, 0.03634143]","[340.65018, 0.033674955]",6,"[336.44684, 192.2799]",1,"[340.65018, 0.033674955]"
173,"[266.3608, 0.032477617]","[266.3608, 0.032477617]",impulse,impulse,"[266.3608, 0.032477617]",0,"[449.57947, 249.98817]",1,"[266.3608, 0.032477617]","[257.95547, 0.017712116]",1,"[419.2373, 97.062355]",1,"[257.95547, 0.017712116]","[190.53905, 0.03690934]",2,"[24.860199, 259.3513]",1,"[190.53905, 0.03690934]","[190.53905, 0.03690934]",3,"[43.470734, 170.25043]",1,"[190.53905, 0.03690934]","[190.53905, 0.03690934]",4,"[57.425205, 467.993]",1,"[190.53905, 0.03690934]","[340.92136, 0.03634143]",5,"[498.25757, 378.52695]",1,"[340.92136, 0.03634143]","[340.65018, 0.033674955]",6,"[336.44684, 192.2799]",1,"[340.65018, 0.033674955]"
208,"[266.3926, 0.03177762]","[266.3926, 0.03177762]",impulse,impulse,"[266.3926, 0.03177762]",0,"[449.39792, 249.99611]",1,"[266.3926, 0.03177762]","[257.95547, 0.017712116]",1,"[419.2373, 97.062355]",1,"[257.95547, 0.017712116]","[190.53905, 0.03690934]",2,"[24.860199, 259.3513]",1,"[190.53905, 0.03690934]","[190.53905, 0.03690934]",3,"[43.470734, 170.25043]",1,"[190.53905, 0.03690934]","[190.53905, 0.03690934]",4,"[57.425205, 467.993]",1,"[190.53905, 0.03690934]","[340.92136, 0.03634143]",5,"[498.25757, 378.52695]",1,"[340.92136, 0.03634143]","[340.65018, 0.033674955]",6,"[336.44684, 192.2799]",1,"[340.65018, 0.033674955]"
243,"[266.42514, 0.03255534]","[266.42514, 0.03255534]",impulse,impulse,"[266.42514, 0.03255534]",0,"[449.2295, 250.06412]",1,"[266.42514, 0.03255534]","[257.95547, 0.017712116]",1,"[419.2373, 97.062355]",1,"[257.95547, 0.017712116]","[190.53905, 0.03690934]",2,"[24.860199, 259.3513]",1,"[190.53905, 0.03690934]","[190.53905, 0.03690934]",3,"[43.470734, 170.25043]",1,"[190.53905, 0.03690934]","[190.53905, 0.03690934]",4,"[57.425205, 467.993]",1,"[190.53905, 0.03690934]","[340.92136, 0.03634143]",5,"[498.25757, 378.52695]",1,"[340.92136, 0.03634143]","[340.65018, 0.033674955]",6,"[336.44684, 192.2799]",1,"[340.65018, 0.033674955]"
278,"[266.45984, 0.034694433]","[266.45984, 0.034694433]",impulse,impulse,"[266.45984, 0.034694433]",0,"[449.0821, 250.12363]",1,"[266.45984, 0.034694433]","[257.95547, 0.017712116]",1,"[419.2373, 97.062355]",1,"[257.95547, 0.017712116]","[190.53905, 0.03690934]",2,"[24.860199, 259.3513]",1,"[190.53905, 0.03690934]","[190.53905, 0.03690934]",3,"[43.470734, 170.25043]",1,"[190.53905, 0.03690934]","[190.53905, 0.03690934]",4,"[57.425205, 467.993]",1,"[190.53905, 0.03690934]","[340.92136, 0.03634143]",5,"[498.25757, 378.52695]",1,"[340.92136, 0.03634143]","[340.65018, 0.033674955]",6,"[336.44684, 192.2799]",1,"[340.65018, 0.033674955]"
313,"[266.49002, 0.030158997]","[266.49002, 0.030158997]",impulse,impulse,"[266.49002, 0.030158997]",0,"[448.96823, 250.2464]",1,"[266.49002, 0.030158997]","[257.95547, 0.017712116]",1,"[419.2373, 97.062355]",1,"[257.95547, 0.017712116]","[190.53905, 0.03690934]",2,"[24.860199, 259.3513]",1,"[190.53905, 0.03690934]","[190.53905, 0.03690934]",3,"[43.470734, 170.25043]",1,"[190.53905, 0.03690934]","[190.53905, 0.03690934]",4,"[57.425205, 467.993]",1,"[190.53905, 0.03690934]","[340.92136, 0.03634143]",5,"[498.25757, 378.52695]",1,"[340.92136, 0.03634143]","[340.65018, 0.033674955]",6,"[336.44684, 192.2799]",1,"[340.65018, 0.033674955]"
