timestamp,/livepose/frame,/livepose/end_frame,/livepose/blobs/start_filter,/livepose/blobs/end_filter,/livepose/blobs/0/0/start_pose,/livepose/blobs/0/0/blob_id,/livepose/blobs/0/0/center,/livepose/blobs/0/0/size,/livepose/blobs/0/0/end_pose,/livepose/blobs/0/1/start_pose,/livepose/blobs/0/1/blob_id,/livepose/blobs/0/1/center,/livepose/blobs/0/1/size,/livepose/blobs/0/1/end_pose,/livepose/blobs/0/2/start_pose,/livepose/blobs/0/2/blob_id,/livepose/blobs/0/2/center,/livepose/blobs/0/2/size,/livepose/blobs/0/2/end_pose,/livepose/blobs/0/3/start_pose,/livepose/blobs/0/3/blob_id,/livepose/blobs/0/3/center,/livepose/blobs/0/3/size,/livepose/blobs/0/3/end_pose,/livepose/blobs/0/4/start_pose,/livepose/blobs/0/4/blob_id,/livepose/blobs/0/4/center,/livepose/blobs/0/4/size,/livepose/blobs/0/4/end_pose,/livepose/blobs/0/5/start_pose,/livepose/blobs/0/5/blob_id,/livepose/blobs/0/5/center,/livepose/blobs/0/5/size,/livepose/blobs/0/5/end_pose,/livepose/blobs/0/6/start_pose,/livepose/blobs/0/6/blob_id,/livepose/blobs/0/6/center,/livepose/blobs/0/6/size,/livepose/blobs/0/6/end_pose
0,"[310.2562, 0.025610447]","[310.2562, 0.025610447]",impulse,impulse,"[310.2562, 0.025610447]",0,"[132.40154, 180.81334]",1,"[310.2562, 0.025610447]","[295.22812, 0.033787727]",1,"[478.44998, 410.1192]",1,"[295.22812, 0.033787727]","[190.53905, 0.03690934]",2,"[24.860199, 259.3513]",1,"[190.53905, 0.03690934]","[190.53905, 0.03690934]",3,"[43.470734, 170.25043]",1,"[190.53905, 0.03690934]","[190.53905, 0.03690934]",4,"[57.425205, 467.993]",1,"[190.53905, 0.03690934]","[340.92136, 0.03634143]",5,"[498.25757, 378.52695]",1,"[340.92136, 0.03634143]","[340.65018, 0.033674955]",6,"[336.44684, 192.2799]",1,"[340.65018, 0.033674955]"
34,"[310.29248, 0.036282063]","[310.29248, 0.036282063]",impulse,impulse,"[310.29248, 0.036282063]",0,"[131.48886, 181.81023]",1,"[310.29248, 0.036282063]","[295.22812, 0.033787727]",1,"[478.44998, 410.1192]",1,"[295.22812, 0.033787727]","[190.53905, 0.03690934]",2,"[24.860199, 259.3513]",1,"[190.53905, 0.03690934]","[190.53905, 0.03690934]",3,"[43.470734, 170.25043]",1,"[190.53905, 0.03690934]","[190.53905, 0.03690934]",4,"[57.425205, 467.993]",1,"[190.53905, 0.03690934]","[340.92136, 0.03634143]",5,"[498.25757, 378.52695]",1,"[340.92136, 0.03634143]","[340.65018, 0.033674955]",6,"[336.44684, 192.2799]",1,"[340.65018, 0.033674955]"
68,"[310.3283, 0.03583932]","[310.3283, 0.03583932]",impulse,impulse,"[310.3283, 0.03583932]",0,"[130.6369, 182.824]",1,"[310.3283, 0.03583932]","[295.22812, 0.033787727]",1,"[478.44998, 410.1192]",1,"[295.22812, 0.033787727]","[190.53905, 0.03690934]",2,"[24.860199, 259.3513]",1,"[190.53905, 0.03690934]","[190.53905, 0.03690934]",3,"[43.470734, 170.25043]",1,"[190.53905, 0.03690934]","[190.53905, 0.03690934]",4,"[57.425205, 467.993]",1,"[190.53905, 0.03690934]","[340.92136, 0.03634143]",5,"[498.25757, 378.52695]",1,"[340.92136, 0.03634143]","[340.65018, 0.033674955]",6,"[336.44684, 192.2799]",1,"[340.65018, 0.033674955]"
103,"[310.36328, 0.03497076]","[310.36328, 0.03497076]",impulse,impulse,"[310.36328, 0.03497076]",0,"[129.84142, 183.82504]",1,"[310.36328, 0.03497076]","[295.22812, 0.033787727]",1,"[478.44998, 410.1192]",1,"[295.22812, 0.033787727]","[190.53905, 0.03690934]",2,"[24.860199, 259.3513]",1,"[190.53905, 0.03690934]","[190.53905, 0.03690934]",3,"[43.470734, 170.25043]",1,"[190.53905, 0.03690934]","[190.53905, 0.03690934]",4,"[57.425205, 467.993]",1,"[190.53905, 0.03690934]","[340.92136, 0.03634143]",5,"[498.25757, 378.52695]",1,"[340.92136, 0.03634143]","[340.65018, 0.033674955]",6,"[336.44684, 192.2799]",1,"[340.65018, 0.033674955]"
138,"[310.39667, 0.03337574]","[310.39667, 0.03337574]",impulse,impulse,"[310.39667, 0.03337574]",0,"[129.09546, 184.80719]",1,"[310.39667, 0.03337574]","[295.22812, 0.033787727]",1,"[478.44998, 410.1192]",1,"[295.22812, 0.033787727]","[190.53905, 0.03690934]",2,"[24.860199, 259.3513]",1,"[190.53905, 0.03690934]","[190.53905, 0.03690934]",3,"[43.470734, 170.25043]",1,"[190.53905, 0.03690934]","[190.53905, 0.03690934]",4,"[57.425205, 467.993]",1,"[190.53905, 0.03690934]","[340.92136, 0.03634143]",5,"[498.25757, 378.52695]",1,"[340.92136, 0.03634143]","[340.65018, 0.033674955]",6,"[336.44684, 192.2799]",1,"[340.65018, 0.033674955]"
173,"[310.42215, 0.025469065]","[310.42215, 0.025469065]",impulse,impulse,"[310.42215, 0.025469065]",0,"[128.5008, 185.61414]",1,"[310.42215, 0.025469065]","[295.22812, 0.033787727]",1,"[478.44998, 410.1192]",1,"[295.22812, 0.033787727]","[190.53905, 0.03690934]",2,"[24.860199, 259.3513]",1,"[190.53905, 0.03690934]","[190.53905, 0.03690934]",3,"[43.470734, 170.25043]",1,"[190.53905, 0.03690934]","[190.53905, 0.03690934]",4,"[57.425205, 467.993]",1,"[190.53905, 0.03690934]","[340.92136, 0.03634143]",5,"[498.25757, 378.52695]",1,"[340.92136, 0.03634143]","[340.65018, 0.033674955]",6,"[336.44684, 192.2799]",1,"[340.65018, 0.033674955]"
208,"[310.49872, 0.03711319]","[310.49872, 0.03711319]",impulse,impulse,"[310.49872, 0.03711319]",0,"[126.93128, 187.7833]",1,"[310.49872, 0.03711319]","[295.22812, 0.033787727]",1,"[478.44998, 410.1192]",1,"[295.22812, 0.033787727]","[190.53905, 0.03690934]",2,"[24.860199, 259.3513]",1,"[190.53905, 0.03690934]","[190.53905, 0.03690934]",3,"[43.470734, 170.25043]",1,"[190.53905, 0.03690934]","[190.53905, 0.03690934]",4,"[57.425205, 467.993]",1,"[190.53905, 0.03690934]","[340.92136, 0.03634143]",5,"[498.25757, 378.52695]",1,"[340.92136, 0.03634143]","[340.65018, 0.033674955]",6,"[336.44684, 192.2799]",1,"[340.65018, 0.033674955]"
242,"[310.49872, 0.03711319]","[310.49872, 0.03711319]",impulse,impulse,"[310.49872, 0.03711319]",0,"[126.93128, 187.7833]",1,"[310.49872, 0.03711319]","[295.22812, 0.033787727]",1,"[478.44998, 410.1192]",1,"[295.22812, 0.033787727]","[190.53905, 0.03690934]",2,"[24.860199, 259.3513]",1,"[190.53905, 0.03690934]","[190.53905, 0.03690934]",3,"[43.470734, 170.25043]",1,"[190.53905, 0.03690934]","[190.53905, 0.03690934]",4,"[57.425205, 467.993]",1,"[190.53905, 0.03690934]","[340.92136, 0.03634143]",5,"[498.25757, 378.52695]",1,"[340.92136, 0.03634143]","[340.65018, 0.033674955]",6,"[336.44684, 192.2799]",1,"[340.65018, 0.033674955]"
277,"[310.52493, 0.02622962]","[310.52493, 0.02622962]",impulse,impulse,"[310.52493, 0.02622962]",0,"[126.391464, 188.52849]",1,"[310.52493, 0.02622962]","[295.22812, 0.033787727]",1,"[478.44998, 410.1192]",1,"[295.22812, 0.033787727]","[190.53905, 0.03690934]",2,"[24.860199, 259.3513]",1,"[190.53905, 0.03690934]","[190.53905, 0.03690934]",3,"[43.470734, 170.25043]",1,"[190.53905, 0.03690934]","[190.53905, 0.03690934]",4,"[57.425205, 467.993]",1,"[190.53905, 0.03690934]","[340.92136, 0.03634143]",5,"[498.25757, 378.52695]",1,"[340.92136, 0.03634143]","[340.65018, 0.033674955]",6,"[336.44684, 192.2799]",1,"[340.65018, 0.033674955]"
312,"[310.5953, 0.033784866]","[310.5953, 0.033784866]",impulse,impulse,"[310.5953, 0.033784866]",0,"[124.52175, 190.94676]",1,"[310.5953, 0.033784866]","[295.22812, 0.033787727]",1,"[478.44998, 410.1192]",1,"[295.22812, 0.033787727]","[190.53905, 0.03690934]",2,"[24.860199, 259.3513]",1,"[190.53905, 0.03690934]","[190.53905, 0.03690934]",3,"[43.470734, 170.25043]",1,"[190.53905, 0.03690934]","[190.53905, 0.03690934]",4,"[57.425205, 467.993]",1,"[190.53905, 0.03690934]","[340.92136, 0.03634143]",5,"[498.25757, 378.52695]",1,"[340.92136, 0.03634143]","[340.65018, 0.033674955]",6,"[336.44684, 192.2799]",1,"[340.65018, 0.033674955]"
