timestamp,/livepose/frame,/livepose/end_frame,/livepose/blobs/start_filter,/livepose/blobs/end_filter,/livepose/blobs/0/0/start_pose,/livepose/blobs/0/0/blob_id,/livepose/blobs/0/0/center,/livepose/blobs/0/0/size,/livepose/blobs/0/0/end_pose,/livepose/blobs/0/1/start_pose,/livepose/blobs/0/1/blob_id,/livepose/blobs/0/1/center,/livepose/blobs/0/1/size,/livepose/blobs/0/1/end_pose,/livepose/blobs/0/2/start_pose,/livepose/blobs/0/2/blob_id,/livepose/blobs/0/2/center,/livepose/blobs/0/2/size,/livepose/blobs/0/2/end_pose,/livepose/blobs/0/3/start_pose,/livepose/blobs/0/3/blob_id,/livepose/blobs/0/3/center,/livepose/blobs/0/3/size,/livepose/blobs/0/3/end_pose,/livepose/blobs/0/4/start_pose,/livepose/blobs/0/4/blob_id,/livepose/blobs/0/4/center,/livepose/blobs/0/4/size,/livepose/blobs/0/4/end_pose,/livepose/blobs/0/5/start_pose,/livepose/blobs/0/5/blob_id,/livepose/blobs/0/5/center,/livepose/blobs/0/5/size,/livepose/blobs/0/5/end_pose,/livepose/blobs/0/6/start_pose,/livepose/blobs/0/6/blob_id,/livepose/blobs/0/6/center,/livepose/blobs/0/6/size,/livepose/blobs/0/6/end_pose
0,"[649.90125, 0.034035444]","[649.90125, 0.034035444]",impulse,impulse,"[649.90125, 0.034035444]",0,"[456.6483, 304.59543]",1,"[649.90125, 0.034035444]","[649.90125, 0.034035444]",1,"[320.48468, 83.47033]",1,"[649.90125, 0.034035444]","[649.90125, 0.034035444]",2,"[312.62936, 126.83613]",1,"[649.90125, 0.034035444]","[190.53905, 0.03690934]",3,"[43.470734, 170.25043]",1,"[190.53905, 0.03690934]","[190.53905, 0.03690934]",4,"[57.425205, 467.993]",1,"[190.53905, 0.03690934]","[340.92136, 0.03634143]",5,"[498.25757, 378.52695]",1,"[340.92136, 0.03634143]","[340.65018, 0.033674955]",6,"[336.44684, 192.2799]",1,"[340.65018, 0.033674955]"
33,"[649.9355, 0.034268618]","[649.9355, 0.034268618]",impulse,impulse,"[649.9355, 0.034268618]",0,"[456.96683, 304.2906]",1,"[649.9355, 0.034268618]","[649.9355, 0.034268618]",1,"[320.48444, 83.51988]",1,"[649.9355, 0.034268618]","[649.9355, 0.034268618]",2,"[312.62936, 126.83613]",1,"[649.9355, 0.034268618]","[190.53905, 0.03690934]",3,"[43.470734, 170.25043]",1,"[190.53905, 0.03690934]","[190.53905, 0.03690934]",4,"[57.425205, 467.993]",1,"[190.53905, 0.03690934]","[340.92136, 0.03634143]",5,"[498.25757, 378.52695]",1,"[340.92136, 0.03634143]","[340.65018, 0.033674955]",6,"[336.44684, 192.2799]",1,"[340.65018, 0.033674955]"
68,"[649.9633, 0.027856112]","[649.9633, 0.027856112]",impulse,impulse,"[649.9633, 0.027856112]",0,"[457.43283, 304.3184]",1,"[649.9633, 0.027856112]","[649.9633, 0.027856112]",1,"[320.48444, 83.51988]",1,"[649.9633, 0.027856112]","[649.9633, 0.027856112]",2,"[312.62936, 126.83613]",1,"[649.9633, 0.027856112]","[190.53905, 0.03690934]",3,"[43.470734, 170.25043]",1,"[190.53905, 0.03690934]","[190.53905, 0.03690934]",4,"[57.425205, 467.993]",1,"[190.53905, 0.03690934]","[340.92136, 0.03634143]",5,"[498.25757, 378.52695]",1,"[340.92136, 0.03634143]","[340.65018, 0.033674955]",6,"[336.44684, 192.2799]",1,"[340.65018, 0.033674955]"
103,"[649.99994, 0.03660083]","[649.99994, 0.03660083]",impulse,impulse,"[649.99994, 0.03660083]",0,"[458.0303, 304.24326]",1,"[649.99994, 0.03660083]","[649.99994, 0.03660083]",1,"[320.48444, 83.51988]",1,"[649.99994, 0.03660083]","[649.99994, 0.03660083]",2,"[312.62936, 126.83613]",1,"[649.99994, 0.03660083]","[190.53905, 0.03690934]",3,"[43.470734, 170.25043]",1,"[190.53905, 0.03690934]","[190.53905, 0.03690934]",4,"[57.425205, 467.993]",1,"[190.53905, 0.03690934]","[340.92136, 0.03634143]",5,"[498.25757, 378.52695]",1,"[340.92136, 0.03634143]","[340.65018, 0.033674955]",6,"[336.44684, 192.2799]",1,"[340.65018, 0.033674955]"
138,"[650.0331, 0.0331192]","[650.0331, 0.0331192]",impulse,impulse,"[650.0331, 0.0331192]",0,"[458.51477, 304.1356]",1,"[650.0331, 0.0331192]","[650.0331, 0.0331192]",1,"[320.48444, 83.51988]",1,"[650.0331, 0.0331192]","[650.0331, 0.0331192]",2,"[312.62936, 126.83613]",1,"[650.0331, 0.0331192]","[190.53905, 0.03690934]",3,"[43.470734, 170.25043]",1,"[190.53905, 0.03690934]","[190.53905, 0.03690934]",4,"[57.425205, 467.993]",1,"[190.53905, 0.03690934]","[340.92136, 0.03634143]",5,"[498.25757, 378.52695]",1,"[340.92136, 0.03634143]","[340.65018, 0.033674955]",6,"[336.44684, 192.2799]",1,"[340.65018, 0.033674955]"
173,"[650.0679, 0.034788847]","[650.0679, 0.034788847]",impulse,impulse,"[650.0679, 0.034788847]",0,"[458.93237, 304.0428]",1,"[650.0679, 0.034788847]","[650.0679, 0.034788847]",1,"[320.48444, 83.51988]",1,"[650.0679, 0.034788847]","[650.0679, 0.034788847]",2,"[312.62936, 126.83613]",1,"[650.0679, 0.034788847]","[190.53905, 0.03690934]",3,"[43.470734, 170.25043]",1,"[190.53905, 0.03690934]","[190.53905, 0.03690934]",4,"[57.425205, 467.993]",1,"[190.53905, 0.03690934]","[340.92136, 0.03634143]",5,"[498.25757, 378.52695]",1,"[340.92136, 0.03634143]","[340.65018, 0.033674955]",6,"[336.44684, 192.2799]",1,"[340.65018, 0.033674955]"
208,"[650.10156, 0.03371024]","[650.10156, 0.03371024]",impulse,impulse,"[650.10156, 0.03371024]",0,"[459.30728, 303.94638]",1,"[650.10156, 0.03371024]","[650.10156, 0.03371024]",1,"[320.48444, 83.51988]",1,"[650.10156, 0.03371024]","[650.10156, 0.03371024]",2,"[312.62936, 126.83613]",1,"[650.10156, 0.03371024]","[190.53905, 0.03690934]",3,"[43.470734, 170.25043]",1,"[190.53905, 0.03690934]","[190.53905, 0.03690934]",4,"[57.425205, 467.993]",1,"[190.53905, 0.03690934]","[340.92136, 0.03634143]",5,"[498.25757, 378.52695]",1,"[340.92136, 0.03634143]","[340.65018, 0.033674955]",6,"[336.44684, 192.2799]",1,"[340.65018, 0.033674955]"
242,"[650.1325, 0.030922651]","[650.1325, 0.030922651]",impulse,impulse,"[650.1325, 0.030922651]",0,"[459.64948, 303.78824]",1,"[650.1325, 0.030922651]","[650.1325, 0.030922651]",1,"[320.48444, 83.51988]",1,"[650.1325, 0.030922651]","[650.1325, 0.030922651]",2,"[312.62936, 126.83613]",1,"[650.1325, 0.030922651]","[190.53905, 0.03690934]",3,"[43.470734, 170.25043]",1,"[190.53905, 0.03690934]","[190.53905, 0.03690934]",4,"[57.425205, 467.993]",1,"[190.53905, 0.03690934]","[340.92136, 0.03634143]",5,"[498.25757, 378.52695]",1,"[340.92136, 0.03634143]","[340.65018, 0.033674955]",6,"[336.44684, 192.2799]",1,"[340.65018, 0.033674955]"
277,"[650.1704, 0.037935495]","[650.1704, 0.037935495]",impulse,impulse,"[650.1704, 0.037935495]",0,"[459.9997, 303.59045]",1,"[650.1704, 0.037935495]","[650.1704, 0.037935495]",1,"[320.48444, 83.51988]",1,"[650.1704, 0.037935495]","[650.1704, 0.037935495]",2,"[312.62936, 126.83613]",1,"[650.1704, 0.037935495]","[190.53905, 0.03690934]",3,"[43.470734, 170.25043]",1,"[190.53905, 0.03690934]","[190.53905, 0.03690934]",4,"[57.425205, 467.993]",1,"[190.53905, 0.03690934]","[340.92136, 0.03634143]",5,"[498.25757, 378.52695]",1,"[340.92136, 0.03634143]","[340.65018, 0.033674955]",6,"[336.44684, 192.2799]",1,"[340.65018, 0.033674955]"
312,"[650.19904, 0.028617144]","[650.19904, 0.028617144]",impulse,impulse,"[650.19904, 0.028617144]",0,"[460.22363, 303.46396]",1,"[650.19904, 0.028617144]","[650.19904, 0.028617144]",1,"[320.48444, 83.51988]",1,"[650.19904, 0.028617144]","[650.19904, 0.028617144]",2,"[312.62936, 126.83613]",1,"[650.19904, 0.028617144]","[190.53905, 0.03690934]",3,"[43.470734, 170.25043]",1,"[190.53905, 0.03690934]","[190.53905, 0.03690934]",4,"[57.425205, 467.993]",1,"[190.53905, 0.03690934]","[340.92136, 0.03634143]",5,"[498.25757, 378.52695]",1,"[340.92136, 0.03634143]","[340.65018, 0.033674955]",6,"[336.44684, 192.2799]",1,"[340.65018, 0.033674955]"
