timestamp,/livepose/frame,/livepose/end_frame,/livepose/blobs/start_filter,/livepose/blobs/end_filter,/livepose/blobs/0/0/start_pose,/livepose/blobs/0/0/blob_id,/livepose/blobs/0/0/center,/livepose/blobs/0/0/size,/livepose/blobs/0/0/end_pose,/livepose/blobs/0/1/start_pose,/livepose/blobs/0/1/blob_id,/livepose/blobs/0/1/center,/livepose/blobs/0/1/size,/livepose/blobs/0/1/end_pose,/livepose/blobs/0/2/start_pose,/livepose/blobs/0/2/blob_id,/livepose/blobs/0/2/center,/livepose/blobs/0/2/size,/livepose/blobs/0/2/end_pose,/livepose/blobs/0/3/start_pose,/livepose/blobs/0/3/blob_id,/livepose/blobs/0/3/center,/livepose/blobs/0/3/size,/livepose/blobs/0/3/end_pose,/livepose/blobs/0/4/start_pose,/livepose/blobs/0/4/blob_id,/livepose/blobs/0/4/center,/livepose/blobs/0/4/size,/livepose/blobs/0/4/end_pose,/livepose/blobs/0/5/start_pose,/livepose/blobs/0/5/blob_id,/livepose/blobs/0/5/center,/livepose/blobs/0/5/size,/livepose/blobs/0/5/end_pose,/livepose/blobs/0/6/start_pose,/livepose/blobs/0/6/blob_id,/livepose/blobs/0/6/center,/livepose/blobs/0/6/size,/livepose/blobs/0/6/end_pose
0,"[911.0961, 0.034385443]","[911.0961, 0.034385443]",impulse,impulse,"[903.16595, 0.027012587]",0,"[214.61734, 413.10977]",1,"[903.16595, 0.027012587]","[902.99786, 0.032238245]",1,"[104.91015, 350.68527]",1,"[902.99786, 0.032238245]","[879.22906, 0.03462982]",2,"[393.80228, 425.916]",1,"[879.22906, 0.03462982]","[190.53905, 0.03690934]",3,"[43.470734, 170.25043]",1,"[190.53905, 0.03690934]","[190.53905, 0.03690934]",4,"[57.425205, 467.993]",1,"[190.53905, 0.03690934]","[340.92136, 0.03634143]",5,"[498.25757, 378.52695]",1,"[340.92136, 0.03634143]","[340.65018, 0.033674955]",6,"[336.44684, 192.2799]",1,"[340.65018, 0.033674955]"
33,"[911.13196, 0.03583646]","[911.13196, 0.03583646]",impulse,impulse,"[903.16595, 0.027012587]",0,"[214.61734, 413.10977]",1,"[903.16595, 0.027012587]","[902.99786, 0.032238245]",1,"[104.91015, 350.68527]",1,"[902.99786, 0.032238245]","[879.22906, 0.03462982]",2,"[393.80228, 425.916]",1,"[879.22906, 0.03462982]","[190.53905, 0.03690934]",3,"[43.470734, 170.25043]",1,"[190.53905, 0.03690934]","[190.53905, 0.03690934]",4,"[57.425205, 467.993]",1,"[190.53905, 0.03690934]","[340.92136, 0.03634143]",5,"[498.25757, 378.52695]",1,"[340.92136, 0.03634143]","[340.65018, 0.033674955]",6,"[336.44684, 192.2799]",1,"[340.65018, 0.033674955]"
68,"[911.16473, 0.032779694]","[911.16473, 0.032779694]",impulse,impulse,"[903.16595, 0.027012587]",0,"[214.61734, 413.10977]",1,"[903.16595, 0.027012587]","[902.99786, 0.032238245]",1,"[104.91015, 350.68527]",1,"[902.99786, 0.032238245]","[879.22906, 0.03462982]",2,"[393.80228, 425.916]",1,"[879.22906, 0.03462982]","[190.53905, 0.03690934]",3,"[43.470734, 170.25043]",1,"[190.53905, 0.03690934]","[190.53905, 0.03690934]",4,"[57.425205, 467.993]",1,"[190.53905, 0.03690934]","[340.92136, 0.03634143]",5,"[498.25757, 378.52695]",1,"[340.92136, 0.03634143]","[340.65018, 0.033674955]",6,"[336.44684, 192.2799]",1,"[340.65018, 0.033674955]"
103,"[911.1977, 0.03290844]","[911.1977, 0.03290844]",impulse,impulse,"[903.16595, 0.027012587]",0,"[214.61734, 413.10977]",1,"[903.16595, 0.027012587]","[902.99786, 0.032238245]",1,"[104.91015, 350.68527]",1,"[902.99786, 0.032238245]","[879.22906, 0.03462982]",2,"[393.80228, 425.916]",1,"[879.22906, 0.03462982]","[190.53905, 0.03690934]",3,"[43.470734, 170.25043]",1,"[190.53905, 0.03690934]","[190.53905, 0.03690934]",4,"[57.425205, 467.993]",1,"[190.53905, 0.03690934]","[340.92136, 0.03634143]",5,"[498.25757, 378.52695]",1,"[340.92136, 0.03634143]","[340.65018, 0.033674955]",6,"[336.44684, 192.2799]",1,"[340.65018, 0.033674955]"
138,"[911.2348, 0.037141085]","[911.2348, 0.037141085]",impulse,impulse,"[903.16595, 0.027012587]",0,"[214.61734, 413.10977]",1,"[903.16595, 0.027012587]","[902.99786, 0.032238245]",1,"[104.91015, 350.68527]",1,"[902.99786, 0.032238245]","[879.22906, 0.03462982]",2,"[393.80228, 425.916]",1,"[879.22906, 0.03462982]","[190.53905, 0.03690934]",3,"[43.470734, 170.25043]",1,"[190.53905, 0.03690934]","[190.53905, 0.03690934]",4,"[57.425205, 467.993]",1,"[190.53905, 0.03690934]","[340.92136, 0.03634143]",5,"[498.25757, 378.52695]",1,"[340.92136, 0.03634143]","[340.65018, 0.033674955]",6,"[336.44684, 192.2799]",1,"[340.65018, 0.033674955]"
173,"[911.2634, 0.028588772]","[911.2634, 0.028588772]",impulse,impulse,"[903.16595, 0.027012587]",0,"[214.61734, 413.10977]",1,"[903.16595, 0.027012587]","[902.99786, 0.032238245]",1,"[104.91015, 350.68527]",1,"[902.99786, 0.032238245]","[879.22906, 0.03462982]",2,"[393.80228, 425.916]",1,"[879.22906, 0.03462982]","[190.53905, 0.03690934]",3,"[43.470734, 170.25043]",1,"[190.53905, 0.03690934]","[190.53905, 0.03690934]",4,"[57.425205, 467.993]",1,"[190.53905, 0.03690934]","[340.92136, 0.03634143]",5,"[498.25757, 378.52695]",1,"[340.92136, 0.03634143]","[340.65018, 0.033674955]",6,"[336.44684, 192.2799]",1,"[340.65018, 0.033674955]"
208,"[911.29614, 0.032734156]","[911.29614, 0.032734156]",impulse,impulse,"[903.16595, 0.027012587]",0,"[214.61734, 413.10977]",1,"[903.16595, 0.027012587]","[902.99786, 0.032238245]",1,"[104.91015, 350.68527]",1,"[902.99786, 0.032238245]","[879.22906, 0.03462982]",2,"[393.80228, 425.916]",1,"[879.22906, 0.03462982]","[190.53905, 0.03690934]",3,"[43.470734, 170.25043]",1,"[190.53905, 0.03690934]","[190.53905, 0.03690934]",4,"[57.425205, 467.993]",1,"[190.53905, 0.03690934]","[340.92136, 0.03634143]",5,"[498.25757, 378.52695]",1,"[340.92136, 0.03634143]","[340.65018, 0.033674955]",6,"[336.44684, 192.2799]",1,"[340.65018, 0.033674955]"
242,"[911.3277, 0.031581163]","[911.3277, 0.031581163]",impulse,impulse,"[903.16595, 0.027012587]",0,"[214.61734, 413.10977]",1,"[903.16595, 0.027012587]","[902.99786, 0.032238245]",1,"[104.91015, 350.68527]",1,"[902.99786, 0.032238245]","[879.22906, 0.03462982]",2,"[393.80228, 425.916]",1,"[879.22906, 0.03462982]","[190.53905, 0.03690934]",3,"[43.470734, 170.25043]",1,"[190.53905, 0.03690934]","[190.53905, 0.03690934]",4,"[57.425205, 467.993]",1,"[190.53905, 0.03690934]","[340.92136, 0.03634143]",5,"[498.25757, 378.52695]",1,"[340.92136, 0.03634143]","[340.65018, 0.033674955]",6,"[336.44684, 192.2799]",1,"[340.65018, 0.033674955]"
277,"[911.36523, 0.037534714]","[911.36523, 0.037534714]",impulse,impulse,"[903.16595, 0.027012587]",0,"[214.61734, 413.10977]",1,"[903.16595, 0.027012587]","[902.99786, 0.032238245]",1,"[104.91015, 350.68527]",1,"[902.99786, 0.032238245]","[879.22906, 0.03462982]",2,"[393.80228, 425.916]",1,"[879.22906, 0.03462982]","[190.53905, 0.03690934]",3,"[43.470734, 170.25043]",1,"[190.53905, 0.03690934]","[190.53905, 0.03690934]",4,"[57.425205, 467.993]",1,"[190.53905, 0.03690934]","[340.92136, 0.03634143]",5,"[498.25757, 378.52695]",1,"[340.92136, 0.03634143]","[340.65018, 0.033674955]",6,"[336.44684, 192.2799]",1,"[340.65018, 0.033674955]"
312,"[911.40155, 0.03631711]","[911.40155, 0.03631711]",impulse,impulse,"[903.16595, 0.027012587]",0,"[214.61734, 413.10977]",1,"[903.16595, 0.027012587]","[902.99786, 0.032238245]",1,"[104.91015, 350.68527]",1,"[902.99786, 0.032238245]","[879.22906, 0.03462982]",2,"[393.80228, 425.916]",1,"[879.22906, 0.03462982]","[190.53905, 0.03690934]",3,"[43.470734, 170.25043]",1,"[190.53905, 0.03690934]","[190.53905, 0.03690934]",4,"[57.425205, 467.993]",1,"[190.53905, 0.03690934]","[340.92136, 0.03634143]",5,"[498.25757, 378.52695]",1,"[340.92136, 0.03634143]","[340.65018, 0.033674955]",6,"[336.44684, 192.2799]",1,"[340.65018, 0.033674955]"
