timestamp,/livepose/frame,/livepose/end_frame,/livepose/blobs/start_filter,/livepose/blobs/end_filter,/livepose/blobs/0/0/start_pose,/livepose/blobs/0/0/blob_id,/livepose/blobs/0/0/center,/livepose/blobs/0/0/size,/livepose/blobs/0/0/end_pose,/livepose/blobs/0/1/start_pose,/livepose/blobs/0/1/blob_id,/livepose/blobs/0/1/center,/livepose/blobs/0/1/size,/livepose/blobs/0/1/end_pose,/livepose/blobs/0/2/start_pose,/livepose/blobs/0/2/blob_id,/livepose/blobs/0/2/center,/livepose/blobs/0/2/size,/livepose/blobs/0/2/end_pose,/livepose/blobs/0/3/start_pose,/livepose/blobs/0/3/blob_id,/livepose/blobs/0/3/center,/livepose/blobs/0/3/size,/livepose/blobs/0/3/end_pose,/livepose/blobs/0/4/start_pose,/livepose/blobs/0/4/blob_id,/livepose/blobs/0/4/center,/livepose/blobs/0/4/size,/livepose/blobs/0/4/end_pose,/livepose/blobs/0/5/start_pose,/livepose/blobs/0/5/blob_id,/livepose/blobs/0/5/center,/livepose/blobs/0/5/size,/livepose/blobs/0/5/end_pose,/livepose/blobs/0/6/start_pose,/livepose/blobs/0/6/blob_id,/livepose/blobs/0/6/center,/livepose/blobs/0/6/size,/livepose/blobs/0/6/end_pose
0,"[153.61862, 0.04224682]","[153.61862, 0.04224682]",impulse,impulse,"[153.61862, 0.04224682]",0,"[437.92975, 505.76068]",1,"[153.61862, 0.04224682]","[153.61862, 0.04224682]",1,"[381.56937, 509.4526]",1,"[153.61862, 0.04224682]","[153.61862, 0.04224682]",2,"[463.89658, 412.08475]",1,"[153.61862, 0.04224682]","[153.61862, 0.04224682]",3,"[327.97162, 481.92584]",1,"[153.61862, 0.04224682]","[153.61862, 0.04224682]",4,"[296.52582, 371.754]",1,"[153.61862, 0.04224682]","[992.53217, 0.035859585]",5,"[262.01712, 583.3918]",1,"[992.53217, 0.035859585]","[976.2967, 0.03407049]",6,"[151.6053, 403.97232]",1,"[976.2967, 0.03407049]"
33,"[153.64288, 0.024260283]","[153.64288, 0.024260283]",impulse,impulse,"[153.64288, 0.024260283]",0,"[437.92975, 505.76068]",1,"[153.64288, 0.024260283]","[153.64288, 0.024260283]",1,"[381.91858, 509.24188]",1,"[153.64288, 0.024260283]","[153.64288, 0.024260283]",2,"[463.86362, 411.53503]",1,"[153.64288, 0.024260283]","[153.64288, 0.024260283]",3,"[328.24734, 481.64127]",1,"[153.64288, 0.024260283]","[153.64288, 0.024260283]",4,"[296.3753, 371.5322]",1,"[153.64288, 0.024260283]","[992.53217, 0.035859585]",5,"[262.01712, 583.3918]",1,"[992.53217, 0.035859585]","[976.2967, 0.03407049]",6,"[151.6053, 403.97232]",1,"[976.2967, 0.03407049]"
68,"[153.67967, 0.036783695]","[153.67967, 0.036783695]",impulse,impulse,"[153.67967, 0.036783695]",0,"[437.92975, 505.76068]",1,"[153.67967, 0.036783695]","[153.67967, 0.036783695]",1,"[382.47635, 508.91757]",1,"[153.67967, 0.036783695]","[153.67967, 0.036783695]",2,"[463.80505, 410.68796]",1,"[153.67967, 0.036783695]","[153.67967, 0.036783695]",3,"[328.6428, 481.18497]",1,"[153.67967, 0.036783695]","[153.67967, 0.036783695]",4,"[296.1381, 371.18292]",1,"[153.67967, 0.036783695]","[992.53217, 0.035859585]",5,"[262.01712, 583.3918]",1,"[992.53217, 0.035859585]","[976.2967, 0.03407049]",6,"[151.6053, 403.97232]",1,"[976.2967, 0.03407049]"
103,"[153.7137, 0.0340209]","[153.7137, 0.0340209]",impulse,impulse,"[153.7137, 0.0340209]",0,"[437.92975, 505.76068]",1,"[153.7137, 0.0340209]","[153.7137, 0.0340209]",1,"[383.0275, 508.63263]",1,"[153.7137, 0.0340209]","[153.7137, 0.0340209]",2,"[463.76068, 409.87073]",1,"[153.7137, 0.0340209]","[153.7137, 0.0340209]",3,"[329.00378, 480.7072]",1,"[153.7137, 0.0340209]","[153.7137, 0.0340209]",4,"[295.9516, 370.87714]",1,"[153.7137, 0.0340209]","[992.53217, 0.035859585]",5,"[262.01712, 583.3918]",1,"[992.53217, 0.035859585]","[976.2967, 0.03407049]",6,"[151.6053, 403.97232]",1,"[976.2967, 0.03407049]"
139,"[153.7409, 0.027216196]","[153.7409, 0.027216196]",impulse,impulse,"[153.7409, 0.027216196]",0,"[437.92975, 505.76068]",1,"[153.7409, 0.027216196]","[153.7409, 0.027216196]",1,"[383.51334, 508.42087]",1,"[153.7409, 0.027216196]","[153.7409, 0.027216196]",2,"[463.73254, 409.1727]",1,"[153.7409, 0.027216196]","[153.7409, 0.027216196]",3,"[329.28317, 480.2892]",1,"[153.7409, 0.027216196]","[153.7409, 0.027216196]",4,"[295.7857, 370.61423]",1,"[153.7409, 0.027216196]","[992.53217, 0.035859585]",5,"[262.01712, 583.3918]",1,"[992.53217, 0.035859585]","[976.2967, 0.03407049]",6,"[151.6053, 403.97232]",1,"[976.2967, 0.03407049]"
173,"[153.77367, 0.03275609]","[153.77367, 0.03275609]",impulse,impulse,"[153.77367, 0.03275609]",0,"[437.92975, 505.76068]",1,"[153.77367, 0.03275609]","[153.77367, 0.03275609]",1,"[384.2433, 508.23114]",1,"[153.77367, 0.03275609]","[153.77367, 0.03275609]",2,"[463.7749, 408.14276]",1,"[153.77367, 0.03275609]","[153.77367, 0.03275609]",3,"[329.62988, 479.6471]",1,"[153.77367, 0.03275609]","[153.77367, 0.03275609]",4,"[295.5632, 370.2048]",1,"[153.77367, 0.03275609]","[992.53217, 0.035859585]",5,"[262.01712, 583.3918]",1,"[992.53217, 0.035859585]","[976.2967, 0.03407049]",6,"[151.6053, 403.97232]",1,"[976.2967, 0.03407049]"
208,"[153.83887, 0.029652357]","[153.80922, 0.03555584]",impulse,impulse,"[153.80922, 0.03555584]",0,"[437.92975, 505.76068]",1,"[153.80922, 0.03555584]","[153.80922, 0.03555584]",1,"[384.89093, 508.0628]",1,"[153.80922, 0.03555584]","[153.80922, 0.03555584]",2,"[463.81247, 407.22894]",1,"[153.80922, 0.03555584]","[153.83887, 0.029652357]",3,"[329.9375, 479.07736]",1,"[153.80922, 0.03555584]","[153.80922, 0.03555584]",4,"[295.36575, 369.84152]",1,"[153.80922, 0.03555584]","[992.53217, 0.035859585]",5,"[262.01712, 583.3918]",1,"[992.53217, 0.035859585]","[976.2967, 0.03407049]",6,"[151.6053, 403.97232]",1,"[976.2967, 0.03407049]"
242,"[153.83887, 0.029652357]","[153.83887, 0.029652357]",impulse,impulse,"[153.83887, 0.029652357]",0,"[437.92975, 505.76068]",1,"[153.83887, 0.029652357]","[153.83887, 0.029652357]",1,"[385.45554, 507.96216]",1,"[153.83887, 0.029652357]","[153.83887, 0.029652357]",2,"[463.89285, 406.44437]",1,"[153.83887, 0.029652357]","[153.83887, 0.029652357]",3,"[330.1885, 478.58435]",1,"[153.83887, 0.029652357]","[153.83887, 0.029652357]",4,"[295.21524, 369.5119]",1,"[153.83887, 0.029652357]","[992.53217, 0.035859585]",5,"[262.01712, 583.3918]",1,"[992.53217, 0.035859585]","[976.2967, 0.03407049]",6,"[151.6053, 403.97232]",1,"[976.2967, 0.03407049]"
277,"[153.87141, 0.032543182]","[153.87141, 0.032543182]",impulse,impulse,"[153.87141, 0.032543182]",0,"[437.92975, 505.76068]",1,"[153.87141, 0.032543182]","[153.87141, 0.032543182]",1,"[386.05954, 507.92038]",1,"[153.87141, 0.032543182]","[153.87141, 0.032543182]",2,"[464.01605, 405.58047]",1,"[153.87141, 0.032543182]","[153.87141, 0.032543182]",3,"[330.46387, 478.0313]",1,"[153.87141, 0.032543182]","[153.87141, 0.032543182]",4,"[295.07645, 369.14233]",1,"[153.87141, 0.032543182]","[992.53217, 0.035859585]",5,"[262.01712, 583.3918]",1,"[992.53217, 0.035859585]","[976.2967, 0.03407049]",6,"[151.6053, 403.97232]",1,"[976.2967, 0.03407049]"
312,"[153.9129, 0.041485786]","[153.9129, 0.041485786]",impulse,impulse,"[153.9129, 0.041485786]",0,"[437.92975, 505.76068]",1,"[153.9129, 0.041485786]","[153.9129, 0.041485786]",1,"[386.96277, 507.94733]",1,"[153.9129, 0.041485786]","[153.9129, 0.041485786]",2,"[464.28433, 404.36316]",1,"[153.9129, 0.041485786]","[153.9129, 0.041485786]",3,"[330.80307, 477.24612]",1,"[153.9129, 0.041485786]","[153.9129, 0.041485786]",4,"[294.92877, 368.5834]",1,"[153.9129, 0.041485786]","[992.53217, 0.035859585]",5,"[262.01712, 583.3918]",1,"[992.53217, 0.035859585]","[976.2967, 0.03407049]",6,"[151.6053, 403.97232]",1,"[976.2967, 0.03407049]"
347,"[153.97961, 0.034711838]","[153.9449, 0.03200364]",impulse,impulse,"[153.9449, 0.03200364]",0,"[437.92975, 505.76068]",1,"[153.9449, 0.03200364]","[153.9449, 0.03200364]",1,"[387.54288, 507.96463]",1,"[153.9449, 0.03200364]","[153.9449, 0.03200364]",2,"[464.45667, 403.5813]",1,"[153.9449, 0.03200364]","[153.9449, 0.03200364]",3,"[331.0209, 476.74182]",1,"[153.9449, 0.03200364]","[153.9449, 0.03200364]",4,"[294.83392, 368.22443]",1,"[153.9449, 0.03200364]","[992.53217, 0.035859585]",5,"[262.01712, 583.3918]",1,"[992.53217, 0.035859585]","[976.2967, 0.03407049]",6,"[151.6053, 403.97232]",1,"[976.2967, 0.03407049]"
382,"[154.0158, 0.03617835]","[154.0158, 0.03617835]",impulse,impulse,"[154.0158, 0.03617835]",0,"[437.92975, 505.76068]",1,"[154.0158, 0.03617835]","[154.0158, 0.03617835]",1,"[388.82996, 508.0456]",1,"[154.0158, 0.03617835]","[154.0158, 0.03617835]",2,"[464.9075, 401.8815]",1,"[154.0158, 0.03617835]","[154.0158, 0.03617835]",3,"[331.48224, 475.62573]",1,"[154.0158, 0.03617835]","[154.0158, 0.03617835]",4,"[294.71085, 367.41656]",1,"[154.0158, 0.03617835]","[992.53217, 0.035859585]",5,"[262.01712, 583.3918]",1,"[992.53217, 0.035859585]","[976.2967, 0.03407049]",6,"[151.6053, 403.97232]",1,"[976.2967, 0.03407049]"
417,"[154.0415, 0.025713444]","[154.0415, 0.025713444]",impulse,impulse,"[154.0415, 0.025713444]",0,"[437.92975, 505.76068]",1,"[154.0415, 0.025713444]","[154.0415, 0.025713444]",1,"[389.31696, 508.10028]",1,"[154.0415, 0.025713444]","[154.0415, 0.025713444]",2,"[465.1048, 401.24533]",1,"[154.0415, 0.025713444]","[154.0415, 0.025713444]",3,"[331.6621, 475.20337]",1,"[154.0415, 0.025713444]","[154.0415, 0.025713444]",4,"[294.6934, 367.10812]",1,"[154.0415, 0.025713444]","[992.53217, 0.035859585]",5,"[262.01712, 583.3918]",1,"[992.53217, 0.035859585]","[976.2967, 0.03407049]",6,"[151.6053, 403.97232]",1,"[976.2967, 0.03407049]"
451,"[154.07283, 0.03131652]","[154.07283, 0.03131652]",impulse,impulse,"[154.07283, 0.03131652]",0,"[437.92975, 505.76068]",1,"[154.07283, 0.03131652]","[154.07283, 0.03131652]",1,"[389.8951, 508.1883]",1,"[154.07283, 0.03131652]","[154.07283, 0.03131652]",2,"[465.37012, 400.5238]",1,"[154.07283, 0.03131652]","[154.07283, 0.03131652]",3,"[331.8815, 474.70364]",1,"[154.07283, 0.03131652]","[154.07283, 0.03131652]",4,"[294.68823, 366.71683]",1,"[154.07283, 0.03131652]","[992.53217, 0.035859585]",5,"[262.01712, 583.3918]",1,"[992.53217, 0.035859585]","[976.2967, 0.03407049]",6,"[151.6053, 403.97232]",1,"[976.2967, 0.03407049]"
486,"[154.10733, 0.034510612]","[154.10733, 0.034510612]",impulse,impulse,"[154.10733, 0.034510612]",0,"[437.92975, 505.76068]",1,"[154.10733, 0.034510612]","[154.10733, 0.034510612]",1,"[390.49432, 508.2793]",1,"[154.10733, 0.034510612]","[154.10733, 0.034510612]",2,"[465.67975, 399.78955]",1,"[154.10733, 0.034510612]","[154.10733, 0.034510612]",3,"[332.11523, 474.15173]",1,"[154.10733, 0.034510612]","[154.10733, 0.034510612]",4,"[294.69083, 366.29318]",1,"[154.10733, 0.034510612]","[992.53217, 0.035859585]",5,"[262.01712, 583.3918]",1,"[992.53217, 0.035859585]","[976.2967, 0.03407049]",6,"[151.6053, 403.97232]",1,"[976.2967, 0.03407049]"
521,"[154.13977, 0.032435656]","[154.13977, 0.032435656]",impulse,impulse,"[154.13977, 0.032435656]",0,"[437.92975, 505.76068]",1,"[154.13977, 0.032435656]","[154.13977, 0.032435656]",1,"[391.0411, 508.3756]",1,"[154.13977, 0.032435656]","[154.13977, 0.032435656]",2,"[465.97028, 399.15393]",1,"[154.13977, 0.032435656]","[154.13977, 0.032435656]",3,"[332.3481, 473.64456]",1,"[154.13977, 0.032435656]","[154.13977, 0.032435656]",4,"[294.6979, 365.88718]",1,"[154.13977, 0.032435656]","[992.53217, 0.035859585]",5,"[262.01712, 583.3918]",1,"[992.53217, 0.035859585]","[976.2967, 0.03407049]",6,"[151.6053, 403.97232]",1,"[976.2967, 0.03407049]"
