timestamp,/livepose/frame,/livepose/end_frame,/livepose/blobs/start_filter,/livepose/blobs/end_filter,/livepose/blobs/0/0/start_pose,/livepose/blobs/0/0/blob_id,/livepose/blobs/0/0/center,/livepose/blobs/0/0/size,/livepose/blobs/0/0/end_pose,/livepose/blobs/0/1/start_pose,/livepose/blobs/0/1/blob_id,/livepose/blobs/0/1/center,/livepose/blobs/0/1/size,/livepose/blobs/0/1/end_pose,/livepose/blobs/0/2/start_pose,/livepose/blobs/0/2/blob_id,/livepose/blobs/0/2/center,/livepose/blobs/0/2/size,/livepose/blobs/0/2/end_pose,/livepose/blobs/0/3/start_pose,/livepose/blobs/0/3/blob_id,/livepose/blobs/0/3/center,/livepose/blobs/0/3/size,/livepose/blobs/0/3/end_pose,/livepose/blobs/0/4/start_pose,/livepose/blobs/0/4/blob_id,/livepose/blobs/0/4/center,/livepose/blobs/0/4/size,/livepose/blobs/0/4/end_pose,/livepose/blobs/0/5/start_pose,/livepose/blobs/0/5/blob_id,/livepose/blobs/0/5/center,/livepose/blobs/0/5/size,/livepose/blobs/0/5/end_pose,/livepose/blobs/0/6/start_pose,/livepose/blobs/0/6/blob_id,/livepose/blobs/0/6/center,/livepose/blobs/0/6/size,/livepose/blobs/0/6/end_pose
33,"[552.2615, 0.02597785]","[552.2615, 0.02597785]",impulse,impulse,"[552.2615, 0.02597785]",0,"[408.5012, 395.4365]",1,"[552.2615, 0.02597785]","[525.8679, 0.03400898]",1,"[92.99386, 298.02805]",1,"[525.8679, 0.03400898]","[451.93042, 0.032339573]",2,"[500.52396, 270.519]",1,"[451.93042, 0.032339573]","[421.16495, 0.034059048]",3,"[357.3896, 373.24228]",1,"[421.16495, 0.034059048]","[190.53905, 0.03690934]",4,"[57.425205, 467.993]",1,"[190.53905, 0.03690934]","[340.92136, 0.03634143]",5,"[498.25757, 378.52695]",1,"[340.92136, 0.03634143]","[340.65018, 0.033674955]",6,"[336.44684, 192.2799]",1,"[340.65018, 0.033674955]"
67,"[552.3003, 0.03878832]","[552.3003, 0.03878832]",impulse,impulse,"[552.3003, 0.03878832]",0,"[409.87665, 395.06027]",1,"[552.3003, 0.03878832]","[525.8679, 0.03400898]",1,"[92.99386, 298.02805]",1,"[525.8679, 0.03400898]","[451.93042, 0.032339573]",2,"[500.52396, 270.519]",1,"[451.93042, 0.032339573]","[421.16495, 0.034059048]",3,"[357.3896, 373.24228]",1,"[421.16495, 0.034059048]","[190.53905, 0.03690934]",4,"[57.425205, 467.993]",1,"[190.53905, 0.03690934]","[340.92136, 0.03634143]",5,"[498.25757, 378.52695]",1,"[340.92136, 0.03634143]","[340.65018, 0.033674955]",6,"[336.44684, 192.2799]",1,"[340.65018, 0.033674955]"
102,"[552.3348, 0.03450489]","[552.3348, 0.03450489]",impulse,impulse,"[552.3348, 0.03450489]",0,"[411.27832, 394.66666]",1,"[552.3348, 0.03450489]","[525.8679, 0.03400898]",1,"[92.99386, 298.02805]",1,"[525.8679, 0.03400898]","[451.93042, 0.032339573]",2,"[500.52396, 270.519]",1,"[451.93042, 0.032339573]","[421.16495, 0.034059048]",3,"[357.3896, 373.24228]",1,"[421.16495, 0.034059048]","[190.53905, 0.03690934]",4,"[57.425205, 467.993]",1,"[190.53905, 0.03690934]","[340.92136, 0.03634143]",5,"[498.25757, 378.52695]",1,"[340.92136, 0.03634143]","[340.65018, 0.033674955]",6,"[336.44684, 192.2799]",1,"[340.65018, 0.033674955]"
137,"[552.3652, 0.030392408]","[552.3652, 0.030392408]",impulse,impulse,"[552.3652, 0.030392408]",0,"[412.46387, 394.33228]",1,"[552.3652, 0.030392408]","[525.8679, 0.03400898]",1,"[92.99386, 298.02805]",1,"[525.8679, 0.03400898]","[451.93042, 0.032339573]",2,"[500.52396, 270.519]",1,"[451.93042, 0.032339573]","[421.16495, 0.034059048]",3,"[357.3896, 373.24228]",1,"[421.16495, 0.034059048]","[190.53905, 0.03690934]",4,"[57.425205, 467.993]",1,"[190.53905, 0.03690934]","[340.92136, 0.03634143]",5,"[498.25757, 378.52695]",1,"[340.92136, 0.03634143]","[340.65018, 0.033674955]",6,"[336.44684, 192.2799]",1,"[340.65018, 0.033674955]"
172,"[552.43274, 0.033588886]","[552.43274, 0.033588886]",impulse,impulse,"[552.43274, 0.033588886]",0,"[414.8235, 393.58508]",1,"[552.43274, 0.033588886]","[525.8679, 0.03400898]",1,"[92.99386, 298.02805]",1,"[525.8679, 0.03400898]","[451.93042, 0.032339573]",2,"[500.52396, 270.519]",1,"[451.93042, 0.032339573]","[421.16495, 0.034059048]",3,"[357.3896, 373.24228]",1,"[421.16495, 0.034059048]","[190.53905, 0.03690934]",4,"[57.425205, 467.993]",1,"[190.53905, 0.03690934]","[340.92136, 0.03634143]",5,"[498.25757, 378.52695]",1,"[340.92136, 0.03634143]","[340.65018, 0.033674955]",6,"[336.44684, 192.2799]",1,"[340.65018, 0.033674955]"
207,"[552.4659, 0.033131123]","[552.4659, 0.033131123]",impulse,impulse,"[552.4659, 0.033131123]",0,"[415.8515, 393.20786]",1,"[552.4659, 0.033131123]","[525.8679, 0.03400898]",1,"[92.99386, 298.02805]",1,"[525.8679, 0.03400898]","[451.93042, 0.032339573]",2,"[500.52396, 270.519]",1,"[451.93042, 0.032339573]","[421.16495, 0.034059048]",3,"[357.3896, 373.24228]",1,"[421.16495, 0.034059048]","[190.53905, 0.03690934]",4,"[57.425205, 467.993]",1,"[190.53905, 0.03690934]","[340.92136, 0.03634143]",5,"[498.25757, 378.52695]",1,"[340.92136, 0.03634143]","[340.65018, 0.033674955]",6,"[336.44684, 192.2799]",1,"[340.65018, 0.033674955]"
242,"[552.5021, 0.0362072]","[552.5021, 0.0362072]",impulse,impulse,"[552.5021, 0.0362072]",0,"[416.86655, 392.75287]",1,"[552.5021, 0.0362072]","[525.8679, 0.03400898]",1,"[92.99386, 298.02805]",1,"[525.8679, 0.03400898]","[451.93042, 0.032339573]",2,"[500.52396, 270.519]",1,"[451.93042, 0.032339573]","[421.16495, 0.034059048]",3,"[357.3896, 373.24228]",1,"[421.16495, 0.034059048]","[190.53905, 0.03690934]",4,"[57.425205, 467.993]",1,"[190.53905, 0.03690934]","[340.92136, 0.03634143]",5,"[498.25757, 378.52695]",1,"[340.92136, 0.03634143]","[340.65018, 0.033674955]",6,"[336.44684, 192.2799]",1,"[340.65018, 0.033674955]"
276,"[552.53455, 0.032454967]","[552.53455, 0.032454967]",impulse,impulse,"[552.53455, 0.032454967]",0,"[417.69754, 392.29538]",1,"[552.53455, 0.032454967]","[525.8679, 0.03400898]",1,"[92.99386, 298.02805]",1,"[525.8679, 0.03400898]","[451.93042, 0.032339573]",2,"[500.52396, 270.519]",1,"[451.93042, 0.032339573]","[421.16495, 0.034059048]",3,"[357.3896, 373.24228]",1,"[421.16495, 0.034059048]","[190.53905, 0.03690934]",4,"[57.425205, 467.993]",1,"[190.53905, 0.03690934]","[340.92136, 0.03634143]",5,"[498.25757, 378.52695]",1,"[340.92136, 0.03634143]","[340.65018, 0.033674955]",6,"[336.44684, 192.2799]",1,"[340.65018, 0.033674955]"
311,"[552.56757, 0.033038855]","[552.56757, 0.033038855]",impulse,impulse,"[552.56757, 0.033038855]",0,"[418.47, 391.777]",1,"[552.56757, 0.033038855]","[525.8679, 0.03400898]",1,"[92.99386, 298.02805]",1,"[525.8679, 0.03400898]","[451.93042, 0.032339573]",2,"[500.52396, 270.519]",1,"[451.93042, 0.032339573]","[421.16495, 0.034059048]",3,"[357.3896, 373.24228]",1,"[421.16495, 0.034059048]","[190.53905, 0.03690934]",4,"[57.425205, 467.993]",1,"[190.53905, 0.03690934]","[340.92136, 0.03634143]",5,"[498.25757, 378.52695]",1,"[340.92136, 0.03634143]","[340.65018, 0.033674955]",6,"[336.44684, 192.2799]",1,"[340.65018, 0.033674955]"
346,"[552.6042, 0.03659177]","[552.6042, 0.03659177]",impulse,impulse,"[552.6042, 0.03659177]",0,"[419.22574, 391.17557]",1,"[552.6042, 0.03659177]","[525.8679, 0.03400898]",1,"[92.99386, 298.02805]",1,"[525.8679, 0.03400898]","[451.93042, 0.032339573]",2,"[500.52396, 270.519]",1,"[451.93042, 0.032339573]","[421.16495, 0.034059048]",3,"[357.3896, 373.24228]",1,"[421.16495, 0.034059048]","[190.53905, 0.03690934]",4,"[57.425205, 467.993]",1,"[190.53905, 0.03690934]","[340.92136, 0.03634143]",5,"[498.25757, 378.52695]",1,"[340.92136, 0.03634143]","[340.65018, 0.033674955]",6,"[336.44684, 192.2799]",1,"[340.65018, 0.033674955]"
