timestamp,/livepose/frame,/livepose/end_frame,/livepose/blobs/start_filter,/livepose/blobs/end_filter,/livepose/blobs/0/0/start_pose,/livepose/blobs/0/0/blob_id,/livepose/blobs/0/0/center,/livepose/blobs/0/0/size,/livepose/blobs/0/0/end_pose,/livepose/blobs/0/1/start_pose,/livepose/blobs/0/1/blob_id,/livepose/blobs/0/1/center,/livepose/blobs/0/1/size,/livepose/blobs/0/1/end_pose,/livepose/blobs/0/2/start_pose,/livepose/blobs/0/2/blob_id,/livepose/blobs/0/2/center,/livepose/blobs/0/2/size,/livepose/blobs/0/2/end_pose,/livepose/blobs/0/3/start_pose,/livepose/blobs/0/3/blob_id,/livepose/blobs/0/3/center,/livepose/blobs/0/3/size,/livepose/blobs/0/3/end_pose,/livepose/blobs/0/4/start_pose,/livepose/blobs/0/4/blob_id,/livepose/blobs/0/4/center,/livepose/blobs/0/4/size,/livepose/blobs/0/4/end_pose,/livepose/blobs/0/5/start_pose,/livepose/blobs/0/5/blob_id,/livepose/blobs/0/5/center,/livepose/blobs/0/5/size,/livepose/blobs/0/5/end_pose,/livepose/blobs/0/6/start_pose,/livepose/blobs/0/6/blob_id,/livepose/blobs/0/6/center,/livepose/blobs/0/6/size,/livepose/blobs/0/6/end_pose
0,"[933.1984, 0.038123846]","[933.1984, 0.038123846]",impulse,impulse,"[933.1984, 0.038123846]",0,"[271.30695, 595.97955]",1,"[933.1984, 0.038123846]","[933.1984, 0.038123846]",1,"[139.38416, 341.8857]",1,"[933.1984, 0.038123846]","[933.1984, 0.038123846]",2,"[138.70918, 343.60367]",1,"[933.1984, 0.038123846]","[933.1984, 0.038123846]",3,"[155.36156, 406.66684]",1,"[933.1984, 0.038123846]","[932.26086, 0.03070736]",4,"[211.78163, 492.44717]",1,"[932.26086, 0.03070736]","[932.26086, 0.03070736]",5,"[156.8321, 411.35605]",1,"[932.26086, 0.03070736]","[931.3298, 0.03537202]",6,"[308.2343, 608.1042]",1,"[931.3298, 0.03537202]"
33,"[933.22943, 0.031027794]","[933.22943, 0.031027794]",impulse,impulse,"[933.22943, 0.031027794]",0,"[258.75208, 573.50037]",1,"[933.22943, 0.031027794]","[933.22943, 0.031027794]",1,"[139.38416, 341.8857]",1,"[933.22943, 0.031027794]","[933.22943, 0.031027794]",2,"[138.63492, 343.60056]",1,"[933.22943, 0.031027794]","[933.22943, 0.031027794]",3,"[155.6652, 407.7168]",1,"[933.22943, 0.031027794]","[932.26086, 0.03070736]",4,"[211.78163, 492.44717]",1,"[932.26086, 0.03070736]","[932.26086, 0.03070736]",5,"[156.8321, 411.35605]",1,"[932.26086, 0.03070736]","[931.3298, 0.03537202]",6,"[308.2343, 608.1042]",1,"[931.3298, 0.03537202]"
68,"[933.2633, 0.033854246]","[933.2633, 0.033854246]",impulse,impulse,"[933.2633, 0.033854246]",0,"[258.75208, 573.50037]",1,"[933.2633, 0.033854246]","[933.2633, 0.033854246]",1,"[139.38416, 341.8857]",1,"[933.2633, 0.033854246]","[933.2633, 0.033854246]",2,"[138.53935, 343.5873]",1,"[933.2633, 0.033854246]","[933.2633, 0.033854246]",3,"[155.97041, 408.64075]",1,"[933.2633, 0.033854246]","[932.26086, 0.03070736]",4,"[211.78163, 492.44717]",1,"[932.26086, 0.03070736]","[932.26086, 0.03070736]",5,"[156.8321, 411.35605]",1,"[932.26086, 0.03070736]","[931.3298, 0.03537202]",6,"[308.2343, 608.1042]",1,"[931.3298, 0.03537202]"
103,"[933.29816, 0.034868956]","[933.29816, 0.034868956]",impulse,impulse,"[933.29816, 0.034868956]",0,"[258.75208, 573.50037]",1,"[933.29816, 0.034868956]","[933.29816, 0.034868956]",1,"[139.38416, 341.8857]",1,"[933.29816, 0.034868956]","[933.29816, 0.034868956]",2,"[138.4586, 343.57614]",1,"[933.29816, 0.034868956]","[933.29816, 0.034868956]",3,"[156.22827, 409.4214]",1,"[933.29816, 0.034868956]","[932.26086, 0.03070736]",4,"[211.78163, 492.44717]",1,"[932.26086, 0.03070736]","[932.26086, 0.03070736]",5,"[156.8321, 411.35605]",1,"[932.26086, 0.03070736]","[931.3298, 0.03537202]",6,"[308.2343, 608.1042]",1,"[931.3298, 0.03537202]"
138,"[933.32794, 0.029797077]","[933.32794, 0.029797077]",impulse,impulse,"[933.32794, 0.029797077]",0,"[258.75208, 573.50037]",1,"[933.32794, 0.029797077]","[933.32794, 0.029797077]",1,"[139.38416, 341.8857]",1,"[933.32794, 0.029797077]","[933.32794, 0.029797077]",2,"[138.38283, 343.55124]",1,"[933.32794, 0.029797077]","[933.32794, 0.029797077]",3,"[156.43633, 409.9735]",1,"[933.32794, 0.029797077]","[932.26086, 0.03070736]",4,"[211.78163, 492.44717]",1,"[932.26086, 0.03070736]","[932.26086, 0.03070736]",5,"[156.8321, 411.35605]",1,"[932.26086, 0.03070736]","[931.3298, 0.03537202]",6,"[308.2343, 608.1042]",1,"[931.3298, 0.03537202]"
173,"[933.3665, 0.03854847]","[933.3665, 0.03854847]",impulse,impulse,"[933.3665, 0.03854847]",0,"[258.75208, 573.50037]",1,"[933.3665, 0.03854847]","[933.3665, 0.03854847]",1,"[139.38416, 341.8857]",1,"[933.3665, 0.03854847]","[933.3665, 0.03854847]",2,"[138.44353, 343.994]",1,"[933.3665, 0.03854847]","[933.3665, 0.03854847]",3,"[156.68536, 410.5154]",1,"[933.3665, 0.03854847]","[932.26086, 0.03070736]",4,"[211.78163, 492.44717]",1,"[932.26086, 0.03070736]","[932.26086, 0.03070736]",5,"[156.8321, 411.35605]",1,"[932.26086, 0.03070736]","[931.3298, 0.03537202]",6,"[308.2343, 608.1042]",1,"[931.3298, 0.03537202]"
207,"[933.39886, 0.032351732]","[933.39886, 0.032351732]",impulse,impulse,"[933.39886, 0.032351732]",0,"[258.75208, 573.50037]",1,"[933.39886, 0.032351732]","[933.39886, 0.032351732]",1,"[139.38416, 341.8857]",1,"[933.39886, 0.032351732]","[933.39886, 0.032351732]",2,"[138.4627, 344.296]",1,"[933.39886, 0.032351732]","[933.39886, 0.032351732]",3,"[156.87495, 410.89636]",1,"[933.39886, 0.032351732]","[932.26086, 0.03070736]",4,"[211.78163, 492.44717]",1,"[932.26086, 0.03070736]","[932.26086, 0.03070736]",5,"[156.8321, 411.35605]",1,"[932.26086, 0.03070736]","[931.3298, 0.03537202]",6,"[308.2343, 608.1042]",1,"[931.3298, 0.03537202]"
242,"[933.432, 0.033142805]","[933.432, 0.033142805]",impulse,impulse,"[933.432, 0.033142805]",0,"[242.21913, 544.30914]",1,"[933.432, 0.033142805]","[933.432, 0.033142805]",1,"[139.38416, 341.8857]",1,"[933.432, 0.033142805]","[933.432, 0.033142805]",2,"[138.45572, 344.54813]",1,"[933.432, 0.033142805]","[933.432, 0.033142805]",3,"[157.04034, 411.2045]",1,"[933.432, 0.033142805]","[932.26086, 0.03070736]",4,"[211.78163, 492.44717]",1,"[932.26086, 0.03070736]","[932.26086, 0.03070736]",5,"[156.8321, 411.35605]",1,"[932.26086, 0.03070736]","[931.3298, 0.03537202]",6,"[308.2343, 608.1042]",1,"[931.3298, 0.03537202]"
277,"[933.4724, 0.04043889]","[933.4724, 0.04043889]",impulse,impulse,"[933.4724, 0.04043889]",0,"[239.57176, 539.6398]",1,"[933.4724, 0.04043889]","[933.4724, 0.04043889]",1,"[139.38416, 341.8857]",1,"[933.4724, 0.04043889]","[933.4724, 0.04043889]",2,"[138.21722, 344.27673]",1,"[933.4724, 0.04043889]","[933.4724, 0.04043889]",3,"[157.22258, 411.49487]",1,"[933.4724, 0.04043889]","[932.26086, 0.03070736]",4,"[211.78163, 492.44717]",1,"[932.26086, 0.03070736]","[932.26086, 0.03070736]",5,"[156.8321, 411.35605]",1,"[932.26086, 0.03070736]","[931.3298, 0.03537202]",6,"[308.2343, 608.1042]",1,"[931.3298, 0.03537202]"
312,"[933.49536, 0.022907972]","[933.49536, 0.022907972]",impulse,impulse,"[933.49536, 0.022907972]",0,"[238.24194, 537.3305]",1,"[933.49536, 0.022907972]","[933.49536, 0.022907972]",1,"[139.38416, 341.8857]",1,"[933.49536, 0.022907972]","[933.49536, 0.022907972]",2,"[138.08699, 344.1228]",1,"[933.49536, 0.022907972]","[933.49536, 0.022907972]",3,"[157.32486, 411.63284]",1,"[933.49536, 0.022907972]","[932.26086, 0.03070736]",4,"[211.78163, 492.44717]",1,"[932.26086, 0.03070736]","[932.26086, 0.03070736]",5,"[156.8321, 411.35605]",1,"[932.26086, 0.03070736]","[931.3298, 0.03537202]",6,"[308.2343, 608.1042]",1,"[931.3298, 0.03537202]"
