timestamp,/livepose/frame,/livepose/end_frame,/livepose/blobs/start_filter,/livepose/blobs/end_filter,/livepose/blobs/0/0/start_pose,/livepose/blobs/0/0/blob_id,/livepose/blobs/0/0/center,/livepose/blobs/0/0/size,/livepose/blobs/0/0/end_pose,/livepose/blobs/0/1/start_pose,/livepose/blobs/0/1/blob_id,/livepose/blobs/0/1/center,/livepose/blobs/0/1/size,/livepose/blobs/0/1/end_pose,/livepose/blobs/0/2/start_pose,/livepose/blobs/0/2/blob_id,/livepose/blobs/0/2/center,/livepose/blobs/0/2/size,/livepose/blobs/0/2/end_pose,/livepose/blobs/0/3/start_pose,/livepose/blobs/0/3/blob_id,/livepose/blobs/0/3/center,/livepose/blobs/0/3/size,/livepose/blobs/0/3/end_pose,/livepose/blobs/0/4/start_pose,/livepose/blobs/0/4/blob_id,/livepose/blobs/0/4/center,/livepose/blobs/0/4/size,/livepose/blobs/0/4/end_pose,/livepose/blobs/0/5/start_pose,/livepose/blobs/0/5/blob_id,/livepose/blobs/0/5/center,/livepose/blobs/0/5/size,/livepose/blobs/0/5/end_pose,/livepose/blobs/0/6/start_pose,/livepose/blobs/0/6/blob_id,/livepose/blobs/0/6/center,/livepose/blobs/0/6/size,/livepose/blobs/0/6/end_pose
0,"[813.0659, 0.026001453]","[813.0659, 0.026001453]",impulse,impulse,"[813.0659, 0.026001453]",0,"[437.6839, 326.0494]",1,"[813.0659, 0.026001453]","[813.0659, 0.026001453]",1,"[314.22232, 311.2081]",1,"[813.0659, 0.026001453]","[707.16406, 0.030115128]",2,"[272.16287, 189.26851]",1,"[707.16406, 0.030115128]","[190.53905, 0.03690934]",3,"[43.470734, 170.25043]",1,"[190.53905, 0.03690934]","[190.53905, 0.03690934]",4,"[57.425205, 467.993]",1,"[190.53905, 0.03690934]","[340.92136, 0.03634143]",5,"[498.25757, 378.52695]",1,"[340.92136, 0.03634143]","[340.65018, 0.033674955]",6,"[336.44684, 192.2799]",1,"[340.65018, 0.033674955]"
34,"[813.1016, 0.03567791]","[813.1016, 0.03567791]",impulse,impulse,"[813.1016, 0.03567791]",0,"[436.37427, 328.46954]",1,"[813.1016, 0.03567791]","[813.1016, 0.03567791]",1,"[311.64417, 310.23904]",1,"[813.1016, 0.03567791]","[707.16406, 0.030115128]",2,"[272.16287, 189.26851]",1,"[707.16406, 0.030115128]","[190.53905, 0.03690934]",3,"[43.470734, 170.25043]",1,"[190.53905, 0.03690934]","[190.53905, 0.03690934]",4,"[57.425205, 467.993]",1,"[190.53905, 0.03690934]","[340.92136, 0.03634143]",5,"[498.25757, 378.52695]",1,"[340.92136, 0.03634143]","[340.65018, 0.033674955]",6,"[336.44684, 192.2799]",1,"[340.65018, 0.033674955]"
69,"[813.13684, 0.035239697]","[813.13684, 0.035239697]",impulse,impulse,"[813.13684, 0.035239697]",0,"[434.9418, 330.5167]",1,"[813.13684, 0.035239697]","[813.13684, 0.035239697]",1,"[308.9873, 310.03207]",1,"[813.13684, 0.035239697]","[707.16406, 0.030115128]",2,"[272.16287, 189.26851]",1,"[707.16406, 0.030115128]","[190.53905, 0.03690934]",3,"[43.470734, 170.25043]",1,"[190.53905, 0.03690934]","[190.53905, 0.03690934]",4,"[57.425205, 467.993]",1,"[190.53905, 0.03690934]","[340.92136, 0.03634143]",5,"[498.25757, 378.52695]",1,"[340.92136, 0.03634143]","[340.65018, 0.033674955]",6,"[336.44684, 192.2799]",1,"[340.65018, 0.033674955]"
103,"[813.16766, 0.03079629]","[813.16766, 0.03079629]",impulse,impulse,"[813.16766, 0.03079629]",0,"[433.49655, 332.17407]",1,"[813.16766, 0.03079629]","[813.16766, 0.03079629]",1,"[306.64276, 309.8386]",1,"[813.16766, 0.03079629]","[707.16406, 0.030115128]",2,"[272.16287, 189.26851]",1,"[707.16406, 0.030115128]","[190.53905, 0.03690934]",3,"[43.470734, 170.25043]",1,"[190.53905, 0.03690934]","[190.53905, 0.03690934]",4,"[57.425205, 467.993]",1,"[190.53905, 0.03690934]","[340.92136, 0.03634143]",5,"[498.25757, 378.52695]",1,"[340.92136, 0.03634143]","[340.65018, 0.033674955]",6,"[336.44684, 192.2799]",1,"[340.65018, 0.033674955]"
138,"[813.19965, 0.031965017]","[813.19965, 0.031965017]",impulse,impulse,"[813.19965, 0.031965017]",0,"[431.8089, 333.88953]",1,"[813.19965, 0.031965017]","[813.19965, 0.031965017]",1,"[304.19757, 309.60754]",1,"[813.19965, 0.031965017]","[707.16406, 0.030115128]",2,"[272.16287, 189.26851]",1,"[707.16406, 0.030115128]","[190.53905, 0.03690934]",3,"[43.470734, 170.25043]",1,"[190.53905, 0.03690934]","[190.53905, 0.03690934]",4,"[57.425205, 467.993]",1,"[190.53905, 0.03690934]","[340.92136, 0.03634143]",5,"[498.25757, 378.52695]",1,"[340.92136, 0.03634143]","[340.65018, 0.033674955]",6,"[336.44684, 192.2799]",1,"[340.65018, 0.033674955]"
173,"[813.23157, 0.031915903]","[813.23157, 0.031915903]",impulse,impulse,"[813.23157, 0.031915903]",0,"[429.96024, 335.5657]",1,"[813.23157, 0.031915903]","[813.23157, 0.031915903]",1,"[301.7084, 309.38736]",1,"[813.23157, 0.031915903]","[707.16406, 0.030115128]",2,"[272.16287, 189.26851]",1,"[707.16406, 0.030115128]","[190.53905, 0.03690934]",3,"[43.470734, 170.25043]",1,"[190.53905, 0.03690934]","[190.53905, 0.03690934]",4,"[57.425205, 467.993]",1,"[190.53905, 0.03690934]","[340.92136, 0.03634143]",5,"[498.25757, 378.52695]",1,"[340.92136, 0.03634143]","[340.65018, 0.033674955]",6,"[336.44684, 192.2799]",1,"[340.65018, 0.033674955]"
208,"[813.26385, 0.03229642]","[813.26385, 0.03229642]",impulse,impulse,"[813.26385, 0.03229642]",0,"[428.4051, 336.97577]",1,"[813.26385, 0.03229642]","[813.26385, 0.03229642]",1,"[299.61444, 309.20215]",1,"[813.26385, 0.03229642]","[707.16406, 0.030115128]",2,"[272.16287, 189.26851]",1,"[707.16406, 0.030115128]","[190.53905, 0.03690934]",3,"[43.470734, 170.25043]",1,"[190.53905, 0.03690934]","[190.53905, 0.03690934]",4,"[57.425205, 467.993]",1,"[190.53905, 0.03690934]","[340.92136, 0.03634143]",5,"[498.25757, 378.52695]",1,"[340.92136, 0.03634143]","[340.65018, 0.033674955]",6,"[336.44684, 192.2799]",1,"[340.65018, 0.033674955]"
243,"[813.30426, 0.0404377]","[813.30426, 0.0404377]",impulse,impulse,"[813.30426, 0.0404377]",0,"[425.66238, 338.82483]",1,"[813.30426, 0.0404377]","[813.30426, 0.0404377]",1,"[296.45334, 308.24753]",1,"[813.30426, 0.0404377]","[707.16406, 0.030115128]",2,"[272.16287, 189.26851]",1,"[707.16406, 0.030115128]","[190.53905, 0.03690934]",3,"[43.470734, 170.25043]",1,"[190.53905, 0.03690934]","[190.53905, 0.03690934]",4,"[57.425205, 467.993]",1,"[190.53905, 0.03690934]","[340.92136, 0.03634143]",5,"[498.25757, 378.52695]",1,"[340.92136, 0.03634143]","[340.65018, 0.033674955]",6,"[336.44684, 192.2799]",1,"[340.65018, 0.033674955]"
278,"[813.3407, 0.03641367]","[813.3407, 0.03641367]",impulse,impulse,"[813.3407, 0.03641367]",0,"[423.02936, 340.342]",1,"[813.3407, 0.03641367]","[813.3407, 0.03641367]",1,"[293.69498, 307.55966]",1,"[813.3407, 0.03641367]","[707.16406, 0.030115128]",2,"[272.16287, 189.26851]",1,"[707.16406, 0.030115128]","[190.53905, 0.03690934]",3,"[43.470734, 170.25043]",1,"[190.53905, 0.03690934]","[190.53905, 0.03690934]",4,"[57.425205, 467.993]",1,"[190.53905, 0.03690934]","[340.92136, 0.03634143]",5,"[498.25757, 378.52695]",1,"[340.92136, 0.03634143]","[340.65018, 0.033674955]",6,"[336.44684, 192.2799]",1,"[340.65018, 0.033674955]"
312,"[813.3735, 0.032800436]","[813.3735, 0.032800436]",impulse,impulse,"[813.3735, 0.032800436]",0,"[420.4829, 341.63528]",1,"[813.3735, 0.032800436]","[813.3735, 0.032800436]",1,"[291.24585, 307.0871]",1,"[813.3735, 0.032800436]","[707.16406, 0.030115128]",2,"[272.16287, 189.26851]",1,"[707.16406, 0.030115128]","[190.53905, 0.03690934]",3,"[43.470734, 170.25043]",1,"[190.53905, 0.03690934]","[190.53905, 0.03690934]",4,"[57.425205, 467.993]",1,"[190.53905, 0.03690934]","[340.92136, 0.03634143]",5,"[498.25757, 378.52695]",1,"[340.92136, 0.03634143]","[340.65018, 0.033674955]",6,"[336.44684, 192.2799]",1,"[340.65018, 0.033674955]"
