timestamp,/livepose/frame,/livepose/end_frame,/livepose/blobs/start_filter,/livepose/blobs/end_filter,/livepose/blobs/0/0/start_pose,/livepose/blobs/0/0/blob_id,/livepose/blobs/0/0/center,/livepose/blobs/0/0/size,/livepose/blobs/0/0/end_pose,/livepose/blobs/0/1/start_pose,/livepose/blobs/0/1/blob_id,/livepose/blobs/0/1/center,/livepose/blobs/0/1/size,/livepose/blobs/0/1/end_pose,/livepose/blobs/0/2/start_pose,/livepose/blobs/0/2/blob_id,/livepose/blobs/0/2/center,/livepose/blobs/0/2/size,/livepose/blobs/0/2/end_pose,/livepose/blobs/0/3/start_pose,/livepose/blobs/0/3/blob_id,/livepose/blobs/0/3/center,/livepose/blobs/0/3/size,/livepose/blobs/0/3/end_pose,/livepose/blobs/0/4/start_pose,/livepose/blobs/0/4/blob_id,/livepose/blobs/0/4/center,/livepose/blobs/0/4/size,/livepose/blobs/0/4/end_pose,/livepose/blobs/0/5/start_pose,/livepose/blobs/0/5/blob_id,/livepose/blobs/0/5/center,/livepose/blobs/0/5/size,/livepose/blobs/0/5/end_pose,/livepose/blobs/0/6/start_pose,/livepose/blobs/0/6/blob_id,/livepose/blobs/0/6/center,/livepose/blobs/0/6/size,/livepose/blobs/0/6/end_pose
0,"[108.99821, 0.02710557]","[108.99821, 0.02710557]",impulse,impulse,"[108.99821, 0.02710557]",0,"[401.53812, 359.22037]",1,"[108.99821, 0.02710557]","[108.99821, 0.02710557]",1,"[434.77823, 203.1725]",1,"[108.99821, 0.02710557]","[108.99821, 0.02710557]",2,"[393.8495, 191.1016]",1,"[108.99821, 0.02710557]","[108.99821, 0.02710557]",3,"[439.31143, 332.0186]",1,"[108.99821, 0.02710557]","[108.99821, 0.02710557]",4,"[239.09842, 268.80685]",1,"[108.99821, 0.02710557]","[108.99821, 0.02710557]",5,"[208.9173, 339.3793]",1,"[108.99821, 0.02710557]","[108.99821, 0.02710557]",6,"[238.98557, 273.2069]",1,"[108.99821, 0.02710557]"
32,"[109.031456, 0.033247232]","[109.031456, 0.033247232]",impulse,impulse,"[109.031456, 0.033247232]",0,"[401.53915, 359.2492]",1,"[109.031456, 0.033247232]","[109.031456, 0.033247232]",1,"[434.75656, 203.11095]",1,"[109.031456, 0.033247232]","[109.031456, 0.033247232]",2,"[393.80002, 191.10677]",1,"[109.031456, 0.033247232]","[109.031456, 0.033247232]",3,"[439.33887, 332.16086]",1,"[109.031456, 0.033247232]","[109.031456, 0.033247232]",4,"[239.09842, 268.80685]",1,"[109.031456, 0.033247232]","[109.031456, 0.033247232]",5,"[208.20238, 338.60883]",1,"[109.031456, 0.033247232]","[109.031456, 0.033247232]",6,"[238.80174, 273.163]",1,"[109.031456, 0.033247232]"
67,"[109.064316, 0.032859802]","[109.064316, 0.032859802]",impulse,impulse,"[109.064316, 0.032859802]",0,"[401.54, 359.27286]",1,"[109.064316, 0.032859802]","[109.064316, 0.032859802]",1,"[434.73227, 203.06839]",1,"[109.064316, 0.032859802]","[109.064316, 0.032859802]",2,"[393.7504, 191.09248]",1,"[109.064316, 0.032859802]","[109.064316, 0.032859802]",3,"[439.34818, 332.32184]",1,"[109.064316, 0.032859802]","[109.064316, 0.032859802]",4,"[239.09842, 268.80685]",1,"[109.064316, 0.032859802]","[109.064316, 0.032859802]",5,"[207.47202, 337.8269]",1,"[109.064316, 0.032859802]","[109.064316, 0.032859802]",6,"[238.6189, 273.14923]",1,"[109.064316, 0.032859802]"
102,"[109.10082, 0.036503553]","[109.10082, 0.036503553]",impulse,impulse,"[109.10082, 0.036503553]",0,"[401.53946, 359.29794]",1,"[109.10082, 0.036503553]","[109.10082, 0.036503553]",1,"[434.70734, 203.01857]",1,"[109.10082, 0.036503553]","[109.10082, 0.036503553]",2,"[393.69693, 191.07812]",1,"[109.10082, 0.036503553]","[109.10082, 0.036503553]",3,"[439.35367, 332.52258]",1,"[109.10082, 0.036503553]","[109.10082, 0.036503553]",4,"[239.09842, 268.80685]",1,"[109.10082, 0.036503553]","[109.10082, 0.036503553]",5,"[206.65868, 336.98996]",1,"[109.10082, 0.036503553]","[109.10082, 0.036503553]",6,"[238.41977, 273.16806]",1,"[109.10082, 0.036503553]"
137,"[109.129555, 0.028733492]","[109.129555, 0.028733492]",impulse,impulse,"[109.129555, 0.028733492]",0,"[401.55795, 359.33344]",1,"[109.129555, 0.028733492]","[109.129555, 0.028733492]",1,"[434.6871, 202.97057]",1,"[109.129555, 0.028733492]","[109.129555, 0.028733492]",2,"[393.6311, 191.06992]",1,"[109.129555, 0.028733492]","[109.129555, 0.028733492]",3,"[439.35526, 332.73105]",1,"[109.129555, 0.028733492]","[109.129555, 0.028733492]",4,"[239.09842, 268.80685]",1,"[109.129555, 0.028733492]","[109.129555, 0.028733492]",5,"[205.9778, 336.34177]",1,"[109.129555, 0.028733492]","[109.129555, 0.028733492]",6,"[238.26984, 273.20447]",1,"[109.129555, 0.028733492]"
172,"[109.1621, 0.032550573]","[109.1621, 0.032550573]",impulse,impulse,"[109.1621, 0.032550573]",0,"[401.57797, 359.37173]",1,"[109.1621, 0.032550573]","[109.1621, 0.032550573]",1,"[434.6657, 202.9199]",1,"[109.1621, 0.032550573]","[109.1621, 0.032550573]",2,"[393.55905, 191.06853]",1,"[109.1621, 0.032550573]","[109.1621, 0.032550573]",3,"[439.35104, 332.982]",1,"[109.1621, 0.032550573]","[109.1621, 0.032550573]",4,"[239.09842, 268.80685]",1,"[109.1621, 0.032550573]","[109.1621, 0.032550573]",5,"[205.1957, 335.60602]",1,"[109.1621, 0.032550573]","[109.1621, 0.032550573]",6,"[238.10393, 273.2738]",1,"[109.1621, 0.032550573]"
207,"[109.19981, 0.03770566]","[109.19981, 0.03770566]",impulse,impulse,"[109.19981, 0.03770566]",0,"[401.6062, 359.4247]",1,"[109.19981, 0.03770566]","[109.19981, 0.03770566]",1,"[434.65765, 202.86288]",1,"[109.19981, 0.03770566]","[109.19981, 0.03770566]",2,"[393.47925, 191.07991]",1,"[109.19981, 0.03770566]","[109.19981, 0.03770566]",3,"[439.3274, 333.30508]",1,"[109.19981, 0.03770566]","[109.19981, 0.03770566]",4,"[239.09842, 268.80685]",1,"[109.19981, 0.03770566]","[109.19981, 0.03770566]",5,"[204.31752, 334.8064]",1,"[109.19981, 0.03770566]","[109.19981, 0.03770566]",6,"[237.92212, 273.35992]",1,"[109.19981, 0.03770566]"
241,"[109.233604, 0.033795834]","[109.233604, 0.033795834]",impulse,impulse,"[109.233604, 0.033795834]",0,"[401.62387, 359.4666]",1,"[109.233604, 0.033795834]","[109.233604, 0.033795834]",1,"[434.64224, 202.82632]",1,"[109.233604, 0.033795834]","[109.233604, 0.033795834]",2,"[393.4055, 191.10225]",1,"[109.233604, 0.033795834]","[109.233604, 0.033795834]",3,"[439.3138, 333.62793]",1,"[109.233604, 0.033795834]","[109.233604, 0.033795834]",4,"[239.09842, 268.80685]",1,"[109.233604, 0.033795834]","[109.233604, 0.033795834]",5,"[203.51888, 334.11194]",1,"[109.233604, 0.033795834]","[109.233604, 0.033795834]",6,"[237.7627, 273.46036]",1,"[109.233604, 0.033795834]"
276,"[109.2668, 0.03319168]","[109.2668, 0.03319168]",impulse,impulse,"[109.2668, 0.03319168]",0,"[401.6417, 359.5077]",1,"[109.2668, 0.03319168]","[109.2668, 0.03319168]",1,"[434.63373, 202.79779]",1,"[109.2668, 0.03319168]","[109.2668, 0.03319168]",2,"[393.3435, 191.12123]",1,"[109.2668, 0.03319168]","[109.2668, 0.03319168]",3,"[439.2862, 333.97754]",1,"[109.2668, 0.03319168]","[109.233604, 0.033795834]",4,"[239.09842, 268.80685]",1,"[109.233604, 0.033795834]","[109.2668, 0.03319168]",5,"[202.71498, 333.42242]",1,"[109.2668, 0.03319168]","[109.2668, 0.03319168]",6,"[237.61617, 273.59155]",1,"[109.2668, 0.03319168]"
311,"[109.33927, 0.03137374]","[109.3079, 0.041103125]",impulse,impulse,"[109.3079, 0.041103125]",0,"[401.6842, 359.58136]",1,"[109.3079, 0.041103125]","[109.3079, 0.041103125]",1,"[434.61432, 202.7834]",1,"[109.3079, 0.041103125]","[109.3079, 0.041103125]",2,"[393.275, 191.13849]",1,"[109.3079, 0.041103125]","[109.3079, 0.041103125]",3,"[439.2862, 333.97754]",1,"[109.3079, 0.041103125]","[109.3079, 0.041103125]",4,"[439.0943, 336.11618]",1,"[109.3079, 0.041103125]","[109.3079, 0.041103125]",5,"[201.72432, 332.62228]",1,"[109.3079, 0.041103125]","[109.3079, 0.041103125]",6,"[237.4403, 273.78067]",1,"[109.3079, 0.041103125]"
