timestamp,/livepose/frame,/livepose/end_frame,/livepose/blobs/start_filter,/livepose/blobs/end_filter,/livepose/blobs/0/0/start_pose,/livepose/blobs/0/0/blob_id,/livepose/blobs/0/0/center,/livepose/blobs/0/0/size,/livepose/blobs/0/0/end_pose,/livepose/blobs/0/1/start_pose,/livepose/blobs/0/1/blob_id,/livepose/blobs/0/1/center,/livepose/blobs/0/1/size,/livepose/blobs/0/1/end_pose,/livepose/blobs/0/2/start_pose,/livepose/blobs/0/2/blob_id,/livepose/blobs/0/2/center,/livepose/blobs/0/2/size,/livepose/blobs/0/2/end_pose,/livepose/blobs/0/3/start_pose,/livepose/blobs/0/3/blob_id,/livepose/blobs/0/3/center,/livepose/blobs/0/3/size,/livepose/blobs/0/3/end_pose,/livepose/blobs/0/4/start_pose,/livepose/blobs/0/4/blob_id,/livepose/blobs/0/4/center,/livepose/blobs/0/4/size,/livepose/blobs/0/4/end_pose,/livepose/blobs/0/5/start_pose,/livepose/blobs/0/5/blob_id,/livepose/blobs/0/5/center,/livepose/blobs/0/5/size,/livepose/blobs/0/5/end_pose,/livepose/blobs/0/6/start_pose,/livepose/blobs/0/6/blob_id,/livepose/blobs/0/6/center,/livepose/blobs/0/6/size,/livepose/blobs/0/6/end_pose
0,"[258.86078, 0.027734756]","[258.86078, 0.027734756]",impulse,impulse,"[258.86078, 0.027734756]",0,"[348.58762, 515.1253]",1,"[258.86078, 0.027734756]","[258.86078, 0.027734756]",1,"[360.31046, 462.50748]",1,"[258.86078, 0.027734756]","[258.86078, 0.027734756]",2,"[350.82132, 265.57977]",1,"[258.86078, 0.027734756]","[258.86078, 0.027734756]",3,"[530.4911, 432.82428]",1,"[258.86078, 0.027734756]","[258.86078, 0.027734756]",4,"[251.33405, 521.5138]",1,"[258.86078, 0.027734756]","[258.86078, 0.027734756]",5,"[390.28104, 219.8067]",1,"[258.86078, 0.027734756]","[258.86078, 0.027734756]",6,"[251.59848, 337.5035]",1,"[258.86078, 0.027734756]"
33,"[258.8999, 0.039133072]","[258.8999, 0.039133072]",impulse,impulse,"[258.8999, 0.039133072]",0,"[348.42847, 515.084]",1,"[258.8999, 0.039133072]","[258.8999, 0.039133072]",1,"[359.76953, 462.32043]",1,"[258.8999, 0.039133072]","[258.8999, 0.039133072]",2,"[351.51254, 265.77924]",1,"[258.8999, 0.039133072]","[258.8999, 0.039133072]",3,"[534.23944, 445.7246]",1,"[258.8999, 0.039133072]","[258.8999, 0.039133072]",4,"[251.25294, 521.51154]",1,"[258.8999, 0.039133072]","[258.8999, 0.039133072]",5,"[389.62347, 219.09302]",1,"[258.8999, 0.039133072]","[258.8999, 0.039133072]",6,"[251.11214, 337.1173]",1,"[258.8999, 0.039133072]"
68,"[258.93344, 0.033510923]","[258.93344, 0.033510923]",impulse,impulse,"[258.93344, 0.033510923]",0,"[348.2895, 515.0416]",1,"[258.93344, 0.033510923]","[258.93344, 0.033510923]",1,"[359.38202, 462.18683]",1,"[258.93344, 0.033510923]","[258.93344, 0.033510923]",2,"[352.09064, 265.95032]",1,"[258.93344, 0.033510923]","[258.93344, 0.033510923]",3,"[536.7464, 454.70932]",1,"[258.93344, 0.033510923]","[258.93344, 0.033510923]",4,"[251.15755, 521.51965]",1,"[258.93344, 0.033510923]","[258.93344, 0.033510923]",5,"[389.03516, 218.48984]",1,"[258.93344, 0.033510923]","[258.93344, 0.033510923]",6,"[250.70557, 336.75046]",1,"[258.93344, 0.033510923]"
103,"[258.96616, 0.032732487]","[258.96616, 0.032732487]",impulse,impulse,"[258.96616, 0.032732487]",0,"[348.13034, 514.98755]",1,"[258.96616, 0.032732487]","[258.96616, 0.032732487]",1,"[359.07135, 462.1329]",1,"[258.96616, 0.032732487]","[258.96616, 0.032732487]",2,"[352.6763, 266.12662]",1,"[258.96616, 0.032732487]","[258.96616, 0.032732487]",3,"[539.0177, 462.2921]",1,"[258.96616, 0.032732487]","[258.96616, 0.032732487]",4,"[251.02437, 521.532]",1,"[258.96616, 0.032732487]","[258.96616, 0.032732487]",5,"[388.4516, 217.90643]",1,"[258.96616, 0.032732487]","[258.96616, 0.032732487]",6,"[250.28343, 336.34644]",1,"[258.96616, 0.032732487]"
138,"[258.9954, 0.029232502]","[258.9954, 0.029232502]",impulse,impulse,"[258.9954, 0.029232502]",0,"[347.9805, 514.9261]",1,"[258.9954, 0.029232502]","[258.9954, 0.029232502]",1,"[358.82312, 462.09167]",1,"[258.9954, 0.029232502]","[258.9954, 0.029232502]",2,"[353.22437, 266.28958]",1,"[258.9954, 0.029232502]","[258.9954, 0.029232502]",3,"[540.6116, 467.64755]",1,"[258.9954, 0.029232502]","[258.9954, 0.029232502]",4,"[250.89096, 521.55096]",1,"[258.9954, 0.029232502]","[258.9954, 0.029232502]",5,"[387.91934, 217.37584]",1,"[258.9954, 0.029232502]","[258.9954, 0.029232502]",6,"[249.89342, 335.97482]",1,"[258.9954, 0.029232502]"
173,"[259.0322, 0.036802292]","[259.0322, 0.036802292]",impulse,impulse,"[259.0322, 0.036802292]",0,"[347.8009, 514.8217]",1,"[259.0322, 0.036802292]","[259.0322, 0.036802292]",1,"[358.56314, 462.1092]",1,"[259.0322, 0.036802292]","[259.0322, 0.036802292]",2,"[353.8893, 266.47943]",1,"[259.0322, 0.036802292]","[259.0322, 0.036802292]",3,"[537.25586, 444.86322]",1,"[259.0322, 0.036802292]","[259.0322, 0.036802292]",4,"[250.7308, 521.5869]",1,"[259.0322, 0.036802292]","[259.0322, 0.036802292]",5,"[387.26428, 216.71848]",1,"[259.0322, 0.036802292]","[259.0322, 0.036802292]",6,"[249.89342, 335.97482]",1,"[259.0322, 0.036802292]"
208,"[259.0683, 0.036091328]","[259.0683, 0.036091328]",impulse,impulse,"[259.0683, 0.036091328]",0,"[347.64087, 514.7166]",1,"[259.0683, 0.036091328]","[259.0683, 0.036091328]",1,"[358.33768, 462.09836]",1,"[259.0683, 0.036091328]","[259.0683, 0.036091328]",2,"[354.55435, 266.6402]",1,"[259.0683, 0.036091328]","[259.0683, 0.036091328]",3,"[539.3681, 454.59506]",1,"[259.0683, 0.036091328]","[259.0683, 0.036091328]",4,"[250.57199, 521.63007]",1,"[259.0683, 0.036091328]","[259.0683, 0.036091328]",5,"[386.62347, 216.07135]",1,"[259.0683, 0.036091328]","[259.0683, 0.036091328]",6,"[249.89342, 335.97482]",1,"[259.0683, 0.036091328]"
243,"[259.10562, 0.037337065]","[259.10562, 0.037337065]",impulse,impulse,"[259.10562, 0.037337065]",0,"[347.46304, 514.5819]",1,"[259.10562, 0.037337065]","[259.10562, 0.037337065]",1,"[358.1609, 462.19046]",1,"[259.10562, 0.037337065]","[259.10562, 0.037337065]",2,"[355.2393, 266.7726]",1,"[259.10562, 0.037337065]","[259.10562, 0.037337065]",3,"[536.6117, 434.2133]",1,"[259.10562, 0.037337065]","[259.10562, 0.037337065]",4,"[250.38947, 521.6792]",1,"[259.10562, 0.037337065]","[259.10562, 0.037337065]",5,"[385.98315, 215.38403]",1,"[259.10562, 0.037337065]","[259.10562, 0.037337065]",6,"[249.89342, 335.97482]",1,"[259.10562, 0.037337065]"
277,"[259.13742, 0.03178811]","[259.13742, 0.03178811]",impulse,impulse,"[259.13742, 0.03178811]",0,"[347.30496, 514.42535]",1,"[259.13742, 0.03178811]","[259.13742, 0.03178811]",1,"[358.04337, 462.26605]",1,"[259.13742, 0.03178811]","[259.13742, 0.03178811]",2,"[355.84726, 266.85852]",1,"[259.13742, 0.03178811]","[259.13742, 0.03178811]",3,"[534.7438, 419.4708]",1,"[259.13742, 0.03178811]","[259.13742, 0.03178811]",4,"[250.21355, 521.71564]",1,"[259.13742, 0.03178811]","[259.13742, 0.03178811]",5,"[385.4161, 214.76405]",1,"[259.13742, 0.03178811]","[259.13742, 0.03178811]",6,"[249.89342, 335.97482]",1,"[259.13742, 0.03178811]"
312,"[259.16815, 0.030750751]","[259.16815, 0.030750751]",impulse,impulse,"[259.16815, 0.030750751]",0,"[347.15424, 514.2635]",1,"[259.16815, 0.030750751]","[259.16815, 0.030750751]",1,"[357.9729, 462.35605]",1,"[259.16815, 0.030750751]","[259.16815, 0.030750751]",2,"[356.45288, 266.9267]",1,"[259.16815, 0.030750751]","[259.16815, 0.030750751]",3,"[533.34064, 407.57077]",1,"[259.16815, 0.030750751]","[259.16815, 0.030750751]",4,"[250.03452, 521.7579]",1,"[259.16815, 0.030750751]","[259.16815, 0.030750751]",5,"[384.84784, 214.13947]",1,"[259.16815, 0.030750751]","[259.16815, 0.030750751]",6,"[249.89342, 335.97482]",1,"[259.16815, 0.030750751]"
347,"[259.20114, 0.032975912]","[259.20114, 0.032975912]",impulse,impulse,"[259.20114, 0.032975912]",0,"[346.9859, 514.06104]",1,"[259.20114, 0.032975912]","[259.20114, 0.032975912]",1,"[357.87717, 462.4055]",1,"[259.20114, 0.032975912]","[259.20114, 0.032975912]",2,"[357.13715, 266.96695]",1,"[259.20114, 0.032975912]","[259.20114, 0.032975912]",3,"[532.19086, 397.0402]",1,"[259.20114, 0.032975912]","[259.20114, 0.032975912]",4,"[249.85147, 521.8165]",1,"[259.20114, 0.032975912]","[259.20114, 0.032975912]",5,"[384.21924, 213.43475]",1,"[259.20114, 0.032975912]","[259.20114, 0.032975912]",6,"[249.89342, 335.97482]",1,"[259.20114, 0.032975912]"
