timestamp,/livepose/frame,/livepose/end_frame,/livepose/blobs/start_filter,/livepose/blobs/end_filter,/livepose/blobs/0/0/start_pose,/livepose/blobs/0/0/blob_id,/livepose/blobs/0/0/center,/livepose/blobs/0/0/size,/livepose/blobs/0/0/end_pose,/livepose/blobs/0/1/start_pose,/livepose/blobs/0/1/blob_id,/livepose/blobs/0/1/center,/livepose/blobs/0/1/size,/livepose/blobs/0/1/end_pose,/livepose/blobs/0/2/start_pose,/livepose/blobs/0/2/blob_id,/livepose/blobs/0/2/center,/livepose/blobs/0/2/size,/livepose/blobs/0/2/end_pose,/livepose/blobs/0/3/start_pose,/livepose/blobs/0/3/blob_id,/livepose/blobs/0/3/center,/livepose/blobs/0/3/size,/livepose/blobs/0/3/end_pose,/livepose/blobs/0/4/start_pose,/livepose/blobs/0/4/blob_id,/livepose/blobs/0/4/center,/livepose/blobs/0/4/size,/livepose/blobs/0/4/end_pose,/livepose/blobs/0/5/start_pose,/livepose/blobs/0/5/blob_id,/livepose/blobs/0/5/center,/livepose/blobs/0/5/size,/livepose/blobs/0/5/end_pose,/livepose/blobs/0/6/start_pose,/livepose/blobs/0/6/blob_id,/livepose/blobs/0/6/center,/livepose/blobs/0/6/size,/livepose/blobs/0/6/end_pose
0,"[407.46484, 0.029371023]","[407.46484, 0.029371023]",impulse,impulse,"[407.46484, 0.029371023]",0,"[293.26797, 427.51492]",1,"[407.46484, 0.029371023]","[407.46484, 0.029371023]",1,"[197.47, 327.08252]",1,"[407.46484, 0.029371023]","[407.46484, 0.029371023]",2,"[238.41077, 317.07742]",1,"[407.46484, 0.029371023]","[407.46484, 0.029371023]",3,"[198.90698, 323.29135]",1,"[407.46484, 0.029371023]","[407.46484, 0.029371023]",4,"[125.879486, 236.55086]",1,"[407.46484, 0.029371023]","[341.39404, 0.029084682]",5,"[291.41373, 295.16855]",1,"[341.39404, 0.029084682]","[331.10416, 0.039977312]",6,"[442.37772, 400.0822]",1,"[331.10416, 0.039977312]"
34,"[407.4987, 0.033866405]","[407.4987, 0.033866405]",impulse,impulse,"[407.4987, 0.033866405]",0,"[294.30682, 425.82834]",1,"[407.4987, 0.033866405]","[407.4987, 0.033866405]",1,"[197.3426, 326.91333]",1,"[407.4987, 0.033866405]","[407.4987, 0.033866405]",2,"[238.41077, 317.07742]",1,"[407.4987, 0.033866405]","[407.4987, 0.033866405]",3,"[198.90698, 323.29135]",1,"[407.4987, 0.033866405]","[407.4987, 0.033866405]",4,"[125.879486, 236.55086]",1,"[407.4987, 0.033866405]","[341.39404, 0.029084682]",5,"[291.41373, 295.16855]",1,"[341.39404, 0.029084682]","[331.10416, 0.039977312]",6,"[442.37772, 400.0822]",1,"[331.10416, 0.039977312]"
68,"[407.52777, 0.029083014]","[407.52777, 0.029083014]",impulse,impulse,"[407.52777, 0.029083014]",0,"[295.0611, 424.60373]",1,"[407.52777, 0.029083014]","[407.52777, 0.029083014]",1,"[197.25009, 326.79047]",1,"[407.52777, 0.029083014]","[407.52777, 0.029083014]",2,"[238.41077, 317.07742]",1,"[407.52777, 0.029083014]","[407.52777, 0.029083014]",3,"[198.90698, 323.29135]",1,"[407.52777, 0.029083014]","[407.52777, 0.029083014]",4,"[125.879486, 236.55086]",1,"[407.52777, 0.029083014]","[341.39404, 0.029084682]",5,"[291.41373, 295.16855]",1,"[341.39404, 0.029084682]","[331.10416, 0.039977312]",6,"[442.37772, 400.0822]",1,"[331.10416, 0.039977312]"
103,"[407.5658, 0.03802204]","[407.5658, 0.03802204]",impulse,impulse,"[407.5658, 0.03802204]",0,"[295.85385, 423.31836]",1,"[407.5658, 0.03802204]","[407.5658, 0.03802204]",1,"[197.14339, 326.626]",1,"[407.5658, 0.03802204]","[407.5658, 0.03802204]",2,"[238.41077, 317.07742]",1,"[407.5658, 0.03802204]","[407.5658, 0.03802204]",3,"[198.90698, 323.29135]",1,"[407.5658, 0.03802204]","[407.5658, 0.03802204]",4,"[125.879486, 236.55086]",1,"[407.5658, 0.03802204]","[341.39404, 0.029084682]",5,"[291.41373, 295.16855]",1,"[341.39404, 0.029084682]","[331.10416, 0.039977312]",6,"[442.37772, 400.0822]",1,"[331.10416, 0.039977312]"
138,"[407.5978, 0.031996965]","[407.5978, 0.031996965]",impulse,impulse,"[407.5978, 0.031996965]",0,"[296.40073, 422.41553]",1,"[407.5978, 0.031996965]","[407.5978, 0.031996965]",1,"[197.06439, 326.5055]",1,"[407.5978, 0.031996965]","[407.5978, 0.031996965]",2,"[238.41077, 317.07742]",1,"[407.5978, 0.031996965]","[407.5978, 0.031996965]",3,"[198.90698, 323.29135]",1,"[407.5978, 0.031996965]","[407.5978, 0.031996965]",4,"[125.879486, 236.55086]",1,"[407.5978, 0.031996965]","[341.39404, 0.029084682]",5,"[291.41373, 295.16855]",1,"[341.39404, 0.029084682]","[331.10416, 0.039977312]",6,"[442.37772, 400.0822]",1,"[331.10416, 0.039977312]"
173,"[407.63513, 0.03732705]","[407.63513, 0.03732705]",impulse,impulse,"[407.63513, 0.03732705]",0,"[296.9149, 421.57727]",1,"[407.63513, 0.03732705]","[407.63513, 0.03732705]",1,"[196.98479, 326.39044]",1,"[407.63513, 0.03732705]","[407.63513, 0.03732705]",2,"[238.41077, 317.07742]",1,"[407.63513, 0.03732705]","[407.63513, 0.03732705]",3,"[198.90698, 323.29135]",1,"[407.63513, 0.03732705]","[407.63513, 0.03732705]",4,"[125.879486, 236.55086]",1,"[407.63513, 0.03732705]","[341.39404, 0.029084682]",5,"[291.41373, 295.16855]",1,"[341.39404, 0.029084682]","[331.10416, 0.039977312]",6,"[442.37772, 400.0822]",1,"[331.10416, 0.039977312]"
208,"[407.66022, 0.025081158]","[407.66022, 0.025081158]",impulse,impulse,"[407.66022, 0.025081158]",0,"[297.397, 421.22983]",1,"[407.66022, 0.025081158]","[407.66022, 0.025081158]",1,"[196.93509, 326.32312]",1,"[407.66022, 0.025081158]","[407.66022, 0.025081158]",2,"[238.41077, 317.07742]",1,"[407.66022, 0.025081158]","[407.66022, 0.025081158]",3,"[198.90698, 323.29135]",1,"[407.66022, 0.025081158]","[407.66022, 0.025081158]",4,"[125.879486, 236.55086]",1,"[407.66022, 0.025081158]","[341.39404, 0.029084682]",5,"[291.41373, 295.16855]",1,"[341.39404, 0.029084682]","[331.10416, 0.039977312]",6,"[442.37772, 400.0822]",1,"[331.10416, 0.039977312]"
242,"[407.70248, 0.042265177]","[407.70248, 0.042265177]",impulse,impulse,"[407.70248, 0.042265177]",0,"[298.0366, 420.77548]",1,"[407.70248, 0.042265177]","[407.70248, 0.042265177]",1,"[196.86151, 326.2235]",1,"[407.70248, 0.042265177]","[407.70248, 0.042265177]",2,"[238.41077, 317.07742]",1,"[407.70248, 0.042265177]","[407.70248, 0.042265177]",3,"[198.90698, 323.29135]",1,"[407.70248, 0.042265177]","[407.70248, 0.042265177]",4,"[125.879486, 236.55086]",1,"[407.70248, 0.042265177]","[341.39404, 0.029084682]",5,"[291.41373, 295.16855]",1,"[341.39404, 0.029084682]","[331.10416, 0.039977312]",6,"[442.37772, 400.0822]",1,"[331.10416, 0.039977312]"
277,"[407.73166, 0.029181004]","[407.73166, 0.029181004]",impulse,impulse,"[407.73166, 0.029181004]",0,"[298.4202, 420.52213]",1,"[407.73166, 0.029181004]","[407.73166, 0.029181004]",1,"[196.81104, 326.16882]",1,"[407.73166, 0.029181004]","[407.73166, 0.029181004]",2,"[238.41077, 317.07742]",1,"[407.73166, 0.029181004]","[407.73166, 0.029181004]",3,"[198.90698, 323.29135]",1,"[407.73166, 0.029181004]","[407.73166, 0.029181004]",4,"[125.879486, 236.55086]",1,"[407.73166, 0.029181004]","[341.39404, 0.029084682]",5,"[291.41373, 295.16855]",1,"[341.39404, 0.029084682]","[331.10416, 0.039977312]",6,"[442.37772, 400.0822]",1,"[331.10416, 0.039977312]"
312,"[407.76593, 0.03426957]","[407.76593, 0.03426957]",impulse,impulse,"[407.76593, 0.03426957]",0,"[298.79062, 420.28226]",1,"[407.76593, 0.03426957]","[407.76593, 0.03426957]",1,"[196.76492, 326.11026]",1,"[407.76593, 0.03426957]","[407.76593, 0.03426957]",2,"[238.39941, 317.06607]",1,"[407.76593, 0.03426957]","[407.76593, 0.03426957]",3,"[198.90698, 323.29135]",1,"[407.76593, 0.03426957]","[407.76593, 0.03426957]",4,"[125.879486, 236.55086]",1,"[407.76593, 0.03426957]","[341.39404, 0.029084682]",5,"[291.41373, 295.16855]",1,"[341.39404, 0.029084682]","[331.10416, 0.039977312]",6,"[442.37772, 400.0822]",1,"[331.10416, 0.039977312]"
