timestamp,/livepose/frame,/livepose/end_frame,/livepose/blobs/start_filter,/livepose/blobs/end_filter,/livepose/blobs/0/0/start_pose,/livepose/blobs/0/0/blob_id,/livepose/blobs/0/0/center,/livepose/blobs/0/0/size,/livepose/blobs/0/0/end_pose,/livepose/blobs/0/1/start_pose,/livepose/blobs/0/1/blob_id,/livepose/blobs/0/1/center,/livepose/blobs/0/1/size,/livepose/blobs/0/1/end_pose,/livepose/blobs/0/2/start_pose,/livepose/blobs/0/2/blob_id,/livepose/blobs/0/2/center,/livepose/blobs/0/2/size,/livepose/blobs/0/2/end_pose,/livepose/blobs/0/3/start_pose,/livepose/blobs/0/3/blob_id,/livepose/blobs/0/3/center,/livepose/blobs/0/3/size,/livepose/blobs/0/3/end_pose,/livepose/blobs/0/4/start_pose,/livepose/blobs/0/4/blob_id,/livepose/blobs/0/4/center,/livepose/blobs/0/4/size,/livepose/blobs/0/4/end_pose,/livepose/blobs/0/5/start_pose,/livepose/blobs/0/5/blob_id,/livepose/blobs/0/5/center,/livepose/blobs/0/5/size,/livepose/blobs/0/5/end_pose,/livepose/blobs/0/6/start_pose,/livepose/blobs/0/6/blob_id,/livepose/blobs/0/6/center,/livepose/blobs/0/6/size,/livepose/blobs/0/6/end_pose
0,"[529.06323, 0.030422688]","[529.06323, 0.030422688]",impulse,impulse,"[529.06323, 0.030422688]",0,"[567.01746, 514.40485]",1,"[529.06323, 0.030422688]","[529.06323, 0.030422688]",1,"[161.65837, 343.6764]",1,"[529.06323, 0.030422688]","[529.06323, 0.030422688]",2,"[608.67145, 310.9085]",1,"[529.06323, 0.030422688]","[529.06323, 0.030422688]",3,"[413.0095, 462.50497]",1,"[529.06323, 0.030422688]","[529.06323, 0.030422688]",4,"[226.76297, 279.9156]",1,"[529.06323, 0.030422688]","[529.06323, 0.030422688]",5,"[407.83057, 265.47205]",1,"[529.06323, 0.030422688]","[529.06323, 0.030422688]",6,"[560.65106, 510.34973]",1,"[529.06323, 0.030422688]"
34,"[529.0972, 0.033994198]","[529.06323, 0.030422688]",impulse,impulse,"[529.06323, 0.030422688]",0,"[567.01746, 514.40485]",1,"[529.06323, 0.030422688]","[529.0972, 0.033994198]",1,"[161.65837, 343.6764]",1,"[529.0972, 0.033994198]","[529.0972, 0.033994198]",2,"[608.6663, 310.89594]",1,"[529.0972, 0.033994198]","[529.0972, 0.033994198]",3,"[413.51987, 463.0537]",1,"[529.0972, 0.033994198]","[529.0972, 0.033994198]",4,"[223.99059, 278.52432]",1,"[529.0972, 0.033994198]","[529.06323, 0.030422688]",5,"[407.83057, 265.47205]",1,"[529.06323, 0.030422688]","[529.0972, 0.033994198]",6,"[560.65106, 510.34973]",1,"[529.0972, 0.033994198]"
68,"[529.1336, 0.03635502]","[529.0972, 0.033994198]",impulse,impulse,"[529.1336, 0.03635502]",0,"[567.01746, 514.40485]",1,"[529.0972, 0.033994198]","[529.1336, 0.03635502]",1,"[161.65837, 343.6764]",1,"[529.1336, 0.03635502]","[529.1336, 0.03635502]",2,"[608.6595, 310.89114]",1,"[529.1336, 0.03635502]","[529.1336, 0.03635502]",3,"[414.09705, 463.62595]",1,"[529.1336, 0.03635502]","[529.1336, 0.03635502]",4,"[221.52977, 277.18292]",1,"[529.1336, 0.03635502]","[529.1336, 0.03635502]",5,"[409.0034, 264.39426]",1,"[529.1336, 0.03635502]","[529.1336, 0.03635502]",6,"[560.65106, 510.34973]",1,"[529.1336, 0.03635502]"
103,"[529.17035, 0.036756754]","[529.17035, 0.036756754]",impulse,impulse,"[529.17035, 0.036756754]",0,"[567.01746, 514.40485]",1,"[529.17035, 0.036756754]","[529.17035, 0.036756754]",1,"[161.65837, 343.6764]",1,"[529.17035, 0.036756754]","[529.17035, 0.036756754]",2,"[608.6539, 310.8872]",1,"[529.17035, 0.036756754]","[529.17035, 0.036756754]",3,"[414.7152, 464.186]",1,"[529.17035, 0.036756754]","[529.17035, 0.036756754]",4,"[219.42076, 275.96625]",1,"[529.17035, 0.036756754]","[529.17035, 0.036756754]",5,"[409.6182, 263.7891]",1,"[529.17035, 0.036756754]","[529.17035, 0.036756754]",6,"[560.65106, 510.34973]",1,"[529.17035, 0.036756754]"
138,"[529.19586, 0.025462866]","[529.19586, 0.025462866]",impulse,impulse,"[529.19586, 0.025462866]",0,"[567.01746, 514.40485]",1,"[529.19586, 0.025462866]","[529.19586, 0.025462866]",1,"[161.65837, 343.6764]",1,"[529.19586, 0.025462866]","[529.19586, 0.025462866]",2,"[608.6505, 310.88486]",1,"[529.19586, 0.025462866]","[529.19586, 0.025462866]",3,"[415.17706, 464.57132]",1,"[529.19586, 0.025462866]","[529.19586, 0.025462866]",4,"[218.11984, 275.15393]",1,"[529.19586, 0.025462866]","[529.19586, 0.025462866]",5,"[410.0445, 263.31033]",1,"[529.19586, 0.025462866]","[529.19586, 0.025462866]",6,"[560.65106, 510.34973]",1,"[529.19586, 0.025462866]"
173,"[529.2454, 0.049605846]","[529.2454, 0.049605846]",impulse,impulse,"[529.2454, 0.049605846]",0,"[567.01746, 514.40485]",1,"[529.2454, 0.049605846]","[529.2454, 0.049605846]",1,"[161.65837, 343.6764]",1,"[529.2454, 0.049605846]","[529.2454, 0.049605846]",2,"[608.642, 310.89944]",1,"[529.2454, 0.049605846]","[529.2454, 0.049605846]",3,"[416.0233, 465.24457]",1,"[529.2454, 0.049605846]","[529.2454, 0.049605846]",4,"[216.12257, 273.79205]",1,"[529.2454, 0.049605846]","[529.2454, 0.049605846]",5,"[410.8159, 262.3984]",1,"[529.2454, 0.049605846]","[529.19586, 0.025462866]",6,"[560.65106, 510.34973]",1,"[529.19586, 0.025462866]"
208,"[529.26154, 0.016118526]","[529.26154, 0.016118526]",impulse,impulse,"[529.26154, 0.016118526]",0,"[567.01746, 514.40485]",1,"[529.26154, 0.016118526]","[529.26154, 0.016118526]",1,"[161.65837, 343.6764]",1,"[529.26154, 0.016118526]","[529.26154, 0.016118526]",2,"[608.6396, 310.90375]",1,"[529.26154, 0.016118526]","[529.26154, 0.016118526]",3,"[416.3486, 465.47775]",1,"[529.26154, 0.016118526]","[529.26154, 0.016118526]",4,"[215.5114, 273.3427]",1,"[529.26154, 0.016118526]","[529.26154, 0.016118526]",5,"[411.08542, 262.05573]",1,"[529.26154, 0.016118526]","[529.26154, 0.016118526]",6,"[314.0971, 194.76888]",1,"[529.26154, 0.016118526]"
242,"[529.29675, 0.035195827]","[529.29675, 0.035195827]",impulse,impulse,"[529.29675, 0.035195827]",0,"[567.01746, 514.40485]",1,"[529.29675, 0.035195827]","[529.29675, 0.035195827]",1,"[154.11295, 338.91513]",1,"[529.29675, 0.035195827]","[529.29675, 0.035195827]",2,"[608.6374, 310.9246]",1,"[529.29675, 0.035195827]","[529.29675, 0.035195827]",3,"[417.08838, 465.94614]",1,"[529.29675, 0.035195827]","[529.29675, 0.035195827]",4,"[214.38582, 272.42776]",1,"[529.29675, 0.035195827]","[529.29675, 0.035195827]",5,"[411.6712, 261.31616]",1,"[529.29675, 0.035195827]","[529.29675, 0.035195827]",6,"[314.26062, 194.62617]",1,"[529.29675, 0.035195827]"
277,"[529.3301, 0.033347607]","[529.3301, 0.033347607]",impulse,impulse,"[529.29675, 0.035195827]",0,"[567.01746, 514.40485]",1,"[529.29675, 0.035195827]","[529.3301, 0.033347607]",1,"[154.11295, 338.91513]",1,"[529.3301, 0.033347607]","[529.3301, 0.033347607]",2,"[608.6304, 310.9473]",1,"[529.3301, 0.033347607]","[529.3301, 0.033347607]",3,"[417.8255, 466.37814]",1,"[529.3301, 0.033347607]","[529.3301, 0.033347607]",4,"[213.48634, 271.62772]",1,"[529.3301, 0.033347607]","[529.3301, 0.033347607]",5,"[412.18765, 260.62048]",1,"[529.3301, 0.033347607]","[529.3301, 0.033347607]",6,"[314.5384, 194.3716]",1,"[529.3301, 0.033347607]"
312,"[529.37006, 0.03996849]","[529.37006, 0.03996849]",impulse,impulse,"[529.37006, 0.03996849]",0,"[422.31885, 468.6807]",1,"[529.37006, 0.03996849]","[529.37006, 0.03996849]",1,"[154.11295, 338.91513]",1,"[529.37006, 0.03996849]","[529.37006, 0.03996849]",2,"[608.6231, 310.9793]",1,"[529.37006, 0.03996849]","[529.37006, 0.03996849]",3,"[417.8255, 466.37814]",1,"[529.37006, 0.03996849]","[529.37006, 0.03996849]",4,"[212.61644, 270.71988]",1,"[529.37006, 0.03996849]","[529.37006, 0.03996849]",5,"[412.76245, 259.84482]",1,"[529.37006, 0.03996849]","[529.37006, 0.03996849]",6,"[314.99045, 193.95317]",1,"[529.37006, 0.03996849]"
347,"[529.4127, 0.042641878]","[529.4127, 0.042641878]",impulse,impulse,"[529.4127, 0.042641878]",0,"[422.53845, 468.73898]",1,"[529.4127, 0.042641878]","[529.4127, 0.042641878]",1,"[154.11295, 338.91513]",1,"[529.4127, 0.042641878]","[529.4127, 0.042641878]",2,"[608.617, 311.00626]",1,"[529.4127, 0.042641878]","[529.4127, 0.042641878]",3,"[403.06787, 476.29028]",1,"[529.4127, 0.042641878]","[529.4127, 0.042641878]",4,"[211.86601, 269.8281]",1,"[529.4127, 0.042641878]","[529.4127, 0.042641878]",5,"[413.32996, 259.0831]",1,"[529.4127, 0.042641878]","[529.4127, 0.042641878]",6,"[315.5786, 193.48016]",1,"[529.4127, 0.042641878]"
