timestamp,/livepose/frame,/livepose/end_frame,/livepose/blobs/start_filter,/livepose/blobs/end_filter,/livepose/blobs/0/0/start_pose,/livepose/blobs/0/0/blob_id,/livepose/blobs/0/0/center,/livepose/blobs/0/0/size,/livepose/blobs/0/0/end_pose,/livepose/blobs/0/1/start_pose,/livepose/blobs/0/1/blob_id,/livepose/blobs/0/1/center,/livepose/blobs/0/1/size,/livepose/blobs/0/1/end_pose,/livepose/blobs/0/2/start_pose,/livepose/blobs/0/2/blob_id,/livepose/blobs/0/2/center,/livepose/blobs/0/2/size,/livepose/blobs/0/2/end_pose,/livepose/blobs/0/3/start_pose,/livepose/blobs/0/3/blob_id,/livepose/blobs/0/3/center,/livepose/blobs/0/3/size,/livepose/blobs/0/3/end_pose,/livepose/blobs/0/4/start_pose,/livepose/blobs/0/4/blob_id,/livepose/blobs/0/4/center,/livepose/blobs/0/4/size,/livepose/blobs/0/4/end_pose,/livepose/blobs/0/5/start_pose,/livepose/blobs/0/5/blob_id,/livepose/blobs/0/5/center,/livepose/blobs/0/5/size,/livepose/blobs/0/5/end_pose,/livepose/blobs/0/6/start_pose,/livepose/blobs/0/6/blob_id,/livepose/blobs/0/6/center,/livepose/blobs/0/6/size,/livepose/blobs/0/6/end_pose
0,"[693.86285, 0.029471874]","[693.86285, 0.029471874]",impulse,impulse,"[693.86285, 0.029471874]",0,"[298.5367, 109.54371]",1,"[693.86285, 0.029471874]","[693.86285, 0.029471874]",1,"[293.0474, 114.49199]",1,"[693.86285, 0.029471874]","[693.86285, 0.029471874]",2,"[470.54266, 162.80312]",1,"[693.86285, 0.029471874]","[693.86285, 0.029471874]",3,"[265.7333, 407.42172]",1,"[693.86285, 0.029471874]","[693.86285, 0.029471874]",4,"[260.89832, 414.04364]",1,"[693.86285, 0.029471874]","[693.86285, 0.029471874]",5,"[509.79294, 256.5083]",1,"[693.86285, 0.029471874]","[633.4609, 0.023709774]",6,"[228.54509, 380.88528]",1,"[633.4609, 0.023709774]"
34,"[693.8933, 0.030439138]","[693.8933, 0.030439138]",impulse,impulse,"[693.8933, 0.030439138]",0,"[298.63516, 109.11357]",1,"[693.8933, 0.030439138]","[693.8933, 0.030439138]",1,"[293.0474, 114.49199]",1,"[693.8933, 0.030439138]","[693.8933, 0.030439138]",2,"[470.81747, 161.92424]",1,"[693.8933, 0.030439138]","[693.8933, 0.030439138]",3,"[265.9491, 407.13922]",1,"[693.8933, 0.030439138]","[693.8933, 0.030439138]",4,"[260.89832, 414.04364]",1,"[693.8933, 0.030439138]","[693.8933, 0.030439138]",5,"[503.0503, 277.08084]",1,"[693.8933, 0.030439138]","[633.4609, 0.023709774]",6,"[228.54509, 380.88528]",1,"[633.4609, 0.023709774]"
69,"[693.9293, 0.036029577]","[693.9293, 0.036029577]",impulse,impulse,"[693.9293, 0.036029577]",0,"[298.73013, 108.41764]",1,"[693.9293, 0.036029577]","[693.9293, 0.036029577]",1,"[293.0474, 114.49199]",1,"[693.9293, 0.036029577]","[693.9293, 0.036029577]",2,"[481.50467, 168.97636]",1,"[693.9293, 0.036029577]","[693.9293, 0.036029577]",3,"[266.2573, 406.67126]",1,"[693.9293, 0.036029577]","[693.9293, 0.036029577]",4,"[264.9636, 485.82184]",1,"[693.9293, 0.036029577]","[693.9293, 0.036029577]",5,"[496.54303, 297.44644]",1,"[693.9293, 0.036029577]","[633.4609, 0.023709774]",6,"[228.54509, 380.88528]",1,"[633.4609, 0.023709774]"
103,"[693.99744, 0.035613775]","[693.96185, 0.03250146]",impulse,impulse,"[693.96185, 0.03250146]",0,"[298.79382, 107.79365]",1,"[693.96185, 0.03250146]","[693.99744, 0.035613775]",1,"[293.0474, 114.49199]",1,"[693.96185, 0.03250146]","[693.99744, 0.035613775]",2,"[496.53714, 179.0453]",1,"[693.99744, 0.035613775]","[693.96185, 0.03250146]",3,"[266.54538, 406.265]",1,"[693.96185, 0.03250146]","[693.96185, 0.03250146]",4,"[264.96613, 489.32486]",1,"[693.96185, 0.03250146]","[693.96185, 0.03250146]",5,"[491.7339, 312.6602]",1,"[693.96185, 0.03250146]","[633.4609, 0.023709774]",6,"[228.54509, 380.88528]",1,"[633.4609, 0.023709774]"
138,"[694.03125, 0.033797264]","[694.03125, 0.033797264]",impulse,impulse,"[694.03125, 0.033797264]",0,"[298.87274, 106.38097]",1,"[694.03125, 0.033797264]","[694.03125, 0.033797264]",1,"[293.0474, 114.49199]",1,"[694.03125, 0.033797264]","[694.03125, 0.033797264]",2,"[492.43588, 174.5374]",1,"[694.03125, 0.033797264]","[694.03125, 0.033797264]",3,"[266.84067, 405.77942]",1,"[694.03125, 0.033797264]","[694.03125, 0.033797264]",4,"[264.26926, 494.54187]",1,"[694.03125, 0.033797264]","[694.03125, 0.033797264]",5,"[484.21118, 336.7962]",1,"[694.03125, 0.033797264]","[633.4609, 0.023709774]",6,"[228.54509, 380.88528]",1,"[633.4609, 0.023709774]"
173,"[694.03125, 0.033797264]","[694.03125, 0.033797264]",impulse,impulse,"[694.03125, 0.033797264]",0,"[298.87274, 106.38097]",1,"[694.03125, 0.033797264]","[694.03125, 0.033797264]",1,"[293.0474, 114.49199]",1,"[694.03125, 0.033797264]","[694.03125, 0.033797264]",2,"[492.43588, 174.5374]",1,"[694.03125, 0.033797264]","[694.03125, 0.033797264]",3,"[266.84067, 405.77942]",1,"[694.03125, 0.033797264]","[694.03125, 0.033797264]",4,"[264.26926, 494.54187]",1,"[694.03125, 0.033797264]","[694.03125, 0.033797264]",5,"[484.21118, 336.7962]",1,"[694.03125, 0.033797264]","[633.4609, 0.023709774]",6,"[228.54509, 380.88528]",1,"[633.4609, 0.023709774]"
208,"[694.1019, 0.035648346]","[694.1019, 0.035648346]",impulse,impulse,"[694.1019, 0.035648346]",0,"[298.92032, 104.8614]",1,"[694.1019, 0.035648346]","[694.1019, 0.035648346]",1,"[293.0474, 114.49199]",1,"[694.1019, 0.035648346]","[694.1019, 0.035648346]",2,"[494.36578, 174.25827]",1,"[694.1019, 0.035648346]","[694.1019, 0.035648346]",3,"[267.73697, 404.29648]",1,"[694.1019, 0.035648346]","[694.1019, 0.035648346]",4,"[263.2403, 497.8307]",1,"[694.1019, 0.035648346]","[694.1019, 0.035648346]",5,"[479.20294, 353.0447]",1,"[694.1019, 0.035648346]","[633.4609, 0.023709774]",6,"[228.54509, 380.88528]",1,"[633.4609, 0.023709774]"
243,"[694.1295, 0.027591944]","[694.1295, 0.027591944]",impulse,impulse,"[694.1295, 0.027591944]",0,"[298.9342, 104.23067]",1,"[694.1295, 0.027591944]","[694.1295, 0.027591944]",1,"[293.0474, 114.49199]",1,"[694.1295, 0.027591944]","[694.1295, 0.027591944]",2,"[491.36633, 170.64386]",1,"[694.1295, 0.027591944]","[694.1295, 0.027591944]",3,"[267.97525, 403.87134]",1,"[694.1295, 0.027591944]","[694.1295, 0.027591944]",4,"[262.80927, 498.77078]",1,"[694.1295, 0.027591944]","[694.1295, 0.027591944]",5,"[477.7284, 357.85452]",1,"[694.1295, 0.027591944]","[633.4609, 0.023709774]",6,"[228.54509, 380.88528]",1,"[633.4609, 0.023709774]"
278,"[694.17084, 0.04134059]","[694.17084, 0.04134059]",impulse,impulse,"[694.17084, 0.04134059]",0,"[298.95837, 103.326744]",1,"[694.17084, 0.04134059]","[694.17084, 0.04134059]",1,"[293.0474, 114.49199]",1,"[694.17084, 0.04134059]","[694.17084, 0.04134059]",2,"[498.72885, 177.14175]",1,"[694.17084, 0.04134059]","[694.17084, 0.04134059]",3,"[268.33163, 403.20776]",1,"[694.17084, 0.04134059]","[694.17084, 0.04134059]",4,"[262.26892, 499.8906]",1,"[694.17084, 0.04134059]","[694.17084, 0.04134059]",5,"[475.9715, 363.5326]",1,"[694.17084, 0.04134059]","[633.4609, 0.023709774]",6,"[228.54509, 380.88528]",1,"[633.4609, 0.023709774]"
312,"[694.19934, 0.02850771]","[694.19934, 0.02850771]",impulse,impulse,"[694.19934, 0.02850771]",0,"[298.99054, 102.67584]",1,"[694.19934, 0.02850771]","[694.19934, 0.02850771]",1,"[293.0474, 114.49199]",1,"[694.19934, 0.02850771]","[694.19934, 0.02850771]",2,"[502.9194, 180.91397]",1,"[694.19934, 0.02850771]","[694.19934, 0.02850771]",3,"[268.58508, 402.76288]",1,"[694.19934, 0.02850771]","[694.19934, 0.02850771]",4,"[261.97168, 500.56805]",1,"[694.19934, 0.02850771]","[694.19934, 0.02850771]",5,"[474.9441, 366.83017]",1,"[694.19934, 0.02850771]","[633.4609, 0.023709774]",6,"[228.54509, 380.88528]",1,"[633.4609, 0.023709774]"
347,"[694.19934, 0.02850771]","[694.19934, 0.02850771]",impulse,impulse,"[694.19934, 0.02850771]",0,"[298.99054, 102.67584]",1,"[694.19934, 0.02850771]","[694.19934, 0.02850771]",1,"[293.0474, 114.49199]",1,"[694.19934, 0.02850771]","[694.19934, 0.02850771]",2,"[502.9194, 180.91397]",1,"[694.19934, 0.02850771]","[694.19934, 0.02850771]",3,"[268.58508, 402.76288]",1,"[694.19934, 0.02850771]","[694.19934, 0.02850771]",4,"[261.97168, 500.56805]",1,"[694.19934, 0.02850771]","[694.19934, 0.02850771]",5,"[474.9441, 366.83017]",1,"[694.19934, 0.02850771]","[633.4609, 0.023709774]",6,"[228.54509, 380.88528]",1,"[633.4609, 0.023709774]"
