timestamp,/livepose/frame,/livepose/end_frame,/livepose/blobs/start_filter,/livepose/blobs/end_filter,/livepose/blobs/0/0/start_pose,/livepose/blobs/0/0/blob_id,/livepose/blobs/0/0/center,/livepose/blobs/0/0/size,/livepose/blobs/0/0/end_pose,/livepose/blobs/0/1/start_pose,/livepose/blobs/0/1/blob_id,/livepose/blobs/0/1/center,/livepose/blobs/0/1/size,/livepose/blobs/0/1/end_pose,/livepose/blobs/0/2/start_pose,/livepose/blobs/0/2/blob_id,/livepose/blobs/0/2/center,/livepose/blobs/0/2/size,/livepose/blobs/0/2/end_pose,/livepose/blobs/0/3/start_pose,/livepose/blobs/0/3/blob_id,/livepose/blobs/0/3/center,/livepose/blobs/0/3/size,/livepose/blobs/0/3/end_pose,/livepose/blobs/0/4/start_pose,/livepose/blobs/0/4/blob_id,/livepose/blobs/0/4/center,/livepose/blobs/0/4/size,/livepose/blobs/0/4/end_pose,/livepose/blobs/0/5/start_pose,/livepose/blobs/0/5/blob_id,/livepose/blobs/0/5/center,/livepose/blobs/0/5/size,/livepose/blobs/0/5/end_pose,/livepose/blobs/0/6/start_pose,/livepose/blobs/0/6/blob_id,/livepose/blobs/0/6/center,/livepose/blobs/0/6/size,/livepose/blobs/0/6/end_pose
0,"[9.229815, 0.04551983]","[9.229815, 0.04551983]",impulse,impulse,"[9.229815, 0.04551983]",0,"[244.89656, 273.6765]",4.608495,"[9.229815, 0.04551983]","[1.8169796, 0.029797316]",1,"[234.81152, 258.67838]",4.724641,"[1.8169796, 0.029797316]","[19.53614, 0.02231884]",2,"[1094.7368, 563.59204]",24.582205,"[19.53614, 0.02231884]","[19.53614, 0.02231884]",3,"[929.1477, 1345.2676]",18.130474,"[19.53614, 0.02231884]","[18.928814, 0.024486303]",4,"[689.7097, 33.269707]",17.062675,"[18.928814, 0.024486303]","[15.225684, 0.023675442]",5,"[255.7663, 412.8048]",42.58272,"[15.225684, 0.023675442]","[13.968483, 0.024766209]",6,"[256.6068, 413.3348]",42.57992,"[13.968483, 0.024766209]"
34,"[9.252387, 0.022572756]","[9.252387, 0.022572756]",impulse,impulse,"[9.252387, 0.022572756]",0,"[244.89656, 273.6765]",4.608495,"[9.252387, 0.022572756]","[1.8169796, 0.029797316]",1,"[234.81152, 258.67838]",4.724641,"[1.8169796, 0.029797316]","[19.53614, 0.02231884]",2,"[1094.7368, 563.59204]",24.582205,"[19.53614, 0.02231884]","[19.53614, 0.02231884]",3,"[929.1477, 1345.2676]",18.130474,"[19.53614, 0.02231884]","[18.928814, 0.024486303]",4,"[689.7097, 33.269707]",17.062675,"[18.928814, 0.024486303]","[15.225684, 0.023675442]",5,"[255.7663, 412.8048]",42.58272,"[15.225684, 0.023675442]","[13.968483, 0.024766209]",6,"[256.6068, 413.3348]",42.57992,"[13.968483, 0.024766209]"
69,"[9.290615, 0.038227797]","[9.290615, 0.038227797]",impulse,impulse,"[9.290615, 0.038227797]",0,"[244.87598, 273.66724]",4.608495,"[9.290615, 0.038227797]","[1.8169796, 0.029797316]",1,"[234.81152, 258.67838]",4.724641,"[1.8169796, 0.029797316]","[19.53614, 0.02231884]",2,"[1094.7368, 563.59204]",24.582205,"[19.53614, 0.02231884]","[19.53614, 0.02231884]",3,"[929.1477, 1345.2676]",18.130474,"[19.53614, 0.02231884]","[18.928814, 0.024486303]",4,"[689.7097, 33.269707]",17.062675,"[18.928814, 0.024486303]","[15.225684, 0.023675442]",5,"[255.7663, 412.8048]",42.58272,"[15.225684, 0.023675442]","[13.968483, 0.024766209]",6,"[256.6068, 413.3348]",42.57992,"[13.968483, 0.024766209]"
103,"[9.321281, 0.030666351]","[9.321281, 0.030666351]",impulse,impulse,"[9.321281, 0.030666351]",0,"[244.85199, 273.69125]",4.409913,"[9.321281, 0.030666351]","[1.8169796, 0.029797316]",1,"[234.81152, 258.67838]",4.724641,"[1.8169796, 0.029797316]","[19.53614, 0.02231884]",2,"[1094.7368, 563.59204]",24.582205,"[19.53614, 0.02231884]","[19.53614, 0.02231884]",3,"[929.1477, 1345.2676]",18.130474,"[19.53614, 0.02231884]","[18.928814, 0.024486303]",4,"[689.7097, 33.269707]",17.062675,"[18.928814, 0.024486303]","[15.225684, 0.023675442]",5,"[255.7663, 412.8048]",42.58272,"[15.225684, 0.023675442]","[13.968483, 0.024766209]",6,"[256.6068, 413.3348]",42.57992,"[13.968483, 0.024766209]"
138,"[9.360267, 0.038985252]","[9.360267, 0.038985252]",impulse,impulse,"[9.360267, 0.038985252]",0,"[244.84464, 273.70706]",4.409913,"[9.360267, 0.038985252]","[1.8169796, 0.029797316]",1,"[234.81152, 258.67838]",4.724641,"[1.8169796, 0.029797316]","[19.53614, 0.02231884]",2,"[1094.7368, 563.59204]",24.582205,"[19.53614, 0.02231884]","[19.53614, 0.02231884]",3,"[929.1477, 1345.2676]",18.130474,"[19.53614, 0.02231884]","[18.928814, 0.024486303]",4,"[689.7097, 33.269707]",17.062675,"[18.928814, 0.024486303]","[15.225684, 0.023675442]",5,"[255.7663, 412.8048]",42.58272,"[15.225684, 0.023675442]","[13.968483, 0.024766209]",6,"[256.6068, 413.3348]",42.57992,"[13.968483, 0.024766209]"
173,"[9.385637, 0.02537036]","[9.385637, 0.02537036]",impulse,impulse,"[9.385637, 0.02537036]",0,"[244.84464, 273.70706]",4.409913,"[9.385637, 0.02537036]","[1.8169796, 0.029797316]",1,"[234.81152, 258.67838]",4.724641,"[1.8169796, 0.029797316]","[19.53614, 0.02231884]",2,"[1094.7368, 563.59204]",24.582205,"[19.53614, 0.02231884]","[19.53614, 0.02231884]",3,"[929.1477, 1345.2676]",18.130474,"[19.53614, 0.02231884]","[18.928814, 0.024486303]",4,"[689.7097, 33.269707]",17.062675,"[18.928814, 0.024486303]","[15.225684, 0.023675442]",5,"[255.7663, 412.8048]",42.58272,"[15.225684, 0.023675442]","[13.968483, 0.024766209]",6,"[256.6068, 413.3348]",42.57992,"[13.968483, 0.024766209]"
208,"[9.421139, 0.03550172]","[9.421139, 0.03550172]",impulse,impulse,"[9.421139, 0.03550172]",0,"[244.80716, 273.70972]",4.463916,"[9.421139, 0.03550172]","[1.8169796, 0.029797316]",1,"[234.81152, 258.67838]",4.724641,"[1.8169796, 0.029797316]","[19.53614, 0.02231884]",2,"[1094.7368, 563.59204]",24.582205,"[19.53614, 0.02231884]","[19.53614, 0.02231884]",3,"[929.1477, 1345.2676]",18.130474,"[19.53614, 0.02231884]","[18.928814, 0.024486303]",4,"[689.7097, 33.269707]",17.062675,"[18.928814, 0.024486303]","[15.225684, 0.023675442]",5,"[255.7663, 412.8048]",42.58272,"[15.225684, 0.023675442]","[13.968483, 0.024766209]",6,"[256.6068, 413.3348]",42.57992,"[13.968483, 0.024766209]"
243,"[9.457403, 0.03626418]","[9.457403, 0.03626418]",impulse,impulse,"[9.457403, 0.03626418]",0,"[244.78955, 273.7341]",4.409913,"[9.457403, 0.03626418]","[1.8169796, 0.029797316]",1,"[234.81152, 258.67838]",4.724641,"[1.8169796, 0.029797316]","[19.53614, 0.02231884]",2,"[1094.7368, 563.59204]",24.582205,"[19.53614, 0.02231884]","[19.53614, 0.02231884]",3,"[929.1477, 1345.2676]",18.130474,"[19.53614, 0.02231884]","[18.928814, 0.024486303]",4,"[689.7097, 33.269707]",17.062675,"[18.928814, 0.024486303]","[15.225684, 0.023675442]",5,"[255.7663, 412.8048]",42.58272,"[15.225684, 0.023675442]","[13.968483, 0.024766209]",6,"[256.6068, 413.3348]",42.57992,"[13.968483, 0.024766209]"
278,"[9.491198, 0.033794165]","[9.491198, 0.033794165]",impulse,impulse,"[9.491198, 0.033794165]",0,"[244.74545, 273.7277]",4.463916,"[9.491198, 0.033794165]","[1.8169796, 0.029797316]",1,"[234.81152, 258.67838]",4.724641,"[1.8169796, 0.029797316]","[19.53614, 0.02231884]",2,"[1094.7368, 563.59204]",24.582205,"[19.53614, 0.02231884]","[19.53614, 0.02231884]",3,"[929.1477, 1345.2676]",18.130474,"[19.53614, 0.02231884]","[18.928814, 0.024486303]",4,"[689.7097, 33.269707]",17.062675,"[18.928814, 0.024486303]","[15.225684, 0.023675442]",5,"[255.7663, 412.8048]",42.58272,"[15.225684, 0.023675442]","[13.968483, 0.024766209]",6,"[256.6068, 413.3348]",42.57992,"[13.968483, 0.024766209]"
313,"[9.517472, 0.026275396]","[9.517472, 0.026275396]",impulse,impulse,"[9.517472, 0.026275396]",0,"[244.72733, 273.73932]",4.463916,"[9.517472, 0.026275396]","[1.8169796, 0.029797316]",1,"[234.81152, 258.67838]",4.724641,"[1.8169796, 0.029797316]","[19.53614, 0.02231884]",2,"[1094.7368, 563.59204]",24.582205,"[19.53614, 0.02231884]","[19.53614, 0.02231884]",3,"[929.1477, 1345.2676]",18.130474,"[19.53614, 0.02231884]","[18.928814, 0.024486303]",4,"[689.7097, 33.269707]",17.062675,"[18.928814, 0.024486303]","[15.225684, 0.023675442]",5,"[255.7663, 412.8048]",42.58272,"[15.225684, 0.023675442]","[13.968483, 0.024766209]",6,"[256.6068, 413.3348]",42.57992,"[13.968483, 0.024766209]"
347,"[9.557322, 0.03984928]","[9.557322, 0.03984928]",impulse,impulse,"[9.557322, 0.03984928]",0,"[244.71152, 273.74164]",4.633448,"[9.557322, 0.03984928]","[1.8169796, 0.029797316]",1,"[234.81152, 258.67838]",4.724641,"[1.8169796, 0.029797316]","[19.53614, 0.02231884]",2,"[1094.7368, 563.59204]",24.582205,"[19.53614, 0.02231884]","[19.53614, 0.02231884]",3,"[929.1477, 1345.2676]",18.130474,"[19.53614, 0.02231884]","[18.928814, 0.024486303]",4,"[689.7097, 33.269707]",17.062675,"[18.928814, 0.024486303]","[15.225684, 0.023675442]",5,"[255.7663, 412.8048]",42.58272,"[15.225684, 0.023675442]","[13.968483, 0.024766209]",6,"[256.6068, 413.3348]",42.57992,"[13.968483, 0.024766209]"
