timestamp,/livepose/frame,/livepose/end_frame,/livepose/blobs/start_filter,/livepose/blobs/end_filter,/livepose/blobs/0/0/start_pose,/livepose/blobs/0/0/blob_id,/livepose/blobs/0/0/center,/livepose/blobs/0/0/size,/livepose/blobs/0/0/end_pose,/livepose/blobs/0/1/start_pose,/livepose/blobs/0/1/blob_id,/livepose/blobs/0/1/center,/livepose/blobs/0/1/size,/livepose/blobs/0/1/end_pose,/livepose/blobs/0/2/start_pose,/livepose/blobs/0/2/blob_id,/livepose/blobs/0/2/center,/livepose/blobs/0/2/size,/livepose/blobs/0/2/end_pose,/livepose/blobs/0/3/start_pose,/livepose/blobs/0/3/blob_id,/livepose/blobs/0/3/center,/livepose/blobs/0/3/size,/livepose/blobs/0/3/end_pose,/livepose/blobs/0/4/start_pose,/livepose/blobs/0/4/blob_id,/livepose/blobs/0/4/center,/livepose/blobs/0/4/size,/livepose/blobs/0/4/end_pose,/livepose/blobs/0/5/start_pose,/livepose/blobs/0/5/blob_id,/livepose/blobs/0/5/center,/livepose/blobs/0/5/size,/livepose/blobs/0/5/end_pose,/livepose/blobs/0/6/start_pose,/livepose/blobs/0/6/blob_id,/livepose/blobs/0/6/center,/livepose/blobs/0/6/size,/livepose/blobs/0/6/end_pose
0,"[39.793514, 0.040786743]","[39.793514, 0.040786743]",impulse,impulse,"[39.793514, 0.040786743]",0,"[206.6424, 476.9412]",5.216477,"[39.793514, 0.040786743]","[39.793514, 0.040786743]",1,"[241.89867, 344.6547]",5.116279,"[39.793514, 0.040786743]","[39.793514, 0.040786743]",2,"[262.92407, 255.03276]",6.7627983,"[39.793514, 0.040786743]","[39.793514, 0.040786743]",3,"[268.46838, 171.36557]",6.90115,"[39.793514, 0.040786743]","[1.7195442, 0.033109426]",4,"[253.9047, 161.73901]",4.943056,"[1.7195442, 0.033109426]","[3.33786e-06, 3.33786e-06]",5,"[249.28902, 165.66882]",5.287764,"[3.33786e-06, 3.33786e-06]","[3.33786e-06, 3.33786e-06]",6,"[166.16122, 284.40262]",6.3061566,"[3.33786e-06, 3.33786e-06]"
31,"[39.824825, 0.031312943]","[39.824825, 0.031312943]",impulse,impulse,"[39.824825, 0.031312943]",0,"[207.7483, 477.4182]",5.30682,"[39.824825, 0.031312943]","[39.824825, 0.031312943]",1,"[242.69464, 345.12772]",5.116279,"[39.824825, 0.031312943]","[39.824825, 0.031312943]",2,"[263.84824, 255.262]",6.475611,"[39.824825, 0.031312943]","[39.824825, 0.031312943]",3,"[269.21753, 171.40143]",7.0054407,"[39.824825, 0.031312943]","[1.7195442, 0.033109426]",4,"[253.9047, 161.73901]",4.943056,"[1.7195442, 0.033109426]","[3.33786e-06, 3.33786e-06]",5,"[249.28902, 165.66882]",5.287764,"[3.33786e-06, 3.33786e-06]","[3.33786e-06, 3.33786e-06]",6,"[166.16122, 284.40262]",6.3061566,"[3.33786e-06, 3.33786e-06]"
63,"[39.861904, 0.037078142]","[39.861904, 0.037078142]",impulse,impulse,"[39.861904, 0.037078142]",0,"[208.84947, 478.0473]",5.3301415,"[39.861904, 0.037078142]","[39.861904, 0.037078142]",1,"[243.3954, 345.56458]",5.113492,"[39.861904, 0.037078142]","[39.861904, 0.037078142]",2,"[264.77905, 255.67119]",6.500024,"[39.861904, 0.037078142]","[39.861904, 0.037078142]",3,"[270.1465, 171.5425]",6.8560524,"[39.861904, 0.037078142]","[1.7195442, 0.033109426]",4,"[253.9047, 161.73901]",4.943056,"[1.7195442, 0.033109426]","[3.33786e-06, 3.33786e-06]",5,"[249.28902, 165.66882]",5.287764,"[3.33786e-06, 3.33786e-06]","[3.33786e-06, 3.33786e-06]",6,"[166.16122, 284.40262]",6.3061566,"[3.33786e-06, 3.33786e-06]"
95,"[39.888653, 0.026747465]","[39.888653, 0.026747465]",impulse,impulse,"[39.888653, 0.026747465]",0,"[209.96642, 478.5789]",4.743806,"[39.888653, 0.026747465]","[39.888653, 0.026747465]",1,"[244.2237, 346.01813]",4.665952,"[39.888653, 0.026747465]","[39.888653, 0.026747465]",2,"[265.63632, 256.0247]",6.5948796,"[39.888653, 0.026747465]","[39.888653, 0.026747465]",3,"[270.93405, 171.80621]",6.778717,"[39.888653, 0.026747465]","[1.7195442, 0.033109426]",4,"[253.9047, 161.73901]",4.943056,"[1.7195442, 0.033109426]","[3.33786e-06, 3.33786e-06]",5,"[249.28902, 165.66882]",5.287764,"[3.33786e-06, 3.33786e-06]","[3.33786e-06, 3.33786e-06]",6,"[166.16122, 284.40262]",6.3061566,"[3.33786e-06, 3.33786e-06]"
127,"[39.888653, 0.026747465]","[39.888653, 0.026747465]",impulse,impulse,"[39.888653, 0.026747465]",0,"[209.96642, 478.5789]",4.743806,"[39.888653, 0.026747465]","[39.888653, 0.026747465]",1,"[244.2237, 346.01813]",4.665952,"[39.888653, 0.026747465]","[39.888653, 0.026747465]",2,"[265.63632, 256.0247]",6.5948796,"[39.888653, 0.026747465]","[39.888653, 0.026747465]",3,"[270.93405, 171.80621]",6.778717,"[39.888653, 0.026747465]","[1.7195442, 0.033109426]",4,"[253.9047, 161.73901]",4.943056,"[1.7195442, 0.033109426]","[3.33786e-06, 3.33786e-06]",5,"[249.28902, 165.66882]",5.287764,"[3.33786e-06, 3.33786e-06]","[3.33786e-06, 3.33786e-06]",6,"[166.16122, 284.40262]",6.3061566,"[3.33786e-06, 3.33786e-06]"
159,"[39.97125, 0.035799265]","[39.97125, 0.035799265]",impulse,impulse,"[39.97125, 0.035799265]",0,"[212.19962, 479.79614]",5.30682,"[39.97125, 0.035799265]","[39.97125, 0.035799265]",1,"[245.88861, 346.70932]",5.116279,"[39.97125, 0.035799265]","[39.97125, 0.035799265]",2,"[267.28632, 256.89688]",6.4552026,"[39.97125, 0.035799265]","[39.97125, 0.035799265]",3,"[272.60126, 172.52232]",7.172643,"[39.97125, 0.035799265]","[1.7195442, 0.033109426]",4,"[253.9047, 161.73901]",4.943056,"[1.7195442, 0.033109426]","[3.33786e-06, 3.33786e-06]",5,"[249.28902, 165.66882]",5.287764,"[3.33786e-06, 3.33786e-06]","[3.33786e-06, 3.33786e-06]",6,"[166.16122, 284.40262]",6.3061566,"[3.33786e-06, 3.33786e-06]"
191,"[39.991398, 0.020147085]","[39.991398, 0.020147085]",impulse,impulse,"[39.991398, 0.020147085]",0,"[212.19962, 479.79614]",5.30682,"[39.991398, 0.020147085]","[39.991398, 0.020147085]",1,"[245.88861, 346.70932]",5.116279,"[39.991398, 0.020147085]","[39.991398, 0.020147085]",2,"[267.28632, 256.89688]",6.4552026,"[39.991398, 0.020147085]","[39.991398, 0.020147085]",3,"[272.60126, 172.52232]",7.172643,"[39.991398, 0.020147085]","[1.7195442, 0.033109426]",4,"[253.9047, 161.73901]",4.943056,"[1.7195442, 0.033109426]","[3.33786e-06, 3.33786e-06]",5,"[249.28902, 165.66882]",5.287764,"[3.33786e-06, 3.33786e-06]","[3.33786e-06, 3.33786e-06]",6,"[166.16122, 284.40262]",6.3061566,"[3.33786e-06, 3.33786e-06]"
223,"[40.026077, 0.03467989]","[40.026077, 0.03467989]",impulse,impulse,"[40.026077, 0.03467989]",0,"[213.41885, 480.47333]",5.1726,"[40.026077, 0.03467989]","[40.026077, 0.03467989]",1,"[246.78845, 347.2418]",6.678626,"[40.026077, 0.03467989]","[40.026077, 0.03467989]",2,"[264.84152, 254.79805]",5.113492,"[40.026077, 0.03467989]","[40.026077, 0.03467989]",3,"[273.56827, 172.85263]",7.1288595,"[40.026077, 0.03467989]","[1.7195442, 0.033109426]",4,"[253.9047, 161.73901]",4.943056,"[1.7195442, 0.033109426]","[3.33786e-06, 3.33786e-06]",5,"[249.28902, 165.66882]",5.287764,"[3.33786e-06, 3.33786e-06]","[3.33786e-06, 3.33786e-06]",6,"[166.16122, 284.40262]",6.3061566,"[3.33786e-06, 3.33786e-06]"
255,"[40.064445, 0.038368702]","[40.064445, 0.038368702]",impulse,impulse,"[40.064445, 0.038368702]",0,"[215.9435, 481.74625]",5.1726,"[40.064445, 0.038368702]","[40.064445, 0.038368702]",1,"[248.71118, 348.11365]",6.658225,"[40.064445, 0.038368702]","[40.064445, 0.038368702]",2,"[266.76074, 255.73529]",5.104546,"[40.064445, 0.038368702]","[40.064445, 0.038368702]",3,"[275.53537, 173.5654]",7.0026546,"[40.064445, 0.038368702]","[1.7195442, 0.033109426]",4,"[253.9047, 161.73901]",4.943056,"[1.7195442, 0.033109426]","[3.33786e-06, 3.33786e-06]",5,"[249.28902, 165.66882]",5.287764,"[3.33786e-06, 3.33786e-06]","[3.33786e-06, 3.33786e-06]",6,"[166.16122, 284.40262]",6.3061566,"[3.33786e-06, 3.33786e-06]"
287,"[40.093582, 0.029135466]","[40.093582, 0.029135466]",impulse,impulse,"[40.093582, 0.029135466]",0,"[217.02284, 482.38992]",5.30682,"[40.093582, 0.029135466]","[40.093582, 0.029135466]",1,"[249.84525, 348.5097]",5,"[40.093582, 0.029135466]","[40.093582, 0.029135466]",2,"[271.1506, 258.7757]",6.343295,"[40.093582, 0.029135466]","[40.093582, 0.029135466]",3,"[276.52585, 173.98979]",6.911241,"[40.093582, 0.029135466]","[1.7195442, 0.033109426]",4,"[253.9047, 161.73901]",4.943056,"[1.7195442, 0.033109426]","[3.33786e-06, 3.33786e-06]",5,"[249.28902, 165.66882]",5.287764,"[3.33786e-06, 3.33786e-06]","[3.33786e-06, 3.33786e-06]",6,"[166.16122, 284.40262]",6.3061566,"[3.33786e-06, 3.33786e-06]"
