timestamp,/livepose/frame,/livepose/end_frame,/livepose/blobs/start_filter,/livepose/blobs/end_filter,/livepose/blobs/0/0/start_pose,/livepose/blobs/0/0/blob_id,/livepose/blobs/0/0/center,/livepose/blobs/0/0/size,/livepose/blobs/0/0/end_pose,/livepose/blobs/0/1/start_pose,/livepose/blobs/0/1/blob_id,/livepose/blobs/0/1/center,/livepose/blobs/0/1/size,/livepose/blobs/0/1/end_pose,/livepose/blobs/0/2/start_pose,/livepose/blobs/0/2/blob_id,/livepose/blobs/0/2/center,/livepose/blobs/0/2/size,/livepose/blobs/0/2/end_pose,/livepose/blobs/0/3/start_pose,/livepose/blobs/0/3/blob_id,/livepose/blobs/0/3/center,/livepose/blobs/0/3/size,/livepose/blobs/0/3/end_pose,/livepose/blobs/0/4/start_pose,/livepose/blobs/0/4/blob_id,/livepose/blobs/0/4/center,/livepose/blobs/0/4/size,/livepose/blobs/0/4/end_pose,/livepose/blobs/0/5/start_pose,/livepose/blobs/0/5/blob_id,/livepose/blobs/0/5/center,/livepose/blobs/0/5/size,/livepose/blobs/0/5/end_pose,/livepose/blobs/0/6/start_pose,/livepose/blobs/0/6/blob_id,/livepose/blobs/0/6/center,/livepose/blobs/0/6/size,/livepose/blobs/0/6/end_pose
0,"[135.55614, 0.029476404]","[135.55614, 0.029476404]",impulse,impulse,"[135.55614, 0.029476404]",0,"[583.59235, 348.4104]",5.654236,"[135.55614, 0.029476404]","[135.55614, 0.029476404]",1,"[528.1582, 167.41794]",5.3850923,"[135.55614, 0.029476404]","[135.55614, 0.029476404]",2,"[278.6258, 499.92276]",4.6494527,"[135.55614, 0.029476404]","[135.55614, 0.029476404]",3,"[188.0719, 452.4164]",6.425032,"[135.55614, 0.029476404]","[103.85984, 0.026300907]",4,"[321.6712, 240.1586]",6.462167,"[103.85984, 0.026300907]","[98.628716, 0.03246832]",5,"[294.6824, 251.36688]",6.363441,"[98.628716, 0.03246832]","[98.628716, 0.03246832]",6,"[242.33302, 206.73186]",8.847705,"[98.628716, 0.03246832]"
31,"[135.59947, 0.043341637]","[135.59947, 0.043341637]",impulse,impulse,"[135.59947, 0.043341637]",0,"[583.78064, 347.20255]",5.433726,"[135.59947, 0.043341637]","[135.59947, 0.043341637]",1,"[528.05505, 167.53004]",5.4947834,"[135.59947, 0.043341637]","[135.59947, 0.043341637]",2,"[279.32047, 499.7483]",4.302776,"[135.59947, 0.043341637]","[135.59947, 0.043341637]",3,"[188.0719, 452.4164]",6.32586,"[135.59947, 0.043341637]","[103.85984, 0.026300907]",4,"[321.6712, 240.1586]",6.462167,"[103.85984, 0.026300907]","[98.628716, 0.03246832]",5,"[294.6824, 251.36688]",6.363441,"[98.628716, 0.03246832]","[98.628716, 0.03246832]",6,"[242.33302, 206.73186]",8.847705,"[98.628716, 0.03246832]"
63,"[135.6328, 0.033324957]","[135.6328, 0.033324957]",impulse,impulse,"[135.6328, 0.033324957]",0,"[583.9428, 345.9237]",5.303524,"[135.6328, 0.033324957]","[135.6328, 0.033324957]",1,"[527.98846, 167.56996]",5.8566647,"[135.6328, 0.033324957]","[135.6328, 0.033324957]",2,"[279.96252, 499.5295]",4.302776,"[135.6328, 0.033324957]","[135.6328, 0.033324957]",3,"[188.0719, 452.4164]",6.043573,"[135.6328, 0.033324957]","[103.85984, 0.026300907]",4,"[321.6712, 240.1586]",6.462167,"[103.85984, 0.026300907]","[98.628716, 0.03246832]",5,"[294.6824, 251.36688]",6.363441,"[98.628716, 0.03246832]","[98.628716, 0.03246832]",6,"[242.33302, 206.73186]",8.847705,"[98.628716, 0.03246832]"
95,"[135.65643, 0.02362752]","[135.65643, 0.02362752]",impulse,impulse,"[135.65643, 0.02362752]",0,"[584.05383, 344.63828]",5.4947834,"[135.65643, 0.02362752]","[135.65643, 0.02362752]",1,"[527.88666, 167.64667]",5.784849,"[135.65643, 0.02362752]","[135.65643, 0.02362752]",2,"[280.61044, 499.3441]",5,"[135.65643, 0.02362752]","[135.65643, 0.02362752]",3,"[188.0719, 452.4164]",6.6830974,"[135.65643, 0.02362752]","[103.85984, 0.026300907]",4,"[321.6712, 240.1586]",6.462167,"[103.85984, 0.026300907]","[98.628716, 0.03246832]",5,"[294.6824, 251.36688]",6.363441,"[98.628716, 0.03246832]","[98.628716, 0.03246832]",6,"[242.33302, 206.73186]",8.847705,"[98.628716, 0.03246832]"
127,"[135.70161, 0.045192003]","[135.70161, 0.045192003]",impulse,impulse,"[135.70161, 0.045192003]",0,"[584.1821, 343.4665]",5.6928725,"[135.70161, 0.045192003]","[135.70161, 0.045192003]",1,"[528.05054, 167.55666]",5.443325,"[135.70161, 0.045192003]","[135.70161, 0.045192003]",2,"[281.26022, 499.0286]",4.5864015,"[135.70161, 0.045192003]","[135.70161, 0.045192003]",3,"[188.0719, 452.4164]",6.609181,"[135.70161, 0.045192003]","[103.85984, 0.026300907]",4,"[321.6712, 240.1586]",6.462167,"[103.85984, 0.026300907]","[98.628716, 0.03246832]",5,"[294.6824, 251.36688]",6.363441,"[98.628716, 0.03246832]","[98.628716, 0.03246832]",6,"[242.33302, 206.73186]",8.847705,"[98.628716, 0.03246832]"
159,"[135.74365, 0.04204011]","[135.74365, 0.04204011]",impulse,impulse,"[135.74365, 0.04204011]",0,"[584.2989, 342.27725]",5.685031,"[135.74365, 0.04204011]","[135.74365, 0.04204011]",1,"[528.2047, 167.49448]",5.526543,"[135.74365, 0.04204011]","[135.74365, 0.04204011]",2,"[281.7555, 498.91736]",4.841452,"[135.74365, 0.04204011]","[135.74365, 0.04204011]",3,"[188.0719, 452.4164]",6.4589534,"[135.74365, 0.04204011]","[103.85984, 0.026300907]",4,"[321.6712, 240.1586]",6.462167,"[103.85984, 0.026300907]","[98.628716, 0.03246832]",5,"[294.6824, 251.36688]",6.363441,"[98.628716, 0.03246832]","[98.628716, 0.03246832]",6,"[242.33302, 206.73186]",8.847705,"[98.628716, 0.03246832]"
191,"[135.75497, 0.011318207]","[135.75497, 0.011318207]",impulse,impulse,"[135.75497, 0.011318207]",0,"[584.2757, 340.91745]",5.4141207,"[135.75497, 0.011318207]","[135.75497, 0.011318207]",1,"[528.16376, 167.49557]",6.0598445,"[135.75497, 0.011318207]","[135.75497, 0.011318207]",2,"[282.27557, 498.82364]",4.694759,"[135.75497, 0.011318207]","[135.75497, 0.011318207]",3,"[188.0719, 452.4164]",6.3885126,"[135.75497, 0.011318207]","[103.85984, 0.026300907]",4,"[321.6712, 240.1586]",6.462167,"[103.85984, 0.026300907]","[98.628716, 0.03246832]",5,"[294.6824, 251.36688]",6.363441,"[98.628716, 0.03246832]","[98.628716, 0.03246832]",6,"[242.33302, 206.73186]",8.847705,"[98.628716, 0.03246832]"
223,"[135.79771, 0.04274249]","[135.79771, 0.04274249]",impulse,impulse,"[135.79771, 0.04274249]",0,"[584.2921, 339.64413]",5.685031,"[135.79771, 0.04274249]","[135.79771, 0.04274249]",1,"[528.2061, 167.45918]",5.601023,"[135.79771, 0.04274249]","[135.79771, 0.04274249]",2,"[282.79663, 498.86877]",4.694759,"[135.79771, 0.04274249]","[135.79771, 0.04274249]",3,"[188.0719, 452.4164]",6.673427,"[135.79771, 0.04274249]","[103.85984, 0.026300907]",4,"[321.6712, 240.1586]",6.462167,"[103.85984, 0.026300907]","[98.628716, 0.03246832]",5,"[294.6824, 251.36688]",6.363441,"[98.628716, 0.03246832]","[98.628716, 0.03246832]",6,"[242.33302, 206.73186]",8.847705,"[98.628716, 0.03246832]"
255,"[135.82964, 0.031910896]","[135.82964, 0.031910896]",impulse,impulse,"[135.82964, 0.031910896]",0,"[584.43677, 338.4761]",5.4947834,"[135.82964, 0.031910896]","[135.82964, 0.031910896]",1,"[528.18616, 167.46033]",5.2735972,"[135.82964, 0.031910896]","[135.82964, 0.031910896]",2,"[283.32385, 498.85483]",4.694759,"[135.82964, 0.031910896]","[135.82964, 0.031910896]",3,"[188.0719, 452.4164]",6.3885126,"[135.82964, 0.031910896]","[103.85984, 0.026300907]",4,"[321.6712, 240.1586]",6.462167,"[103.85984, 0.026300907]","[98.628716, 0.03246832]",5,"[294.6824, 251.36688]",6.363441,"[98.628716, 0.03246832]","[98.628716, 0.03246832]",6,"[242.33302, 206.73186]",8.847705,"[98.628716, 0.03246832]"
287,"[135.86528, 0.03565049]","[135.86528, 0.03565049]",impulse,impulse,"[135.86528, 0.03565049]",0,"[584.63184, 337.30286]",5.685031,"[135.86528, 0.03565049]","[135.86528, 0.03565049]",1,"[528.1407, 167.50502]",5.3850923,"[135.86528, 0.03565049]","[135.86528, 0.03565049]",2,"[283.88284, 498.9049]",4.8041654,"[135.86528, 0.03565049]","[135.86528, 0.03565049]",3,"[188.0719, 452.4164]",6.122597,"[135.86528, 0.03565049]","[103.85984, 0.026300907]",4,"[321.6712, 240.1586]",6.462167,"[103.85984, 0.026300907]","[98.628716, 0.03246832]",5,"[294.6824, 251.36688]",6.363441,"[98.628716, 0.03246832]","[98.628716, 0.03246832]",6,"[242.33302, 206.73186]",8.847705,"[98.628716, 0.03246832]"
