timestamp,/livepose/frame,/livepose/end_frame,/livepose/blobs/start_filter,/livepose/blobs/end_filter,/livepose/blobs/0/0/start_pose,/livepose/blobs/0/0/blob_id,/livepose/blobs/0/0/center,/livepose/blobs/0/0/size,/livepose/blobs/0/0/end_pose,/livepose/blobs/0/1/start_pose,/livepose/blobs/0/1/blob_id,/livepose/blobs/0/1/center,/livepose/blobs/0/1/size,/livepose/blobs/0/1/end_pose,/livepose/blobs/0/2/start_pose,/livepose/blobs/0/2/blob_id,/livepose/blobs/0/2/center,/livepose/blobs/0/2/size,/livepose/blobs/0/2/end_pose,/livepose/blobs/0/3/start_pose,/livepose/blobs/0/3/blob_id,/livepose/blobs/0/3/center,/livepose/blobs/0/3/size,/livepose/blobs/0/3/end_pose,/livepose/blobs/0/4/start_pose,/livepose/blobs/0/4/blob_id,/livepose/blobs/0/4/center,/livepose/blobs/0/4/size,/livepose/blobs/0/4/end_pose,/livepose/blobs/0/5/start_pose,/livepose/blobs/0/5/blob_id,/livepose/blobs/0/5/center,/livepose/blobs/0/5/size,/livepose/blobs/0/5/end_pose,/livepose/blobs/0/6/start_pose,/livepose/blobs/0/6/blob_id,/livepose/blobs/0/6/center,/livepose/blobs/0/6/size,/livepose/blobs/0/6/end_pose
0,"[43.34049, 0.024894953]","[43.34049, 0.024894953]",impulse,impulse,"[43.34049, 0.024894953]",0,"[175.73718, 456.66666]",5.7318735,"[43.34049, 0.024894953]","[43.34049, 0.024894953]",1,"[265.1181, 114.457664]",3.5713816,"[43.34049, 0.024894953]","[43.34049, 0.024894953]",2,"[223.27925, 383.5625]",5.30682,"[43.34049, 0.024894953]","[43.34049, 0.024894953]",3,"[467.55002, 245.54698]",5.523792,"[43.34049, 0.024894953]","[43.34049, 0.024894953]",4,"[342.6882, 540.6825]",5.9928613,"[43.34049, 0.024894953]","[27.84864, 0.026367664]",5,"[390.31668, 369]",3.0883293,"[27.84864, 0.026367664]","[27.84864, 0.026367664]",6,"[297.80682, 267.49496]",5.0039835,"[27.84864, 0.026367664]"
31,"[43.37487, 0.03438306]","[43.37487, 0.03438306]",impulse,impulse,"[43.37487, 0.03438306]",0,"[175.73718, 456.66666]",5.8713174,"[43.37487, 0.03438306]","[43.37487, 0.03438306]",1,"[265.90204, 114.28932]",5.2403893,"[43.37487, 0.03438306]","[43.37487, 0.03438306]",2,"[223.46703, 384.531]",5.899795,"[43.37487, 0.03438306]","[43.37487, 0.03438306]",3,"[467.27252, 246.005]",6.2929945,"[43.37487, 0.03438306]","[43.34049, 0.024894953]",4,"[342.6882, 540.6825]",5.9928613,"[43.34049, 0.024894953]","[27.84864, 0.026367664]",5,"[390.31668, 369]",3.0883293,"[27.84864, 0.026367664]","[27.84864, 0.026367664]",6,"[297.80682, 267.49496]",5.0039835,"[27.84864, 0.026367664]"
63,"[43.406567, 0.031698227]","[43.406567, 0.031698227]",impulse,impulse,"[43.406567, 0.031698227]",0,"[173.44095, 458.37375]",5.6317,"[43.406567, 0.031698227]","[43.406567, 0.031698227]",1,"[266.71326, 114.178505]",3.3437853,"[43.406567, 0.031698227]","[43.406567, 0.031698227]",2,"[223.53131, 385.55374]",5.0990195,"[43.406567, 0.031698227]","[43.406567, 0.031698227]",3,"[467.11612, 246.43277]",5.6733527,"[43.406567, 0.031698227]","[43.406567, 0.031698227]",4,"[341.97653, 539.5894]",6.49479,"[43.406567, 0.031698227]","[27.84864, 0.026367664]",5,"[390.31668, 369]",3.0883293,"[27.84864, 0.026367664]","[27.84864, 0.026367664]",6,"[297.80682, 267.49496]",5.0039835,"[27.84864, 0.026367664]"
95,"[43.445786, 0.03921628]","[43.445786, 0.03921628]",impulse,impulse,"[43.445786, 0.03921628]",0,"[173.44095, 458.37375]",5.7339635,"[43.445786, 0.03921628]","[43.445786, 0.03921628]",1,"[267.6717, 114.12202]",5.287764,"[43.445786, 0.03921628]","[43.445786, 0.03921628]",2,"[223.60167, 386.62485]",5.6733527,"[43.445786, 0.03921628]","[43.445786, 0.03921628]",3,"[466.8974, 246.83772]",6.327959,"[43.445786, 0.03921628]","[43.406567, 0.031698227]",4,"[341.97653, 539.5894]",6.49479,"[43.406567, 0.031698227]","[27.84864, 0.026367664]",5,"[390.31668, 369]",3.0883293,"[27.84864, 0.026367664]","[27.84864, 0.026367664]",6,"[297.80682, 267.49496]",5.0039835,"[27.84864, 0.026367664]"
127,"[43.485012, 0.039227247]","[43.485012, 0.039227247]",impulse,impulse,"[43.485012, 0.039227247]",0,"[173.44095, 458.37375]",5.469257,"[43.485012, 0.039227247]","[43.485012, 0.039227247]",1,"[268.62396, 114.06241]",3.3437853,"[43.485012, 0.039227247]","[43.485012, 0.039227247]",2,"[223.64577, 387.6916]",5.3160195,"[43.485012, 0.039227247]","[43.485012, 0.039227247]",3,"[466.7897, 247.26654]",5.6733527,"[43.485012, 0.039227247]","[43.485012, 0.039227247]",4,"[341.24445, 538.4538]",6.591021,"[43.485012, 0.039227247]","[27.84864, 0.026367664]",5,"[390.31668, 369]",3.0883293,"[27.84864, 0.026367664]","[27.84864, 0.026367664]",6,"[297.80682, 267.49496]",5.0039835,"[27.84864, 0.026367664]"
159,"[43.51084, 0.025827646]","[43.51084, 0.025827646]",impulse,impulse,"[43.51084, 0.025827646]",0,"[173.44095, 458.37375]",6.0048504,"[43.51084, 0.025827646]","[43.51084, 0.025827646]",1,"[269.60675, 114.011444]",5.116279,"[43.51084, 0.025827646]","[43.51084, 0.025827646]",2,"[223.59366, 388.75275]",5.3856196,"[43.51084, 0.025827646]","[43.51084, 0.025827646]",3,"[466.80823, 247.73622]",6.538094,"[43.51084, 0.025827646]","[43.485012, 0.039227247]",4,"[341.24445, 538.4538]",6.591021,"[43.485012, 0.039227247]","[27.84864, 0.026367664]",5,"[390.31668, 369]",3.0883293,"[27.84864, 0.026367664]","[27.84864, 0.026367664]",6,"[297.80682, 267.49496]",5.0039835,"[27.84864, 0.026367664]"
191,"[43.545517, 0.03467679]","[43.545517, 0.03467679]",impulse,impulse,"[43.545517, 0.03467679]",0,"[175.73718, 456.66666]",5.5595007,"[43.545517, 0.03467679]","[43.545517, 0.03467679]",1,"[270.5671, 113.99435]",3.5713816,"[43.545517, 0.03467679]","[43.545517, 0.03467679]",2,"[223.5086, 389.80524]",5.2382803,"[43.545517, 0.03467679]","[43.545517, 0.03467679]",3,"[466.9578, 248.19225]",5.445349,"[43.545517, 0.03467679]","[43.545517, 0.03467679]",4,"[340.41293, 537.4672]",6.586351,"[43.545517, 0.03467679]","[27.84864, 0.026367664]",5,"[390.31668, 369]",3.0883293,"[27.84864, 0.026367664]","[27.84864, 0.026367664]",6,"[297.80682, 267.49496]",5.0039835,"[27.84864, 0.026367664]"
223,"[43.58342, 0.037905455]","[43.58342, 0.037905455]",impulse,impulse,"[43.58342, 0.037905455]",0,"[184.04646, 450.6138]",6,"[43.58342, 0.037905455]","[43.58342, 0.037905455]",1,"[271.45914, 114.00266]",5.094232,"[43.58342, 0.037905455]","[43.58342, 0.037905455]",2,"[223.38576, 390.86993]",5.19135,"[43.58342, 0.037905455]","[43.58342, 0.037905455]",3,"[467.10144, 248.653]",5.386846,"[43.58342, 0.037905455]","[43.58342, 0.037905455]",4,"[340.0923, 537.0524]",6.450509,"[43.58342, 0.037905455]","[27.84864, 0.026367664]",5,"[390.31668, 369]",3.0883293,"[27.84864, 0.026367664]","[27.84864, 0.026367664]",6,"[297.80682, 267.49496]",5.0039835,"[27.84864, 0.026367664]"
255,"[43.60642, 0.022996426]","[43.60642, 0.022996426]",impulse,impulse,"[43.60642, 0.022996426]",0,"[183.94101, 450.76184]",5.704544,"[43.60642, 0.022996426]","[43.60642, 0.022996426]",1,"[272.33652, 114.012764]",5.6990285,"[43.60642, 0.022996426]","[43.60642, 0.022996426]",2,"[223.22636, 391.92184]",5.1328683,"[43.60642, 0.022996426]","[43.60642, 0.022996426]",3,"[467.2826, 249.1201]",5.606576,"[43.60642, 0.022996426]","[43.60642, 0.022996426]",4,"[339.5977, 536.5599]",6.550547,"[43.60642, 0.022996426]","[27.84864, 0.026367664]",5,"[390.31668, 369]",3.0883293,"[27.84864, 0.026367664]","[27.84864, 0.026367664]",6,"[297.80682, 267.49496]",5.0039835,"[27.84864, 0.026367664]"
287,"[43.64947, 0.043054104]","[43.64947, 0.043054104]",impulse,impulse,"[43.64947, 0.043054104]",0,"[183.94101, 450.76184]",5.704544,"[43.64947, 0.043054104]","[43.64947, 0.043054104]",1,"[272.33652, 114.012764]",5.6990285,"[43.64947, 0.043054104]","[43.64947, 0.043054104]",2,"[223.22636, 391.92184]",5.1328683,"[43.64947, 0.043054104]","[43.64947, 0.043054104]",3,"[467.2826, 249.1201]",5.606576,"[43.64947, 0.043054104]","[43.64947, 0.043054104]",4,"[339.5977, 536.5599]",6.550547,"[43.64947, 0.043054104]","[27.84864, 0.026367664]",5,"[390.31668, 369]",3.0883293,"[27.84864, 0.026367664]","[27.84864, 0.026367664]",6,"[297.80682, 267.49496]",5.0039835,"[27.84864, 0.026367664]"
319,"[43.67417, 0.024701118]","[43.64947, 0.043054104]",impulse,impulse,"[43.67417, 0.024701118]",0,"[183.94101, 450.76184]",5.979574,"[43.67417, 0.024701118]","[43.64947, 0.043054104]",1,"[272.33652, 114.012764]",5.6990285,"[43.64947, 0.043054104]","[43.64947, 0.043054104]",2,"[223.22636, 391.92184]",5.1328683,"[43.64947, 0.043054104]","[43.64947, 0.043054104]",3,"[467.2826, 249.1201]",5.606576,"[43.64947, 0.043054104]","[43.64947, 0.043054104]",4,"[339.5977, 536.5599]",6.550547,"[43.64947, 0.043054104]","[27.84864, 0.026367664]",5,"[390.31668, 369]",3.0883293,"[27.84864, 0.026367664]","[27.84864, 0.026367664]",6,"[297.80682, 267.49496]",5.0039835,"[27.84864, 0.026367664]"
351,"[43.67417, 0.024701118]","[43.67417, 0.024701118]",impulse,impulse,"[43.67417, 0.024701118]",0,"[183.94101, 450.76184]",5.979574,"[43.67417, 0.024701118]","[43.67417, 0.024701118]",1,"[273.89075, 113.722725]",5,"[43.67417, 0.024701118]","[43.67417, 0.024701118]",2,"[222.94923, 393.66348]",5.847192,"[43.67417, 0.024701118]","[43.67417, 0.024701118]",3,"[467.97693, 250.0781]",6.517352,"[43.67417, 0.024701118]","[43.64947, 0.043054104]",4,"[339.5977, 536.5599]",6.550547,"[43.64947, 0.043054104]","[27.84864, 0.026367664]",5,"[390.31668, 369]",3.0883293,"[27.84864, 0.026367664]","[27.84864, 0.026367664]",6,"[297.80682, 267.49496]",5.0039835,"[27.84864, 0.026367664]"
383,"[43.716354, 0.04218197]","[43.716354, 0.04218197]",impulse,impulse,"[43.716354, 0.04218197]",0,"[173.44095, 458.37375]",5.4279284,"[43.716354, 0.04218197]","[43.716354, 0.04218197]",1,"[274.7589, 113.637505]",3.3437853,"[43.716354, 0.04218197]","[43.716354, 0.04218197]",2,"[222.66435, 394.46762]",5.3160195,"[43.716354, 0.04218197]","[43.716354, 0.04218197]",3,"[468.31708, 250.52957]",5.415519,"[43.716354, 0.04218197]","[43.716354, 0.04218197]",4,"[338.3634, 535.5419]",6.6643567,"[43.716354, 0.04218197]","[27.84864, 0.026367664]",5,"[390.31668, 369]",3.0883293,"[27.84864, 0.026367664]","[27.84864, 0.026367664]",6,"[297.80682, 267.49496]",5.0039835,"[27.84864, 0.026367664]"
415,"[43.74949, 0.033133507]","[43.74949, 0.033133507]",impulse,impulse,"[43.74949, 0.033133507]",0,"[173.44095, 458.37375]",5.8985686,"[43.74949, 0.033133507]","[43.74949, 0.033133507]",1,"[275.60498, 113.45928]",5.0080276,"[43.74949, 0.033133507]","[43.74949, 0.033133507]",2,"[222.36375, 395.07892]",5.464986,"[43.74949, 0.033133507]","[43.74949, 0.033133507]",3,"[468.6767, 251.01428]",6.5588856,"[43.74949, 0.033133507]","[43.716354, 0.04218197]",4,"[338.3634, 535.5419]",6.6643567,"[43.716354, 0.04218197]","[27.84864, 0.026367664]",5,"[390.31668, 369]",3.0883293,"[27.84864, 0.026367664]","[27.84864, 0.026367664]",6,"[297.80682, 267.49496]",5.0039835,"[27.84864, 0.026367664]"
