timestamp,/livepose/frame,/livepose/end_frame,/livepose/blobs/start_filter,/livepose/blobs/end_filter,/livepose/blobs/0/0/start_pose,/livepose/blobs/0/0/blob_id,/livepose/blobs/0/0/center,/livepose/blobs/0/0/size,/livepose/blobs/0/0/end_pose,/livepose/blobs/0/1/start_pose,/livepose/blobs/0/1/blob_id,/livepose/blobs/0/1/center,/livepose/blobs/0/1/size,/livepose/blobs/0/1/end_pose,/livepose/blobs/0/2/start_pose,/livepose/blobs/0/2/blob_id,/livepose/blobs/0/2/center,/livepose/blobs/0/2/size,/livepose/blobs/0/2/end_pose,/livepose/blobs/0/3/start_pose,/livepose/blobs/0/3/blob_id,/livepose/blobs/0/3/center,/livepose/blobs/0/3/size,/livepose/blobs/0/3/end_pose,/livepose/blobs/0/4/start_pose,/livepose/blobs/0/4/blob_id,/livepose/blobs/0/4/center,/livepose/blobs/0/4/size,/livepose/blobs/0/4/end_pose,/livepose/blobs/0/5/start_pose,/livepose/blobs/0/5/blob_id,/livepose/blobs/0/5/center,/livepose/blobs/0/5/size,/livepose/blobs/0/5/end_pose,/livepose/blobs/0/6/start_pose,/livepose/blobs/0/6/blob_id,/livepose/blobs/0/6/center,/livepose/blobs/0/6/size,/livepose/blobs/0/6/end_pose
0,"[805.92883, 0.034199238]","[805.92883, 0.034199238]",impulse,impulse,"[805.92883, 0.034199238]",0,"[294.69214, 154.72879]",1,"[805.92883, 0.034199238]","[805.92883, 0.034199238]",1,"[362.6214, 604.1717]",1,"[805.92883, 0.034199238]","[805.92883, 0.034199238]",2,"[393.9318, 328.1478]",1,"[805.92883, 0.034199238]","[805.92883, 0.034199238]",3,"[491.02826, 434.66943]",1,"[805.92883, 0.034199238]","[762.3266, 0.033001184]",4,"[400.40445, 456.6211]",1,"[762.3266, 0.033001184]","[762.49646, 0.036789894]",5,"[271.0843, 346.40387]",1,"[762.49646, 0.036789894]","[758.8719, 0.043754816]",6,"[338.6683, 463.9446]",1,"[758.8719, 0.043754816]"
34,"[805.96625, 0.037403345]","[805.96625, 0.037403345]",impulse,impulse,"[805.96625, 0.037403345]",0,"[294.03568, 155.63535]",1,"[805.96625, 0.037403345]","[805.96625, 0.037403345]",1,"[362.6214, 604.1717]",1,"[805.96625, 0.037403345]","[805.96625, 0.037403345]",2,"[400.33774, 326.1091]",1,"[805.96625, 0.037403345]","[805.96625, 0.037403345]",3,"[492.83096, 437.91412]",1,"[805.96625, 0.037403345]","[762.3266, 0.033001184]",4,"[400.40445, 456.6211]",1,"[762.3266, 0.033001184]","[762.49646, 0.036789894]",5,"[271.0843, 346.40387]",1,"[762.49646, 0.036789894]","[758.8719, 0.043754816]",6,"[338.6683, 463.9446]",1,"[758.8719, 0.043754816]"
69,"[805.9981, 0.0318861]","[805.9981, 0.0318861]",impulse,impulse,"[805.9981, 0.0318861]",0,"[293.4668, 156.4068]",1,"[805.9981, 0.0318861]","[805.9981, 0.0318861]",1,"[362.6214, 604.1717]",1,"[805.9981, 0.0318861]","[805.9981, 0.0318861]",2,"[404.9897, 324.58478]",1,"[805.9981, 0.0318861]","[805.9981, 0.0318861]",3,"[494.1752, 439.88574]",1,"[805.9981, 0.0318861]","[762.3266, 0.033001184]",4,"[400.40445, 456.6211]",1,"[762.3266, 0.033001184]","[762.49646, 0.036789894]",5,"[271.0843, 346.40387]",1,"[762.49646, 0.036789894]","[758.8719, 0.043754816]",6,"[338.6683, 463.9446]",1,"[758.8719, 0.043754816]"
104,"[806.03076, 0.032679558]","[806.03076, 0.032679558]",impulse,impulse,"[806.03076, 0.032679558]",0,"[292.87488, 157.19092]",1,"[806.03076, 0.032679558]","[806.03076, 0.032679558]",1,"[362.6214, 604.1717]",1,"[806.03076, 0.032679558]","[806.03076, 0.032679558]",2,"[409.0262, 323.17575]",1,"[806.03076, 0.032679558]","[806.03076, 0.032679558]",3,"[494.99692, 440.74277]",1,"[806.03076, 0.032679558]","[762.3266, 0.033001184]",4,"[400.40445, 456.6211]",1,"[762.3266, 0.033001184]","[762.49646, 0.036789894]",5,"[271.0843, 346.40387]",1,"[762.49646, 0.036789894]","[758.8719, 0.043754816]",6,"[338.6683, 463.9446]",1,"[758.8719, 0.043754816]"
138,"[806.06616, 0.035393715]","[806.06616, 0.035393715]",impulse,impulse,"[806.06616, 0.035393715]",0,"[292.21887, 158.03802]",1,"[806.06616, 0.035393715]","[806.06616, 0.035393715]",1,"[362.6214, 604.1717]",1,"[806.06616, 0.035393715]","[806.06616, 0.035393715]",2,"[412.76538, 321.8613]",1,"[806.06616, 0.035393715]","[806.06616, 0.035393715]",3,"[495.5579, 440.86072]",1,"[806.06616, 0.035393715]","[762.3266, 0.033001184]",4,"[400.40445, 456.6211]",1,"[762.3266, 0.033001184]","[762.49646, 0.036789894]",5,"[271.0843, 346.40387]",1,"[762.49646, 0.036789894]","[758.8719, 0.043754816]",6,"[338.6683, 463.9446]",1,"[758.8719, 0.043754816]"
173,"[806.095, 0.028805733]","[806.095, 0.028805733]",impulse,impulse,"[806.095, 0.028805733]",0,"[291.65414, 158.73697]",1,"[806.095, 0.028805733]","[806.095, 0.028805733]",1,"[362.6214, 604.1717]",1,"[806.095, 0.028805733]","[806.095, 0.028805733]",2,"[387.58084, 324.91815]",1,"[806.095, 0.028805733]","[806.095, 0.028805733]",3,"[495.8812, 440.51447]",1,"[806.095, 0.028805733]","[762.3266, 0.033001184]",4,"[400.40445, 456.6211]",1,"[762.3266, 0.033001184]","[762.49646, 0.036789894]",5,"[271.0843, 346.40387]",1,"[762.49646, 0.036789894]","[758.8719, 0.043754816]",6,"[338.6683, 463.9446]",1,"[758.8719, 0.043754816]"
208,"[806.1639, 0.029611588]","[806.1639, 0.029611588]",impulse,impulse,"[806.1639, 0.029611588]",0,"[290.30588, 160.3966]",1,"[806.1639, 0.029611588]","[806.1639, 0.029611588]",1,"[362.6214, 604.1717]",1,"[806.1639, 0.029611588]","[806.1639, 0.029611588]",2,"[401.74323, 321.5883]",1,"[806.1639, 0.029611588]","[806.1639, 0.029611588]",3,"[496.75208, 439.52032]",1,"[806.1639, 0.029611588]","[762.3266, 0.033001184]",4,"[400.40445, 456.6211]",1,"[762.3266, 0.033001184]","[762.49646, 0.036789894]",5,"[271.0843, 346.40387]",1,"[762.49646, 0.036789894]","[758.8719, 0.043754816]",6,"[338.6683, 463.9446]",1,"[758.8719, 0.043754816]"
243,"[806.1948, 0.030907154]","[806.1639, 0.029611588]",impulse,impulse,"[806.1948, 0.030907154]",0,"[289.67886, 161.2059]",1,"[806.1639, 0.029611588]","[806.1948, 0.030907154]",1,"[362.6214, 604.1717]",1,"[806.1639, 0.029611588]","[806.1639, 0.029611588]",2,"[401.74323, 321.5883]",1,"[806.1639, 0.029611588]","[806.1639, 0.029611588]",3,"[496.75208, 439.52032]",1,"[806.1639, 0.029611588]","[762.3266, 0.033001184]",4,"[400.40445, 456.6211]",1,"[762.3266, 0.033001184]","[762.49646, 0.036789894]",5,"[271.0843, 346.40387]",1,"[762.49646, 0.036789894]","[758.8719, 0.043754816]",6,"[338.6683, 463.9446]",1,"[758.8719, 0.043754816]"
278,"[806.2372, 0.04236293]","[806.2372, 0.04236293]",impulse,impulse,"[806.2372, 0.04236293]",0,"[288.8379, 162.29605]",1,"[806.2372, 0.04236293]","[806.2372, 0.04236293]",1,"[362.6214, 604.1717]",1,"[806.2372, 0.04236293]","[806.2372, 0.04236293]",2,"[412.2416, 318.94647]",1,"[806.2372, 0.04236293]","[806.2372, 0.04236293]",3,"[497.85626, 438.18924]",1,"[806.2372, 0.04236293]","[762.3266, 0.033001184]",4,"[400.40445, 456.6211]",1,"[762.3266, 0.033001184]","[762.49646, 0.036789894]",5,"[271.0843, 346.40387]",1,"[762.49646, 0.036789894]","[758.8719, 0.043754816]",6,"[338.6683, 463.9446]",1,"[758.8719, 0.043754816]"
313,"[806.26227, 0.025107622]","[806.26227, 0.025107622]",impulse,impulse,"[806.26227, 0.025107622]",0,"[288.3163, 162.99377]",1,"[806.26227, 0.025107622]","[806.26227, 0.025107622]",1,"[362.6214, 604.1717]",1,"[806.26227, 0.025107622]","[806.26227, 0.025107622]",2,"[415.15762, 318.16467]",1,"[806.26227, 0.025107622]","[806.26227, 0.025107622]",3,"[498.30502, 437.69104]",1,"[806.26227, 0.025107622]","[762.3266, 0.033001184]",4,"[400.40445, 456.6211]",1,"[762.3266, 0.033001184]","[762.49646, 0.036789894]",5,"[271.0843, 346.40387]",1,"[762.49646, 0.036789894]","[758.8719, 0.043754816]",6,"[338.6683, 463.9446]",1,"[758.8719, 0.043754816]"
